Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1,1,994,491.367420911789
RebuildWholeGraph,1,13,1,1,658,372.467622280121
RebuildWholeGraph,2,13,1,1,522,453.91650390625
RebuildWholeGraph,3,13,1,1,657,400.130738854408
RebuildWholeGraph,4,15,1,1,464,383.60980629921
RebuildWholeGraph,5,15,1,1,614,453.825035095215
RebuildWholeGraph,6,15,1,1,750,461.011597037315
RebuildWholeGraph,7,14,1,1,649,445.880805969238
RebuildWholeGraph,8,14,1,1,760,477.801042675972
RebuildWholeGraph,9,13,1,1,471,378.107896447182
RebuildWholeGraph,10,12,1,1,747,392.195664405823
RebuildWholeGraph,11,14,1,1,576,460.816591501236
RebuildWholeGraph,12,15,1,1,808,471.843701839447
RebuildWholeGraph,13,15,1,1,710,431.552839994431
RebuildWholeGraph,14,15,1,1,685,444.157912969589
RebuildWholeGraph,15,15,1,1,856,445.122812986374
RebuildWholeGraph,16,13,1,1,476,405.496649742126
RebuildWholeGraph,17,15,1,1,712,507.624874830246
RebuildWholeGraph,18,14,1,1,751,368.581197977066
RebuildWholeGraph,19,13,1,1,381,369.225928068161
RebuildWholeGraph,20,12,1,1,393,359.147400379181
RebuildWholeGraph,21,15,1,1,511,429.957864761353
RebuildWholeGraph,22,15,1,1,745,436.84528696537
RebuildWholeGraph,23,11,1,1,652,352.609709262848
RebuildWholeGraph,24,11,1,1,397,307.66982126236
RebuildWholeGraph,25,14,1,1,603,478.546201348305
RebuildWholeGraph,26,15,1,1,852,410.588551402092
RebuildWholeGraph,27,15,1,1,745,480.053053617477
RebuildWholeGraph,28,13,1,1,551,358.264557003975
RebuildWholeGraph,29,15,1,1,777,477.467488050461
