Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,107,107,1027,618.720210552216
RebuildWholeGraph,1,13,819,819,648,344.083946347237
RebuildWholeGraph,2,13,72,72,522,416.180513262749
RebuildWholeGraph,3,13,61,61,648,383.27845454216
RebuildWholeGraph,4,15,1000,1000,475,333.303998827934
RebuildWholeGraph,5,15,102,102,614,411.974775671959
RebuildWholeGraph,6,15,62,62,769,429.960604786873
RebuildWholeGraph,7,14,275,275,649,402.221353769302
RebuildWholeGraph,8,14,1000,1000,807,502.493845462799
RebuildWholeGraph,9,13,105,105,442,333.925567984581
RebuildWholeGraph,10,12,66,66,747,403.846911549568
RebuildWholeGraph,11,14,96,96,540,375.479325413704
RebuildWholeGraph,12,15,675,675,808,471.935629248619
RebuildWholeGraph,13,15,450,450,720,394.173070311546
RebuildWholeGraph,14,15,103,103,743,435.944346427917
RebuildWholeGraph,15,15,275,275,841,482.711210250854
RebuildWholeGraph,16,13,94,94,537,349.797983884811
RebuildWholeGraph,17,15,54,54,746,396.993821501732
RebuildWholeGraph,18,14,1000,1000,753,336.497136473656
RebuildWholeGraph,19,13,1000,1000,381,344.159850478172
RebuildWholeGraph,20,12,1000,1000,348,308.32405936718
RebuildWholeGraph,21,15,197,197,565,388.698903799057
RebuildWholeGraph,22,15,1000,1000,752,428.028577804565
RebuildWholeGraph,23,11,1000,1000,616,408.394709229469
RebuildWholeGraph,24,11,176,176,397,352.022508978844
RebuildWholeGraph,25,14,87,87,611,423.193229794502
RebuildWholeGraph,26,15,271,271,807,409.8483273983
RebuildWholeGraph,27,15,79,79,808,528.316486954689
RebuildWholeGraph,28,13,1000,1000,599,381.831993103027
RebuildWholeGraph,29,15,85,85,774,459.993108272552
