Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1000,1000,1097,717
RebuildWholeGraph,1,13,464,464,636,405
RebuildWholeGraph,2,13,881,881,512,471
RebuildWholeGraph,3,13,304,304,713,459
RebuildWholeGraph,4,15,1000,1000,475,381
RebuildWholeGraph,5,15,1000,1000,691,441
RebuildWholeGraph,6,15,50,50,768,483
RebuildWholeGraph,7,14,1000,1000,647,468
RebuildWholeGraph,8,14,72,72,793,578
RebuildWholeGraph,9,13,1000,1000,492,377
RebuildWholeGraph,10,12,175,175,745,450
RebuildWholeGraph,11,14,138,138,576,468
RebuildWholeGraph,12,15,1000,1000,839,559
RebuildWholeGraph,13,15,468,468,720,477
RebuildWholeGraph,14,15,96,96,685,507
RebuildWholeGraph,15,15,1000,1000,841,569
RebuildWholeGraph,16,13,1000,1000,522,385
RebuildWholeGraph,17,15,207,207,703,481
RebuildWholeGraph,18,14,1000,1000,709,376
RebuildWholeGraph,19,13,331,331,437,399
RebuildWholeGraph,20,12,1000,1000,348,366
RebuildWholeGraph,21,15,250,250,516,461
RebuildWholeGraph,22,15,141,141,721,473
RebuildWholeGraph,23,11,1000,1000,613,465
RebuildWholeGraph,24,11,100,100,397,399
RebuildWholeGraph,25,14,414,414,603,504
RebuildWholeGraph,26,15,1000,1000,838,487
RebuildWholeGraph,27,15,1000,1000,794,611
RebuildWholeGraph,28,13,1000,1000,551,459
RebuildWholeGraph,29,15,782,782,797,495
