Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,70,38,249.890594482422,6
AddNodesDynamically,0,6,104,34,251.52746963501,7
AddNodesDynamically,0,7,140,36,256.485106468201,8
AddNodesDynamically,0,8,178,38,304.775671958923,9
AddNodesDynamically,0,9,548,370,309.19145488739,10
AddNodesDynamically,0,10,638,90,353.524147987366,11
AddNodesDynamically,0,11,677,39,359.007719039917,12
AddNodesDynamically,0,12,737,60,361.166395187378,13
AddNodesDynamically,0,13,778,41,366.221348762512,14
AddNodesDynamically,0,14,844,66,387.338122367859,15
AddNodesDynamically,0,15,886,42,400.103167533875,16
AddNodesDynamically,0,16,929,43,408.542753219604,17
AddNodesDynamically,0,17,973,44,421.404356956482,18
AddNodesDynamically,0,18,1017,44,422.381103515625,19
AddNodesDynamically,0,19,1061,44,428.239360809326,20
AddNodesDynamically,0,20,1106,45,433.417885780334,21
AddNodesDynamically,0,21,1151,45,442.500648498535,22
AddNodesDynamically,0,22,1208,57,442.160152435303,23
AddNodesDynamically,0,23,1254,46,462.911167144775,24
AddNodesDynamically,0,24,1300,46,469.593280792236,25
AddNodesDynamically,0,25,1347,47,469.986769676208,26
AddNodesDynamically,0,26,1394,47,472.55958533287,27
AddNodesDynamically,0,27,1441,47,483.142493963242,28
AddNodesDynamically,0,28,1489,48,496.681994199753,29
AddNodesDynamically,0,29,1537,48,496.826374292374,30
AddNodesDynamically,0,30,1585,48,501.132763147354,31
AddNodesDynamically,0,31,1634,49,502.008426904678,32
AddNodesDynamically,0,32,1683,49,504.346455335617,33
AddNodesDynamically,0,33,1732,49,511.357095956802,34
AddNodesDynamically,0,34,1782,50,524.412053346634,35
AddNodesDynamically,0,35,1832,50,524.630584478378,36
AddNodesDynamically,0,36,1882,50,525.939053297043,37
AddNodesDynamically,0,37,1932,50,535.96476149559,38
AddNodesDynamically,0,38,1997,65,540.900951147079,39
AddNodesDynamically,0,39,2048,51,541.769308328629,40
AddNodesDynamically,1,4,31,31,237.005370140076,5
AddNodesDynamically,1,5,64,33,237.522614479065,6
AddNodesDynamically,1,6,100,36,259.843945503235,7
AddNodesDynamically,1,7,136,36,271.45872592926,8
AddNodesDynamically,1,8,173,37,280.81810092926,9
AddNodesDynamically,1,9,211,38,291.75466632843,10
AddNodesDynamically,1,10,254,43,312.302221298218,11
AddNodesDynamically,1,11,293,39,315.559898376465,12
AddNodesDynamically,1,12,334,41,333.530592918396,13
AddNodesDynamically,1,13,423,89,338.932785987854,14
AddNodesDynamically,1,14,465,42,353.716588020325,15
AddNodesDynamically,1,15,507,42,356.680834770203,16
AddNodesDynamically,1,16,550,43,361.681379318237,17
AddNodesDynamically,1,17,617,67,367.417217254639,18
AddNodesDynamically,1,18,661,44,376.38657283783,19
AddNodesDynamically,1,19,708,47,383.125073432922,20
AddNodesDynamically,1,20,753,45,400.328934669495,21
AddNodesDynamically,1,21,798,45,411.759955883026,22
AddNodesDynamically,1,22,844,46,436.786675930023,23
AddNodesDynamically,1,23,891,47,495.154580593109,24
AddNodesDynamically,1,24,937,46,495.236907958984,25
AddNodesDynamically,1,25,1049,112,486.956961631775,26
AddNodesDynamically,1,26,1096,47,487.057458877563,27
AddNodesDynamically,1,27,1143,47,491.994567871094,28
AddNodesDynamically,1,28,1191,48,494.194690942764,29
AddNodesDynamically,1,29,1260,69,505.456834077835,30
AddNodesDynamically,1,30,1308,48,505.796224355698,31
AddNodesDynamically,1,31,1357,49,506.026131391525,32
AddNodesDynamically,1,32,1406,49,506.036741495132,33
AddNodesDynamically,1,33,1455,49,513.400146722794,34
AddNodesDynamically,1,34,1505,50,526.346678495407,35
AddNodesDynamically,1,35,1590,85,520.480229139328,36
AddNodesDynamically,1,36,1640,50,521.45476269722,37
AddNodesDynamically,1,37,1690,50,527.202830553055,38
AddNodesDynamically,1,38,1740,50,528.985387086868,39
AddNodesDynamically,1,39,1791,51,531.597597837448,40
AddNodesDynamically,2,4,50,50,263.193134307861,5
AddNodesDynamically,2,5,98,48,265.939027786255,6
AddNodesDynamically,2,6,132,34,267.415286064148,7
AddNodesDynamically,2,7,168,36,287.889449119568,8
AddNodesDynamically,2,8,206,38,321.903695106506,9
AddNodesDynamically,2,9,263,57,334.667763710022,10
AddNodesDynamically,2,10,313,50,330.456579208374,11
AddNodesDynamically,2,11,353,40,338.250782012939,12
AddNodesDynamically,2,12,393,40,339.000455856323,13
AddNodesDynamically,2,13,434,41,347.24306678772,14
AddNodesDynamically,2,14,494,60,367.429395675659,15
AddNodesDynamically,2,15,537,43,394.633413314819,16
AddNodesDynamically,2,16,615,78,390.146822929382,17
AddNodesDynamically,2,17,663,48,391.96937084198,18
AddNodesDynamically,2,18,707,44,397.207406044006,19
AddNodesDynamically,2,19,751,44,400.127339363098,20
AddNodesDynamically,2,20,796,45,404.98647069931,21
AddNodesDynamically,2,21,846,50,409.191415309906,22
AddNodesDynamically,2,22,892,46,417.039499759674,23
AddNodesDynamically,2,23,938,46,425.464265346527,24
AddNodesDynamically,2,24,984,46,426.421682357788,25
AddNodesDynamically,2,25,1031,47,426.432843208313,26
AddNodesDynamically,2,26,1078,47,435.968528747559,27
AddNodesDynamically,2,27,1125,47,435.969496250153,28
AddNodesDynamically,2,28,1173,48,437.196927547455,29
AddNodesDynamically,2,29,1221,48,439.418251991272,30
AddNodesDynamically,2,30,1269,48,441.762078285217,31
AddNodesDynamically,2,31,1318,49,442.852375984192,32
AddNodesDynamically,2,32,1367,49,446.672989368439,33
AddNodesDynamically,2,33,1416,49,447.233209133148,34
AddNodesDynamically,2,34,1466,50,463.584191799164,35
AddNodesDynamically,2,35,1516,50,464.664554715157,36
AddNodesDynamically,2,36,1598,82,471.058698296547,37
AddNodesDynamically,2,37,1648,50,475.220208287239,38
AddNodesDynamically,2,38,1698,50,478.702847599983,39
AddNodesDynamically,2,39,1762,64,480.704248547554,40
AddNodesDynamically,3,4,31,31,222.502680301666,5
AddNodesDynamically,3,5,64,33,222.940935611725,6
AddNodesDynamically,3,6,108,44,243.575953006744,7
AddNodesDynamically,3,7,144,36,272.124266147614,8
