Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,242.641902923584,5
RebuildWholeGraph,0,5,63,32,249.890594482422,6
RebuildWholeGraph,0,6,106,43,251.52746963501,7
RebuildWholeGraph,0,7,144,38,256.485106468201,8
RebuildWholeGraph,0,8,196,52,304.775671958923,9
RebuildWholeGraph,0,9,1196,1000,309.19145488739,10
RebuildWholeGraph,0,10,1991,795,353.524147987366,11
RebuildWholeGraph,0,11,2227,236,354.747114181519,12
RebuildWholeGraph,0,12,2287,60,358.894552230835,13
RebuildWholeGraph,0,13,2368,81,363.949505805969,14
RebuildWholeGraph,0,14,2428,60,387.338122367859,15
RebuildWholeGraph,0,15,2485,57,400.103167533875,16
RebuildWholeGraph,0,16,2541,56,408.542753219604,17
RebuildWholeGraph,0,17,2614,73,421.404356956482,18
RebuildWholeGraph,0,18,2671,57,422.381103515625,19
RebuildWholeGraph,0,19,2737,66,428.239360809326,20
RebuildWholeGraph,0,20,2800,63,432.965556144714,21
RebuildWholeGraph,0,21,2866,66,442.048318862915,22
RebuildWholeGraph,0,22,2935,69,442.160152435303,23
RebuildWholeGraph,0,23,3004,69,462.911167144775,24
RebuildWholeGraph,0,24,3068,64,469.593280792236,25
RebuildWholeGraph,0,25,3135,67,469.986769676208,26
RebuildWholeGraph,0,26,3200,65,472.55958533287,27
RebuildWholeGraph,0,27,3266,66,488.642129659653,28
RebuildWholeGraph,0,28,3346,80,500.273761510849,29
RebuildWholeGraph,0,29,3411,65,500.41814160347,30
RebuildWholeGraph,0,30,3487,76,504.72453045845,31
RebuildWholeGraph,0,31,3554,67,505.600194215775,32
RebuildWholeGraph,0,32,3625,71,507.938222646713,33
RebuildWholeGraph,0,33,3751,126,510.379117250443,34
RebuildWholeGraph,0,34,3851,100,523.434074640274,35
RebuildWholeGraph,0,35,3935,84,524.630584478378,36
RebuildWholeGraph,0,36,4016,81,524.961074590683,37
RebuildWholeGraph,0,37,4117,101,540.017932653427,38
RebuildWholeGraph,0,38,4214,97,536.331205129623,39
RebuildWholeGraph,0,39,4289,75,541.769308328629,40
RebuildWholeGraph,1,4,31,31,237.005370140076,5
RebuildWholeGraph,1,5,64,33,237.522614479065,6
RebuildWholeGraph,1,6,103,39,259.843945503235,7
RebuildWholeGraph,1,7,140,37,271.45872592926,8
RebuildWholeGraph,1,8,177,37,280.81810092926,9
RebuildWholeGraph,1,9,226,49,291.75466632843,10
RebuildWholeGraph,1,10,292,66,312.302221298218,11
RebuildWholeGraph,1,11,353,61,315.559898376465,12
RebuildWholeGraph,1,12,417,64,333.530592918396,13
RebuildWholeGraph,1,13,512,95,339.208373069763,14
RebuildWholeGraph,1,14,561,49,353.716588020325,15
RebuildWholeGraph,1,15,626,65,356.405247688293,16
RebuildWholeGraph,1,16,697,71,358.001172065735,17
RebuildWholeGraph,1,17,750,53,371.097424507141,18
RebuildWholeGraph,1,18,806,56,380.066780090332,19
RebuildWholeGraph,1,19,880,74,388.342723846436,20
RebuildWholeGraph,1,20,949,69,399.871367454529,21
RebuildWholeGraph,1,21,1069,120,412.750532627106,22
RebuildWholeGraph,1,22,1189,120,436.786675930023,23
RebuildWholeGraph,1,23,1266,77,490.533217906952,24
RebuildWholeGraph,1,24,1340,74,486.935338020325,25
RebuildWholeGraph,1,25,1415,75,486.956961631775,26
RebuildWholeGraph,1,26,1485,70,487.057458877563,27
RebuildWholeGraph,1,27,1558,73,499.212233543396,28
RebuildWholeGraph,1,28,1661,103,494.194690942764,29
RebuildWholeGraph,1,29,1740,79,505.456834077835,30
RebuildWholeGraph,1,30,1812,72,505.796224355698,31
RebuildWholeGraph,1,31,1887,75,502.025912046432,32
RebuildWholeGraph,1,32,1962,75,506.036741495132,33
RebuildWholeGraph,1,33,2046,84,507.352961778641,34
RebuildWholeGraph,1,34,2140,94,525.63526892662,35
RebuildWholeGraph,1,35,2221,81,522.255782842636,36
RebuildWholeGraph,1,36,2312,91,521.45476269722,37
RebuildWholeGraph,1,37,2419,107,527.202830553055,38
RebuildWholeGraph,1,38,2521,102,528.985387086868,39
RebuildWholeGraph,1,39,2634,113,531.597597837448,40
RebuildWholeGraph,2,4,40,40,263.193134307861,5
RebuildWholeGraph,2,5,90,50,265.939027786255,6
RebuildWholeGraph,2,6,135,45,267.415286064148,7
RebuildWholeGraph,2,7,171,36,287.889449119568,8
RebuildWholeGraph,2,8,215,44,321.903695106506,9
RebuildWholeGraph,2,9,257,42,327.499255180359,10
RebuildWholeGraph,2,10,310,53,337.625087738037,11
RebuildWholeGraph,2,11,365,55,338.250782012939,12
RebuildWholeGraph,2,12,417,52,339.000455856323,13
RebuildWholeGraph,2,13,475,58,347.24306678772,14
RebuildWholeGraph,2,14,554,79,367.429395675659,15
RebuildWholeGraph,2,15,605,51,383.130916595459,16
RebuildWholeGraph,2,16,672,67,383.258912086487,17
RebuildWholeGraph,2,17,724,52,389.218999862671,18
RebuildWholeGraph,2,18,814,90,397.207406044006,19
RebuildWholeGraph,2,19,869,55,397.802066802979,20
RebuildWholeGraph,2,20,937,68,403.343551158905,21
RebuildWholeGraph,2,21,1002,65,410.844509601593,22
RebuildWholeGraph,2,22,1088,86,417.039499759674,23
RebuildWholeGraph,2,23,1170,82,427.117359638214,24
RebuildWholeGraph,2,24,1276,106,426.421682357788,25
RebuildWholeGraph,2,25,1389,113,426.432843208313,26
RebuildWholeGraph,2,26,1466,77,435.968528747559,27
RebuildWholeGraph,2,27,1546,80,436.480618000031,28
RebuildWholeGraph,2,28,1615,69,437.196927547455,29
RebuildWholeGraph,2,29,1688,73,439.418251991272,30
RebuildWholeGraph,2,30,1764,76,441.762078285217,31
RebuildWholeGraph,2,31,1832,68,442.852375984192,32
RebuildWholeGraph,2,32,1911,79,446.672989368439,33
RebuildWholeGraph,2,33,2018,107,447.233209133148,34
RebuildWholeGraph,2,34,2093,75,460.558482646942,35
RebuildWholeGraph,2,35,2159,66,464.368195652962,36
RebuildWholeGraph,2,36,2255,96,471.058698296547,37
RebuildWholeGraph,2,37,2329,74,475.220208287239,38
RebuildWholeGraph,2,38,2449,120,478.372415661812,39
RebuildWholeGraph,2,39,2528,79,481.398201107979,40
RebuildWholeGraph,3,4,31,31,222.502680301666,5
RebuildWholeGraph,3,5,64,33,222.940935611725,6
RebuildWholeGraph,3,6,117,53,243.575953006744,7
RebuildWholeGraph,3,7,166,49,272.124266147614,8
RebuildWholeGraph,3,8,215,49,272.35254907608,9
RebuildWholeGraph,3,9,258,43,289.210115909576,10
RebuildWholeGraph,3,10,604,346,300.846611499786,11
RebuildWholeGraph,3,11,956,352,313.612102985382,12
RebuildWholeGraph,3,12,1260,304,319.534623622894,13
RebuildWholeGraph,3,13,1342,82,321.398570537567,14
RebuildWholeGraph,3,14,1424,82,344.751933574677,15
RebuildWholeGraph,3,15,1516,92,348.953337192535,16
RebuildWholeGraph,3,16,1599,83,351.481931209564,17
RebuildWholeGraph,3,17,1665,66,359.527228832245,18
RebuildWholeGraph,3,18,1736,71,376.433571338654,19
RebuildWholeGraph,3,19,1814,78,375.774075031281,20
RebuildWholeGraph,3,20,1872,58,396.2853474617,21
RebuildWholeGraph,3,21,2115,243,396.394882678986,22
RebuildWholeGraph,3,22,2270,155,406.40286397934,23
RebuildWholeGraph,3,23,3226,956,408.245034694672,24
RebuildWholeGraph,3,24,4226,1000,418.255550384521,25
RebuildWholeGraph,3,25,4351,125,431.673542976379,26
RebuildWholeGraph,3,26,4448,97,431.725617647171,27
RebuildWholeGraph,3,27,4532,84,437.938398599625,28
RebuildWholeGraph,3,28,4637,105,442.973031759262,29
RebuildWholeGraph,3,29,4737,100,446.256615877151,30
RebuildWholeGraph,3,30,5032,295,442.369362592697,31
RebuildWholeGraph,3,31,5122,90,447.633527755737,32
RebuildWholeGraph,3,32,5206,84,447.673069477081,33
RebuildWholeGraph,3,33,5972,766,446.568917751312,34
RebuildWholeGraph,3,34,6058,86,461.777868747711,35
RebuildWholeGraph,3,35,6170,112,481.016037464142,36
RebuildWholeGraph,3,36,6311,141,485.520943164825,37
RebuildWholeGraph,3,37,6454,143,519.670795440674,38
RebuildWholeGraph,3,38,6542,88,514.473957061768,39
RebuildWholeGraph,3,39,6635,93,516.045336723328,40
RebuildWholeGraph,4,4,455,455,137.559715270996,5
RebuildWholeGraph,4,5,503,48,201.191365242004,6
RebuildWholeGraph,4,6,552,49,211.223044395447,7
RebuildWholeGraph,4,7,603,51,212.930190086365,8
RebuildWholeGraph,4,8,650,47,217.18445110321,9
RebuildWholeGraph,4,9,695,45,219.221821784973,10
RebuildWholeGraph,4,10,743,48,220.652087211609,11
RebuildWholeGraph,4,11,790,47,226.619591712952,12
RebuildWholeGraph,4,12,835,45,250.683989524841,13
RebuildWholeGraph,4,13,884,49,250.683989286423,14
RebuildWholeGraph,4,14,931,47,251.462040185928,15
RebuildWholeGraph,4,15,976,45,257.781379938126,16
RebuildWholeGraph,4,16,1027,51,274.529045343399,17
RebuildWholeGraph,4,17,1091,64,324.015337228775,18
RebuildWholeGraph,4,18,1144,53,334.653524637222,19
RebuildWholeGraph,4,19,1205,61,337.318644285202,20
RebuildWholeGraph,4,20,1274,69,370.08534693718,21
RebuildWholeGraph,4,21,1345,71,368.756065130234,22
RebuildWholeGraph,4,22,1433,88,403.273575544357,23
RebuildWholeGraph,4,23,1536,103,405.751914739609,24
