Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,1,15,56,56,836,3195.63359284471
RebuildWholeGraph,1,15,44,44,811,3195.63359284471
RebuildWholeGraph,1,15,46,46,811,3195.63359284471
RebuildWholeGraph,1,15,43,43,811,3195.63359284471
RebuildWholeGraph,1,15,50,50,836,3195.63359284471
RebuildWholeGraph,1,15,50,50,836,3195.63359284471
RebuildWholeGraph,1,15,45,45,811,3195.63359284471
RebuildWholeGraph,1,15,44,44,836,3195.63359284471
RebuildWholeGraph,1,15,47,47,811,3195.63359284471
RebuildWholeGraph,1,15,46,46,836,3195.63359284471
RebuildWholeGraph,1,15,54,54,836,3195.63359284471
RebuildWholeGraph,1,15,49,49,836,3195.63359284471
RebuildWholeGraph,1,15,52,52,836,3195.63359284471
RebuildWholeGraph,1,15,49,49,811,3195.63359284471
RebuildWholeGraph,1,15,56,56,836,3195.63359284471
RebuildWholeGraph,1,15,49,49,836,3195.63359284471
RebuildWholeGraph,1,15,50,50,836,3195.63359284471
RebuildWholeGraph,1,15,46,46,836,3195.63359284471
RebuildWholeGraph,1,15,52,52,811,3195.63359284471
RebuildWholeGraph,1,15,44,44,836,3195.63359284471
RebuildWholeGraph,1,15,57,57,811,3195.63359284471
RebuildWholeGraph,1,15,46,46,816,3195.63359284471
RebuildWholeGraph,1,15,48,48,836,3195.63359284471
RebuildWholeGraph,1,15,50,50,836,3195.63359284471
RebuildWholeGraph,1,15,54,54,836,3195.63359284471
RebuildWholeGraph,1,15,54,54,811,3195.63359284471
RebuildWholeGraph,1,15,47,47,836,3195.63359284471
RebuildWholeGraph,1,15,51,51,811,3195.63359284471
RebuildWholeGraph,1,15,56,56,811,3195.63359284471
RebuildWholeGraph,1,15,52,52,836,3195.63359284471
RebuildWholeGraph,2,14,41,41,997,2930.5406571984
RebuildWholeGraph,2,14,41,41,997,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
RebuildWholeGraph,2,14,41,41,997,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
RebuildWholeGraph,2,14,41,41,1060,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,983,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
RebuildWholeGraph,2,14,41,41,1037,2930.5406571984
