Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,1,15,46,46,825,251.311320781708
RebuildWholeGraph,1,15,52,52,787,251.311320781708
RebuildWholeGraph,1,15,49,49,772,251.311320781708
RebuildWholeGraph,1,15,48,48,804,251.311320781708
RebuildWholeGraph,1,15,50,50,774,251.311320781708
RebuildWholeGraph,1,15,50,50,774,251.311320781708
RebuildWholeGraph,1,15,53,53,750,251.311320781708
RebuildWholeGraph,1,15,51,51,750,251.311320781708
RebuildWholeGraph,1,15,47,47,787,251.311320781708
RebuildWholeGraph,1,15,46,46,774,251.311320781708
RebuildWholeGraph,1,15,49,49,804,251.311320781708
RebuildWholeGraph,1,15,51,51,772,251.311320781708
RebuildWholeGraph,1,15,46,46,804,251.311320781708
RebuildWholeGraph,1,15,51,51,750,251.311320781708
RebuildWholeGraph,1,15,51,51,825,251.311320781708
RebuildWholeGraph,1,15,50,50,804,251.311320781708
RebuildWholeGraph,1,15,45,45,774,251.311320781708
RebuildWholeGraph,1,15,45,45,772,251.311320781708
RebuildWholeGraph,1,15,47,47,772,251.311320781708
RebuildWholeGraph,1,15,50,50,772,251.311320781708
RebuildWholeGraph,1,15,50,50,750,251.311320781708
RebuildWholeGraph,1,15,47,47,804,251.311320781708
RebuildWholeGraph,1,15,48,48,771,251.311320781708
RebuildWholeGraph,1,15,48,48,772,251.311320781708
RebuildWholeGraph,1,15,52,52,771,251.311320781708
RebuildWholeGraph,1,15,51,51,787,251.311320781708
RebuildWholeGraph,1,15,46,46,825,251.311320781708
RebuildWholeGraph,1,15,45,45,774,251.311320781708
RebuildWholeGraph,1,15,50,50,825,251.311320781708
RebuildWholeGraph,1,15,50,50,771,251.311320781708
RebuildWholeGraph,2,15,71,71,804,356.025913715363
RebuildWholeGraph,2,15,65,65,798,356.025913715363
RebuildWholeGraph,2,15,58,58,798,356.025913715363
RebuildWholeGraph,2,15,63,63,798,356.025913715363
RebuildWholeGraph,2,15,64,64,798,356.025913715363
RebuildWholeGraph,2,15,65,65,805,356.025913715363
RebuildWholeGraph,2,15,69,69,805,356.025913715363
RebuildWholeGraph,2,15,77,77,836,356.025913715363
RebuildWholeGraph,2,15,61,61,794,356.025913715363
RebuildWholeGraph,2,15,66,66,830,356.025913715363
RebuildWholeGraph,2,15,61,61,805,356.025913715363
RebuildWholeGraph,2,15,62,62,792,356.025913715363
RebuildWholeGraph,2,15,61,61,794,356.025913715363
RebuildWholeGraph,2,15,69,69,794,356.025913715363
RebuildWholeGraph,2,15,59,59,861,356.025913715363
RebuildWholeGraph,2,15,63,63,833,356.025913715363
RebuildWholeGraph,2,15,59,59,836,356.025913715363
RebuildWholeGraph,2,15,66,66,805,356.025913715363
RebuildWholeGraph,2,15,57,57,805,356.025913715363
RebuildWholeGraph,2,15,69,69,805,356.025913715363
RebuildWholeGraph,2,15,67,67,805,356.025913715363
RebuildWholeGraph,2,15,74,74,805,356.025913715363
RebuildWholeGraph,2,15,63,63,861,356.025913715363
RebuildWholeGraph,2,15,68,68,836,356.025913715363
RebuildWholeGraph,2,15,68,68,792,356.025913715363
RebuildWholeGraph,2,15,66,66,805,356.025913715363
RebuildWholeGraph,2,15,74,74,805,356.025913715363
RebuildWholeGraph,2,15,60,60,805,356.025913715363
RebuildWholeGraph,2,15,66,66,805,356.025913715363
RebuildWholeGraph,2,15,62,62,805,356.025913715363
RebuildWholeGraph,3,13,54,54,728,285.807713985443
RebuildWholeGraph,3,13,45,45,728,285.807713985443
RebuildWholeGraph,3,13,55,55,742,285.807713985443
RebuildWholeGraph,3,13,49,49,742,285.807713985443
RebuildWholeGraph,3,13,55,55,737,285.807713985443
RebuildWholeGraph,3,13,48,48,742,285.807713985443
RebuildWholeGraph,3,13,51,51,723,285.807713985443
RebuildWholeGraph,3,13,52,52,720,285.807713985443
RebuildWholeGraph,3,13,59,59,760,285.807713985443
RebuildWholeGraph,3,13,55,55,728,285.807713985443
RebuildWholeGraph,3,13,49,49,760,285.807713985443
RebuildWholeGraph,3,13,57,57,737,285.807713985443
RebuildWholeGraph,3,13,50,50,742,285.807713985443
RebuildWholeGraph,3,13,55,55,742,285.807713985443
RebuildWholeGraph,3,13,61,61,737,285.807713985443
RebuildWholeGraph,3,13,51,51,760,285.807713985443
RebuildWholeGraph,3,13,57,57,737,285.807713985443
RebuildWholeGraph,3,13,53,53,742,285.807713985443
RebuildWholeGraph,3,13,47,47,723,285.807713985443
RebuildWholeGraph,3,13,50,50,728,285.807713985443
RebuildWholeGraph,3,13,47,47,737,285.807713985443
RebuildWholeGraph,3,13,51,51,742,285.807713985443
RebuildWholeGraph,3,13,50,50,745,285.807713985443
RebuildWholeGraph,3,13,51,51,760,285.807713985443
RebuildWholeGraph,3,13,49,49,720,285.807713985443
RebuildWholeGraph,3,13,55,55,723,285.807713985443
RebuildWholeGraph,3,13,46,46,742,285.807713985443
RebuildWholeGraph,3,13,51,51,742,285.807713985443
RebuildWholeGraph,3,13,52,52,760,285.807713985443
RebuildWholeGraph,3,13,58,58,760,285.807713985443
RebuildWholeGraph,4,15,54,54,904,330.172143936157
RebuildWholeGraph,4,15,48,48,965,330.172143936157
RebuildWholeGraph,4,15,50,50,931,330.172143936157
RebuildWholeGraph,4,15,49,49,965,330.172143936157
RebuildWholeGraph,4,15,47,47,894,330.172143936157
RebuildWholeGraph,4,15,49,49,965,330.172143936157
RebuildWholeGraph,4,15,48,48,906,330.172143936157
RebuildWholeGraph,4,15,50,50,920,330.172143936157
RebuildWholeGraph,4,15,53,53,950,330.172143936157
RebuildWholeGraph,4,15,50,50,931,330.172143936157
RebuildWholeGraph,4,15,47,47,894,330.172143936157
RebuildWholeGraph,4,15,47,47,965,330.172143936157
RebuildWholeGraph,4,15,45,45,920,330.172143936157
RebuildWholeGraph,4,15,44,44,931,330.172143936157
RebuildWholeGraph,4,15,48,48,906,330.172143936157
RebuildWholeGraph,4,15,49,49,904,330.172143936157
RebuildWholeGraph,4,15,52,52,965,330.172143936157
RebuildWholeGraph,4,15,53,53,922,330.172143936157
RebuildWholeGraph,4,15,45,45,931,330.172143936157
RebuildWholeGraph,4,15,48,48,894,330.172143936157
RebuildWholeGraph,4,15,54,54,920,330.172143936157
RebuildWholeGraph,4,15,49,49,894,330.172143936157
RebuildWholeGraph,4,15,43,43,904,330.172143936157
RebuildWholeGraph,4,15,51,51,965,330.172143936157
RebuildWholeGraph,4,15,51,51,920,330.172143936157
RebuildWholeGraph,4,15,51,51,920,330.172143936157
RebuildWholeGraph,4,15,49,49,906,330.172143936157
RebuildWholeGraph,4,15,48,48,922,330.172143936157
RebuildWholeGraph,4,15,48,48,906,330.172143936157
RebuildWholeGraph,4,15,44,44,906,330.172143936157
RebuildWholeGraph,5,13,68,68,637,299.715382099152
RebuildWholeGraph,5,13,64,64,631,299.715382099152
RebuildWholeGraph,5,13,54,54,631,299.715382099152
RebuildWholeGraph,5,13,65,65,653,299.715382099152
RebuildWholeGraph,5,13,72,72,631,299.715382099152
RebuildWholeGraph,5,13,56,56,653,299.715382099152
RebuildWholeGraph,5,13,54,54,637,299.715382099152
RebuildWholeGraph,5,13,67,67,631,299.715382099152
RebuildWholeGraph,5,13,60,60,631,299.715382099152
RebuildWholeGraph,5,13,56,56,670,299.715382099152
RebuildWholeGraph,5,13,55,55,631,299.715382099152
RebuildWholeGraph,5,13,63,63,643,299.715382099152
RebuildWholeGraph,5,13,68,68,637,299.715382099152
RebuildWholeGraph,5,13,55,55,643,299.715382099152
RebuildWholeGraph,5,13,64,64,653,299.715382099152
RebuildWholeGraph,5,13,69,69,670,299.715382099152
RebuildWholeGraph,5,13,64,64,631,299.715382099152
RebuildWholeGraph,5,13,64,64,631,299.715382099152
RebuildWholeGraph,5,13,57,57,631,299.715382099152
RebuildWholeGraph,5,13,59,59,637,299.715382099152
RebuildWholeGraph,5,13,76,76,631,299.715382099152
RebuildWholeGraph,5,13,65,65,637,299.715382099152
RebuildWholeGraph,5,13,66,66,670,299.715382099152
RebuildWholeGraph,5,13,51,51,653,299.715382099152
RebuildWholeGraph,5,13,58,58,637,299.715382099152
RebuildWholeGraph,5,13,52,52,670,299.715382099152
RebuildWholeGraph,5,13,79,79,637,299.715382099152
RebuildWholeGraph,5,13,57,57,653,299.715382099152
RebuildWholeGraph,5,13,55,55,637,299.715382099152
RebuildWholeGraph,5,13,51,51,653,299.715382099152
RebuildWholeGraph,6,13,52,52,805,331.933145046234
RebuildWholeGraph,6,13,49,49,858,331.933145046234
RebuildWholeGraph,6,13,51,51,914,331.933145046234
RebuildWholeGraph,6,13,46,46,858,331.933145046234
RebuildWholeGraph,6,13,51,51,875,331.933145046234
RebuildWholeGraph,6,13,45,45,807,331.933145046234
RebuildWholeGraph,6,13,48,48,805,331.933145046234
RebuildWholeGraph,6,13,48,48,805,331.933145046234
RebuildWholeGraph,6,13,47,47,858,331.933145046234
RebuildWholeGraph,6,13,50,50,833,331.933145046234
RebuildWholeGraph,6,13,53,53,858,331.933145046234
RebuildWholeGraph,6,13,50,50,914,331.933145046234
RebuildWholeGraph,6,13,46,46,882,331.933145046234
RebuildWholeGraph,6,13,49,49,874,331.933145046234
RebuildWholeGraph,6,13,49,49,875,331.933145046234
RebuildWholeGraph,6,13,49,49,914,331.933145046234
RebuildWholeGraph,6,13,55,55,875,331.933145046234
RebuildWholeGraph,6,13,49,49,850,331.933145046234
RebuildWholeGraph,6,13,48,48,850,331.933145046234
RebuildWholeGraph,6,13,51,51,858,331.933145046234
RebuildWholeGraph,6,13,48,48,858,331.933145046234
RebuildWholeGraph,6,13,50,50,805,331.933145046234
RebuildWholeGraph,6,13,54,54,874,331.933145046234
RebuildWholeGraph,6,13,48,48,858,331.933145046234
RebuildWholeGraph,6,13,49,49,874,331.933145046234
RebuildWholeGraph,6,13,54,54,882,331.933145046234
RebuildWholeGraph,6,13,49,49,874,331.933145046234
RebuildWholeGraph,6,13,59,59,874,331.933145046234
RebuildWholeGraph,6,13,53,53,858,331.933145046234
RebuildWholeGraph,6,13,51,51,805,331.933145046234
RebuildWholeGraph,7,15,50,50,724,322.172998905182
RebuildWholeGraph,7,15,51,51,754,322.172998905182
RebuildWholeGraph,7,15,62,62,743,322.172998905182
RebuildWholeGraph,7,15,55,55,782,322.172998905182
RebuildWholeGraph,7,15,58,58,724,322.172998905182
RebuildWholeGraph,7,15,51,51,782,322.172998905182
RebuildWholeGraph,7,15,51,51,743,322.172998905182
RebuildWholeGraph,7,15,54,54,745,322.172998905182
RebuildWholeGraph,7,15,48,48,723,322.172998905182
RebuildWholeGraph,7,15,52,52,745,322.172998905182
RebuildWholeGraph,7,15,44,44,724,322.172998905182
RebuildWholeGraph,7,15,52,52,723,322.172998905182
RebuildWholeGraph,7,15,52,52,724,322.172998905182
RebuildWholeGraph,7,15,49,49,724,322.172998905182
RebuildWholeGraph,7,15,49,49,723,322.172998905182
RebuildWholeGraph,7,15,50,50,743,322.172998905182
RebuildWholeGraph,7,15,53,53,743,322.172998905182
RebuildWholeGraph,7,15,54,54,723,322.172998905182
RebuildWholeGraph,7,15,50,50,743,322.172998905182
RebuildWholeGraph,7,15,53,53,723,322.172998905182
RebuildWholeGraph,7,15,50,50,724,322.172998905182
RebuildWholeGraph,7,15,51,51,743,322.172998905182
RebuildWholeGraph,7,15,58,58,726,322.172998905182
RebuildWholeGraph,7,15,51,51,745,322.172998905182
RebuildWholeGraph,7,15,49,49,723,322.172998905182
RebuildWholeGraph,7,15,54,54,726,322.172998905182
RebuildWholeGraph,7,15,53,53,743,322.172998905182
RebuildWholeGraph,7,15,51,51,743,322.172998905182
RebuildWholeGraph,7,15,51,51,782,322.172998905182
RebuildWholeGraph,7,15,50,50,782,322.172998905182
RebuildWholeGraph,8,11,62,62,245,212.584265232086
RebuildWholeGraph,8,11,65,65,281,212.584265232086
RebuildWholeGraph,8,11,53,53,257,212.584265232086
RebuildWholeGraph,8,11,60,60,294,212.584265232086
RebuildWholeGraph,8,11,61,61,281,212.584265232086
RebuildWholeGraph,8,11,57,57,281,212.584265232086
RebuildWholeGraph,8,11,56,56,257,212.584265232086
RebuildWholeGraph,8,11,58,58,281,212.584265232086
RebuildWholeGraph,8,11,70,70,246,212.584265232086
RebuildWholeGraph,8,11,59,59,257,212.584265232086
RebuildWholeGraph,8,11,54,54,257,212.584265232086
RebuildWholeGraph,8,11,79,79,245,212.584265232086
RebuildWholeGraph,8,11,73,73,281,212.584265232086
RebuildWholeGraph,8,11,65,65,281,212.584265232086
RebuildWholeGraph,8,11,50,50,245,212.584265232086
RebuildWholeGraph,8,11,67,67,257,212.584265232086
RebuildWholeGraph,8,11,65,65,281,212.584265232086
