Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,14,93,93,728,3465.90909090909
RebuildWholeGraph,0,14,170,170,741,3420.45454545454
RebuildWholeGraph,0,14,87,87,741,3420.45454545454
RebuildWholeGraph,0,14,122,122,741,3420.45454545454
RebuildWholeGraph,0,14,130,130,741,3420.45454545454
RebuildWholeGraph,0,14,198,198,741,3454.54545454545
RebuildWholeGraph,0,14,87,87,691,3420.45454545455
RebuildWholeGraph,0,14,67,67,741,3420.45454545454
RebuildWholeGraph,0,14,101,101,741,3420.45454545454
RebuildWholeGraph,0,14,132,132,741,3454.54545454545
RebuildWholeGraph,0,14,275,275,741,3454.54545454545
RebuildWholeGraph,0,14,202,202,720,3420.45454545454
RebuildWholeGraph,0,14,110,110,741,3420.45454545454
RebuildWholeGraph,0,14,200,200,741,3420.45454545454
RebuildWholeGraph,0,14,134,134,691,3420.45454545455
RebuildWholeGraph,0,14,92,92,728,3465.90909090909
RebuildWholeGraph,0,14,131,131,728,3465.90909090909
RebuildWholeGraph,0,14,195,195,741,3420.45454545454
RebuildWholeGraph,0,14,224,224,708,3420.45454545454
RebuildWholeGraph,0,14,162,162,699,3454.54545454545
RebuildWholeGraph,0,14,190,190,741,3420.45454545454
RebuildWholeGraph,0,14,85,85,741,3420.45454545454
RebuildWholeGraph,0,14,247,247,741,3420.45454545454
RebuildWholeGraph,0,14,70,70,699,3454.54545454545
RebuildWholeGraph,0,14,103,103,699,3454.54545454545
RebuildWholeGraph,0,14,78,78,741,3454.54545454545
RebuildWholeGraph,0,14,92,92,728,3465.90909090909
RebuildWholeGraph,0,14,135,135,741,3420.45454545454
RebuildWholeGraph,0,14,69,69,741,3420.45454545454
RebuildWholeGraph,0,14,78,78,699,3454.54545454545
RebuildWholeGraph,1,15,241,241,876,3061.72839506173
RebuildWholeGraph,1,15,185,185,876,3061.72839506173
RebuildWholeGraph,1,15,125,125,876,3061.72839506173
RebuildWholeGraph,1,15,348,348,876,3061.72839506173
RebuildWholeGraph,1,15,158,158,876,3061.72839506173
RebuildWholeGraph,1,15,61,61,876,3061.72839506173
RebuildWholeGraph,1,15,70,70,876,3061.72839506173
RebuildWholeGraph,1,15,69,69,876,3061.72839506173
RebuildWholeGraph,1,15,96,96,876,3061.72839506173
RebuildWholeGraph,1,15,486,486,876,3061.72839506173
RebuildWholeGraph,1,15,67,67,876,3061.72839506173
RebuildWholeGraph,1,15,52,52,876,3061.72839506173
RebuildWholeGraph,1,15,93,93,876,3061.72839506173
RebuildWholeGraph,1,15,49,49,876,3061.72839506173
RebuildWholeGraph,1,15,57,57,876,3061.72839506173
RebuildWholeGraph,1,15,93,93,876,3061.72839506173
RebuildWholeGraph,1,15,70,70,876,3061.72839506173
RebuildWholeGraph,1,15,99,99,876,3061.72839506173
RebuildWholeGraph,1,15,60,60,876,3061.72839506173
RebuildWholeGraph,1,15,53,53,876,3061.72839506173
RebuildWholeGraph,1,15,54,54,876,3061.72839506173
RebuildWholeGraph,1,15,77,77,876,3061.72839506173
RebuildWholeGraph,1,15,60,60,876,3061.72839506173
RebuildWholeGraph,1,15,69,69,876,3061.72839506173
RebuildWholeGraph,1,15,146,146,876,3061.72839506173
RebuildWholeGraph,1,15,61,61,876,3061.72839506173
RebuildWholeGraph,1,15,105,105,876,3061.72839506173
RebuildWholeGraph,1,15,116,116,876,3061.72839506173
RebuildWholeGraph,1,15,513,513,876,3061.72839506173
RebuildWholeGraph,1,15,55,55,876,3061.72839506173
RebuildWholeGraph,2,14,62,62,581,2942.14876033058
RebuildWholeGraph,2,14,57,57,612,2942.14876033058
RebuildWholeGraph,2,14,48,48,620,2942.14876033058
RebuildWholeGraph,2,14,65,65,620,2942.14876033058
RebuildWholeGraph,2,14,97,97,612,2925.61983471074
RebuildWholeGraph,2,14,45,45,620,2942.14876033058
RebuildWholeGraph,2,14,41,41,620,2942.14876033058
RebuildWholeGraph,2,14,50,50,581,2942.14876033058
RebuildWholeGraph,2,14,55,55,584,2942.14876033058
RebuildWholeGraph,2,14,46,46,620,2942.14876033058
RebuildWholeGraph,2,14,61,61,620,2942.14876033058
RebuildWholeGraph,2,14,69,69,620,2942.14876033058
RebuildWholeGraph,2,14,49,49,608,2925.61983471074
RebuildWholeGraph,2,14,88,88,635,2942.14876033058
RebuildWholeGraph,2,14,52,52,620,2942.14876033058
RebuildWholeGraph,2,14,47,47,620,2942.14876033058
RebuildWholeGraph,2,14,41,41,647,2958.67768595041
RebuildWholeGraph,2,14,55,55,620,2942.14876033058
RebuildWholeGraph,2,14,62,62,581,2942.14876033058
RebuildWholeGraph,2,14,53,53,581,2942.14876033058
RebuildWholeGraph,2,14,59,59,647,2942.14876033058
RebuildWholeGraph,2,14,48,48,620,2942.14876033058
RebuildWholeGraph,2,14,107,107,620,2942.14876033058
RebuildWholeGraph,2,14,82,82,603,2925.61983471074
RebuildWholeGraph,2,14,49,49,581,2942.14876033058
RebuildWholeGraph,2,14,52,52,620,2942.14876033058
RebuildWholeGraph,2,14,49,49,620,2942.14876033058
RebuildWholeGraph,2,14,41,41,581,2958.67768595041
RebuildWholeGraph,2,14,41,41,620,2942.14876033058
RebuildWholeGraph,2,14,100,100,581,2942.14876033058
RebuildWholeGraph,3,12,40,40,647,2371.79487179487
RebuildWholeGraph,3,12,40,40,660,2371.79487179487
RebuildWholeGraph,3,12,46,46,647,2371.79487179487
RebuildWholeGraph,3,12,44,44,659,2371.79487179487
RebuildWholeGraph,3,12,42,42,647,2371.79487179487
RebuildWholeGraph,3,12,41,41,647,2371.79487179487
RebuildWholeGraph,3,12,39,39,614,2371.79487179487
RebuildWholeGraph,3,12,40,40,660,2371.79487179487
RebuildWholeGraph,3,12,49,49,614,2371.79487179487
RebuildWholeGraph,3,12,53,53,660,2371.79487179487
RebuildWholeGraph,3,12,40,40,614,2371.79487179487
