Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,14,52,52,728,3061.22448979592
RebuildWholeGraph,0,14,56,56,691,3074.82993197279
RebuildWholeGraph,0,14,51,51,741,3061.22448979592
RebuildWholeGraph,0,14,53,53,741,3088.43537414966
RebuildWholeGraph,0,14,50,50,741,3088.43537414966
RebuildWholeGraph,0,14,50,50,728,3061.22448979592
RebuildWholeGraph,0,14,51,51,741,3088.43537414966
RebuildWholeGraph,0,14,78,78,699,3061.22448979592
RebuildWholeGraph,0,14,70,70,728,3061.22448979592
RebuildWholeGraph,0,14,49,49,691,3061.22448979592
RebuildWholeGraph,0,14,75,75,728,3061.22448979592
RebuildWholeGraph,0,14,44,44,728,3061.22448979592
RebuildWholeGraph,0,14,124,124,728,3061.22448979592
RebuildWholeGraph,0,14,41,41,691,3074.82993197279
RebuildWholeGraph,0,14,64,64,763,3061.22448979592
RebuildWholeGraph,0,14,58,58,744,3074.82993197279
RebuildWholeGraph,0,14,52,52,741,3088.43537414966
RebuildWholeGraph,0,14,54,54,741,3061.22448979592
RebuildWholeGraph,0,14,41,41,741,3088.43537414966
RebuildWholeGraph,0,14,46,46,741,3088.43537414966
RebuildWholeGraph,0,14,82,82,728,3061.22448979592
RebuildWholeGraph,0,14,44,44,741,3088.43537414966
RebuildWholeGraph,0,14,49,49,741,3088.43537414966
RebuildWholeGraph,0,14,46,46,741,3088.43537414966
RebuildWholeGraph,0,14,41,41,741,3088.43537414966
RebuildWholeGraph,0,14,94,94,699,3061.22448979592
RebuildWholeGraph,0,14,56,56,691,3074.82993197279
RebuildWholeGraph,0,14,45,45,741,3088.43537414966
RebuildWholeGraph,0,14,41,41,741,3088.43537414966
RebuildWholeGraph,0,14,46,46,741,3088.43537414966
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
RebuildWholeGraph,1,15,42,42,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
RebuildWholeGraph,1,15,42,42,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,803,2728.57142857143
RebuildWholeGraph,1,15,42,42,864,2728.57142857143
RebuildWholeGraph,1,15,41,41,864,2728.57142857143
