Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,65,33,249.890594482422,6
AddNodesDynamically,0,6,108,43,251.52746963501,7
AddNodesDynamically,0,7,144,36,256.485106468201,8
AddNodesDynamically,0,8,182,38,304.775671958923,9
AddNodesDynamically,0,9,324,142,309.19145488739,10
AddNodesDynamically,0,10,1324,1000,353.524147987366,11
AddNodesDynamically,0,11,1363,39,354.747114181519,12
AddNodesDynamically,0,12,1403,40,358.894552230835,13
AddNodesDynamically,0,13,1444,41,363.949505805969,14
AddNodesDynamically,0,14,1486,42,387.338122367859,15
AddNodesDynamically,0,15,1528,42,400.103167533875,16
AddNodesDynamically,0,16,1571,43,408.542753219604,17
AddNodesDynamically,0,17,1616,45,421.404356956482,18
AddNodesDynamically,0,18,1660,44,422.381103515625,19
AddNodesDynamically,0,19,1704,44,428.239360809326,20
AddNodesDynamically,0,20,1749,45,432.965556144714,21
AddNodesDynamically,0,21,1794,45,442.048318862915,22
AddNodesDynamically,0,22,1839,45,442.160152435303,23
AddNodesDynamically,0,23,1885,46,462.911167144775,24
AddNodesDynamically,0,24,1931,46,469.593280792236,25
AddNodesDynamically,0,25,1978,47,469.986769676208,26
AddNodesDynamically,0,26,2025,47,472.55958533287,27
AddNodesDynamically,0,27,2072,47,483.142493963242,28
AddNodesDynamically,0,28,2120,48,496.681994199753,29
AddNodesDynamically,0,29,2168,48,496.826374292374,30
AddNodesDynamically,0,30,2216,48,501.132763147354,31
AddNodesDynamically,0,31,2265,49,502.008426904678,32
AddNodesDynamically,0,32,2314,49,504.346455335617,33
AddNodesDynamically,0,33,2363,49,511.357095956802,34
AddNodesDynamically,0,34,2413,50,524.412053346634,35
AddNodesDynamically,0,35,2463,50,524.630584478378,36
AddNodesDynamically,0,36,2513,50,525.939053297043,37
AddNodesDynamically,0,37,2563,50,535.96476149559,38
AddNodesDynamically,0,38,2614,51,540.900951147079,39
AddNodesDynamically,0,39,2665,51,541.769308328629,40
AddNodesDynamically,1,4,31,31,237.005370140076,5
AddNodesDynamically,1,5,64,33,237.522614479065,6
AddNodesDynamically,1,6,99,35,259.843945503235,7
AddNodesDynamically,1,7,135,36,271.45872592926,8
AddNodesDynamically,1,8,172,37,280.81810092926,9
AddNodesDynamically,1,9,213,41,291.75466632843,10
AddNodesDynamically,1,10,257,44,312.302221298218,11
AddNodesDynamically,1,11,299,42,315.559898376465,12
AddNodesDynamically,1,12,375,76,333.255005836487,13
AddNodesDynamically,1,13,416,41,339.208373069763,14
AddNodesDynamically,1,14,461,45,353.716588020325,15
AddNodesDynamically,1,15,503,42,356.680834770203,16
AddNodesDynamically,1,16,546,43,361.681379318237,17
AddNodesDynamically,1,17,589,43,371.097424507141,18
AddNodesDynamically,1,18,633,44,380.066780090332,19
AddNodesDynamically,1,19,682,49,386.805280685425,20
AddNodesDynamically,1,20,741,59,403.551574707031,21
AddNodesDynamically,1,21,849,108,410.189667224884,22
AddNodesDynamically,1,22,895,46,435.216387271881,23
AddNodesDynamically,1,23,942,47,496.224169254303,24
AddNodesDynamically,1,24,988,46,496.306496620178,25
AddNodesDynamically,1,25,1038,50,498.431418418884,26
AddNodesDynamically,1,26,1085,47,498.531915664673,27
AddNodesDynamically,1,27,1132,47,503.469024658203,28
AddNodesDynamically,1,28,1180,48,506.351615190506,29
AddNodesDynamically,1,29,1235,55,505.456834077835,30
AddNodesDynamically,1,30,1283,48,505.796224355698,31
AddNodesDynamically,1,31,1332,49,506.026131391525,32
AddNodesDynamically,1,32,1381,49,506.036741495132,33
AddNodesDynamically,1,33,1430,49,513.400146722794,34
AddNodesDynamically,1,34,1496,66,526.346678495407,35
AddNodesDynamically,1,35,1546,50,526.527414083481,36
AddNodesDynamically,1,36,1596,50,526.539793014526,37
AddNodesDynamically,1,37,1646,50,532.287860870361,38
AddNodesDynamically,1,38,1696,50,534.070417404175,39
AddNodesDynamically,1,39,1747,51,536.682628154755,40
AddNodesDynamically,2,4,38,38,263.193134307861,5
AddNodesDynamically,2,5,104,66,265.939027786255,6
AddNodesDynamically,2,6,138,34,267.415286064148,7
AddNodesDynamically,2,7,174,36,287.889449119568,8
AddNodesDynamically,2,8,212,38,321.903695106506,9
AddNodesDynamically,2,9,265,53,334.667763710022,10
AddNodesDynamically,2,10,304,39,337.625087738037,11
AddNodesDynamically,2,11,364,60,337.052089691162,12
AddNodesDynamically,2,12,404,40,339.000455856323,13
AddNodesDynamically,2,13,445,41,347.24306678772,14
AddNodesDynamically,2,14,518,73,367.429395675659,15
AddNodesDynamically,2,15,561,43,394.633413314819,16
AddNodesDynamically,2,16,604,43,394.761408805847,17
AddNodesDynamically,2,17,664,60,396.583956718445,18
AddNodesDynamically,2,18,708,44,397.207406044006,19
AddNodesDynamically,2,19,752,44,400.127339363098,20
AddNodesDynamically,2,20,797,45,404.98647069931,21
AddNodesDynamically,2,21,848,51,409.191415309906,22
AddNodesDynamically,2,22,894,46,417.039499759674,23
AddNodesDynamically,2,23,940,46,425.464265346527,24
AddNodesDynamically,2,24,986,46,426.421682357788,25
AddNodesDynamically,2,25,1033,47,426.432843208313,26
AddNodesDynamically,2,26,1080,47,435.968528747559,27
