Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,66,34,249.890594482422,6
AddNodesDynamically,0,6,107,41,251.52746963501,7
AddNodesDynamically,0,7,150,43,256.485106468201,8
AddNodesDynamically,0,8,209,59,304.775671958923,9
AddNodesDynamically,0,9,299,90,309.19145488739,10
AddNodesDynamically,0,10,1299,1000,353.524147987366,11
AddNodesDynamically,0,11,1456,157,354.747114181519,12
AddNodesDynamically,0,12,1589,133,358.894552230835,13
AddNodesDynamically,0,13,1646,57,363.949505805969,14
AddNodesDynamically,0,14,1707,61,387.338122367859,15
AddNodesDynamically,0,15,1780,73,400.103167533875,16
AddNodesDynamically,0,16,1850,70,408.542753219604,17
AddNodesDynamically,0,17,1930,80,421.404356956482,18
AddNodesDynamically,0,18,1995,65,422.381103515625,19
AddNodesDynamically,0,19,2059,64,428.239360809326,20
AddNodesDynamically,0,20,2127,68,432.965556144714,21
AddNodesDynamically,0,21,2209,82,442.500648498535,22
AddNodesDynamically,0,22,2279,70,442.160152435303,23
AddNodesDynamically,0,23,2345,66,462.911167144775,24
AddNodesDynamically,0,24,2413,68,469.593280792236,25
AddNodesDynamically,0,25,2478,65,469.986769676208,26
AddNodesDynamically,0,26,2548,70,472.55958533287,27
AddNodesDynamically,0,27,2616,68,483.142493963242,28
AddNodesDynamically,0,28,2685,69,500.210370779037,29
AddNodesDynamically,0,29,2761,76,500.41814160347,30
AddNodesDynamically,0,30,2836,75,503.411844491959,31
AddNodesDynamically,0,31,2902,66,505.475477457047,32
AddNodesDynamically,0,32,2971,69,507.938222646713,33
AddNodesDynamically,0,33,3052,81,510.379117250443,34
AddNodesDynamically,0,34,3124,72,523.743464708328,35
AddNodesDynamically,0,35,3205,81,523.652605772018,36
AddNodesDynamically,0,36,3307,102,524.961074590683,37
AddNodesDynamically,0,37,3391,84,534.98678278923,38
AddNodesDynamically,0,38,3478,87,536.331205129623,39
AddNodesDynamically,0,39,3556,78,537.199562311172,40
AddNodesDynamically,1,4,32,32,237.005370140076,5
AddNodesDynamically,1,5,66,34,237.522614479065,6
AddNodesDynamically,1,6,113,47,259.843945503235,7
AddNodesDynamically,1,7,150,37,271.45872592926,8
AddNodesDynamically,1,8,190,40,280.81810092926,9
AddNodesDynamically,1,9,239,49,291.75466632843,10
AddNodesDynamically,1,10,298,59,312.302221298218,11
AddNodesDynamically,1,11,353,55,315.559898376465,12
AddNodesDynamically,1,12,472,119,333.255005836487,13
AddNodesDynamically,1,13,541,69,339.208373069763,14
AddNodesDynamically,1,14,604,63,353.716588020325,15
AddNodesDynamically,1,15,664,60,355.684865951538,16
AddNodesDynamically,1,16,726,62,358.001172065735,17
AddNodesDynamically,1,17,792,66,367.417217254639,18
AddNodesDynamically,1,18,882,90,376.38657283783,19
AddNodesDynamically,1,19,983,101,383.125073432922,20
AddNodesDynamically,1,20,1062,79,400.328934669495,21
AddNodesDynamically,1,21,1144,82,415.973172664642,22
