Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,242.641902923584,5
RebuildWholeGraph,0,5,63,32,249.890594482422,6
RebuildWholeGraph,0,6,103,40,251.52746963501,7
RebuildWholeGraph,0,7,150,47,256.485106468201,8
RebuildWholeGraph,0,8,199,49,304.775671958923,9
RebuildWholeGraph,0,9,583,384,309.19145488739,10
RebuildWholeGraph,0,10,1160,577,353.524147987366,11
RebuildWholeGraph,0,11,1256,96,354.747114181519,12
RebuildWholeGraph,0,12,1410,154,358.894552230835,13
RebuildWholeGraph,0,13,1467,57,363.949505805969,14
RebuildWholeGraph,0,14,1526,59,387.338122367859,15
RebuildWholeGraph,0,15,1599,73,400.103167533875,16
RebuildWholeGraph,0,16,1657,58,408.542753219604,17
RebuildWholeGraph,0,17,1722,65,421.404356956482,18
RebuildWholeGraph,0,18,1781,59,422.381103515625,19
RebuildWholeGraph,0,19,1846,65,428.239360809326,20
RebuildWholeGraph,0,20,1910,64,432.965556144714,21
RebuildWholeGraph,0,21,1974,64,442.048318862915,22
RebuildWholeGraph,0,22,2038,64,442.160152435303,23
RebuildWholeGraph,0,23,2103,65,462.911167144775,24
RebuildWholeGraph,0,24,2167,64,469.593280792236,25
RebuildWholeGraph,0,25,2232,65,469.986769676208,26
RebuildWholeGraph,0,26,2317,85,472.55958533287,27
RebuildWholeGraph,0,27,2391,74,490.777480840683,28
RebuildWholeGraph,0,28,2468,77,500.273761510849,29
RebuildWholeGraph,0,29,2612,144,496.826374292374,30
RebuildWholeGraph,0,30,2697,85,504.72453045845,31
RebuildWholeGraph,0,31,2767,70,505.600194215775,32
RebuildWholeGraph,0,32,2840,73,507.938222646713,33
RebuildWholeGraph,0,33,2924,84,510.379117250443,34
RebuildWholeGraph,0,34,3012,88,523.434074640274,35
RebuildWholeGraph,0,35,3092,80,523.652605772018,36
RebuildWholeGraph,0,36,3174,82,524.961074590683,37
RebuildWholeGraph,0,37,3285,111,540.017932653427,38
RebuildWholeGraph,0,38,3376,91,540.094966650009,39
RebuildWholeGraph,0,39,3467,91,541.769308328629,40
RebuildWholeGraph,1,4,31,31,237.005370140076,5
RebuildWholeGraph,1,5,64,33,237.522614479065,6
RebuildWholeGraph,1,6,112,48,259.843945503235,7
RebuildWholeGraph,1,7,149,37,271.45872592926,8
RebuildWholeGraph,1,8,186,37,280.81810092926,9
RebuildWholeGraph,1,9,229,43,291.75466632843,10
RebuildWholeGraph,1,10,286,57,312.302221298218,11
RebuildWholeGraph,1,11,375,89,315.559898376465,12
RebuildWholeGraph,1,12,441,66,333.530592918396,13
RebuildWholeGraph,1,13,511,70,339.208373069763,14
RebuildWholeGraph,1,14,643,132,352.72061920166,15
RebuildWholeGraph,1,15,705,62,356.680834770203,16
RebuildWholeGraph,1,16,765,60,361.681379318237,17
RebuildWholeGraph,1,17,829,64,367.417217254639,18
RebuildWholeGraph,1,18,902,73,379.500925064087,19
RebuildWholeGraph,1,19,984,82,386.805280685425,20
RebuildWholeGraph,1,20,1104,120,403.551574707031,21
RebuildWholeGraph,1,21,1200,96,415.440163135529,22
RebuildWholeGraph,1,22,1309,109,437.777252674103,23
RebuildWholeGraph,1,23,1389,80,486.853010654449,24
RebuildWholeGraph,1,24,1458,69,486.935338020325,25
RebuildWholeGraph,1,25,1529,71,486.956961631775,26
RebuildWholeGraph,1,26,1600,71,487.057458877563,27
RebuildWholeGraph,1,27,1683,83,503.23547744751,28
RebuildWholeGraph,1,28,1761,78,501.412356615067,29
RebuildWholeGraph,1,29,1830,69,509.18158364296,30
RebuildWholeGraph,1,30,1940,110,505.796224355698,31
RebuildWholeGraph,1,31,2025,85,506.026131391525,32
RebuildWholeGraph,1,32,2136,111,502.03652215004,33
RebuildWholeGraph,1,33,2216,80,507.352961778641,34
RebuildWholeGraph,1,34,2300,84,520.701092481613,35
RebuildWholeGraph,1,35,2394,94,525.414405584335,36
RebuildWholeGraph,1,36,2472,78,528.860847949982,37
RebuildWholeGraph,1,37,2609,137,529.692810297012,38
RebuildWholeGraph,1,38,2718,109,528.985387086868,39
RebuildWholeGraph,1,39,2817,99,531.597597837448,40
RebuildWholeGraph,2,4,37,37,263.193134307861,5
RebuildWholeGraph,2,5,84,47,265.939027786255,6
RebuildWholeGraph,2,6,143,59,267.415286064148,7
RebuildWholeGraph,2,7,189,46,287.889449119568,8
RebuildWholeGraph,2,8,244,55,321.903695106506,9
RebuildWholeGraph,2,9,298,54,327.499255180359,10
RebuildWholeGraph,2,10,365,67,330.456579208374,11
RebuildWholeGraph,2,11,419,54,338.250782012939,12
RebuildWholeGraph,2,12,477,58,339.000455856323,13
RebuildWholeGraph,2,13,561,84,346.044374465942,14
RebuildWholeGraph,2,14,625,64,367.429395675659,15
RebuildWholeGraph,2,15,702,77,390.018827438354,16
RebuildWholeGraph,2,16,765,63,383.258912086487,17
RebuildWholeGraph,2,17,830,65,396.105010032654,18
RebuildWholeGraph,2,18,893,63,397.207406044006,19
RebuildWholeGraph,2,19,952,59,397.802066802979,20
RebuildWholeGraph,2,20,1020,68,402.661198139191,21
RebuildWholeGraph,2,21,1096,76,409.191415309906,22
RebuildWholeGraph,2,22,1165,69,418.692594051361,23
RebuildWholeGraph,2,23,1267,102,425.464265346527,24
RebuildWholeGraph,2,24,1401,134,426.421682357788,25
RebuildWholeGraph,2,25,1482,81,426.432843208313,26
RebuildWholeGraph,2,26,1543,61,438.218638420105,27
RebuildWholeGraph,2,27,1615,72,438.219605922699,28
RebuildWholeGraph,2,28,1696,81,437.196927547455,29
RebuildWholeGraph,2,29,1769,73,439.418251991272,30
RebuildWholeGraph,2,30,1860,91,441.762078285217,31
RebuildWholeGraph,2,31,1932,72,442.852375984192,32
RebuildWholeGraph,2,32,2030,98,450.736942768097,33
RebuildWholeGraph,2,33,2103,73,447.233209133148,34
RebuildWholeGraph,2,34,2184,81,460.558482646942,35
RebuildWholeGraph,2,35,2247,63,464.368195652962,36
RebuildWholeGraph,2,36,2323,76,471.40996992588,37
RebuildWholeGraph,2,37,2425,102,475.338038086891,38
RebuildWholeGraph,2,38,2505,80,479.054119229317,39
RebuildWholeGraph,2,39,2602,97,480.022544980049,40
RebuildWholeGraph,3,4,31,31,222.502680301666,5
RebuildWholeGraph,3,5,64,33,222.940935611725,6
RebuildWholeGraph,3,6,106,42,243.575953006744,7
RebuildWholeGraph,3,7,141,35,272.124266147614,8
RebuildWholeGraph,3,8,188,47,272.35254907608,9
RebuildWholeGraph,3,9,232,44,289.210115909576,10
RebuildWholeGraph,3,10,332,100,300.846611499786,11
RebuildWholeGraph,3,11,587,255,313.612102985382,12
RebuildWholeGraph,3,12,670,83,319.534623622894,13
RebuildWholeGraph,3,13,749,79,321.398570537567,14
RebuildWholeGraph,3,14,850,101,344.751933574677,15
RebuildWholeGraph,3,15,915,65,352.424618244171,16
RebuildWholeGraph,3,16,987,72,351.481931209564,17
RebuildWholeGraph,3,17,1039,52,359.527228832245,18
RebuildWholeGraph,3,18,1517,478,375.58664560318,19
RebuildWholeGraph,3,19,1698,181,375.774075031281,20
RebuildWholeGraph,3,20,1780,82,391.357197284698,21
RebuildWholeGraph,3,21,2192,412,392.042230129242,22
RebuildWholeGraph,3,22,2507,315,402.050211429596,23
RebuildWholeGraph,3,23,3246,739,408.245034694672,24
RebuildWholeGraph,3,24,4246,1000,418.255550384521,25
RebuildWholeGraph,3,25,4327,81,431.673542976379,26
RebuildWholeGraph,3,26,4420,93,431.725617647171,27
RebuildWholeGraph,3,27,4512,92,437.938398599625,28
RebuildWholeGraph,3,28,4608,96,442.973031759262,29
RebuildWholeGraph,3,29,5310,702,439.6461622715,30
RebuildWholeGraph,3,30,5880,570,442.369362592697,31
RebuildWholeGraph,3,31,5973,93,447.633527755737,32
RebuildWholeGraph,3,32,6073,100,447.673069477081,33
RebuildWholeGraph,3,33,6615,542,446.568917751312,34
RebuildWholeGraph,3,34,6710,95,461.777868747711,35
RebuildWholeGraph,3,35,6800,90,484.822823524475,36
RebuildWholeGraph,3,36,6952,152,483.885281085968,37
RebuildWholeGraph,3,37,7077,125,516.404747009277,38
RebuildWholeGraph,3,38,7197,120,527.937965393066,39
RebuildWholeGraph,3,39,7276,79,517.088277816772,40
RebuildWholeGraph,4,4,1000,1000,137.559715270996,5
RebuildWholeGraph,4,5,1048,48,201.191365242004,6
RebuildWholeGraph,4,6,1094,46,211.223044395447,7
RebuildWholeGraph,4,7,1145,51,212.930190086365,8
RebuildWholeGraph,4,8,1203,58,217.18445110321,9
RebuildWholeGraph,4,9,1248,45,219.221821784973,10
RebuildWholeGraph,4,10,1299,51,220.652087211609,11
RebuildWholeGraph,4,11,1344,45,226.619591712952,12
RebuildWholeGraph,4,12,1387,43,250.683989524841,13
RebuildWholeGraph,4,13,1440,53,250.683989286423,14
RebuildWholeGraph,4,14,1492,52,251.462040185928,15
RebuildWholeGraph,4,15,1537,45,257.781379938126,16
RebuildWholeGraph,4,16,1581,44,274.529045343399,17
RebuildWholeGraph,4,17,1649,68,324.015337228775,18
RebuildWholeGraph,4,18,1699,50,334.653524637222,19
RebuildWholeGraph,4,19,1762,63,337.318644285202,20
RebuildWholeGraph,4,20,1834,72,368.485146284103,21
RebuildWholeGraph,4,21,1903,69,368.756065130234,22
RebuildWholeGraph,4,22,1989,86,403.273575544357,23
RebuildWholeGraph,4,23,2067,78,405.751914739609,24
