Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,58,58,677,1869.84684694051
RebuildWholeGraph,0,11,57,57,677,1869.84684694051
RebuildWholeGraph,0,11,75,75,677,1869.84684694051
RebuildWholeGraph,0,11,89,89,677,1869.84684694051
RebuildWholeGraph,0,11,61,61,629,1869.84684694051
RebuildWholeGraph,0,11,65,65,634,1869.84684694051
RebuildWholeGraph,0,11,40,40,634,1876.77845942754
RebuildWholeGraph,0,11,60,60,634,1876.77845942754
RebuildWholeGraph,0,11,39,39,634,1876.77845942754
RebuildWholeGraph,0,11,48,48,677,1869.84684694051
RebuildWholeGraph,0,11,69,69,677,1869.84684694051
RebuildWholeGraph,0,11,48,48,677,1869.84684694051
RebuildWholeGraph,0,11,39,39,634,1876.77845942754
RebuildWholeGraph,0,11,41,41,634,1876.77845942754
RebuildWholeGraph,0,11,67,67,607,1869.84684694051
RebuildWholeGraph,0,11,55,55,677,1869.84684694051
RebuildWholeGraph,0,11,54,54,634,1876.77845942754
RebuildWholeGraph,0,11,39,39,634,1876.77845942754
RebuildWholeGraph,0,11,48,48,693,1876.77845942754
RebuildWholeGraph,0,11,52,52,677,1869.84684694051
RebuildWholeGraph,0,11,42,42,677,1869.84684694051
RebuildWholeGraph,0,11,74,74,677,1869.84684694051
RebuildWholeGraph,0,11,49,49,677,1869.84684694051
RebuildWholeGraph,0,11,71,71,677,1869.84684694051
RebuildWholeGraph,0,11,72,72,677,1869.84684694051
RebuildWholeGraph,0,11,39,39,677,1876.77845942754
RebuildWholeGraph,0,11,39,39,634,1876.77845942754
RebuildWholeGraph,0,11,57,57,677,1869.84684694051
RebuildWholeGraph,0,11,50,50,634,1869.84684694051
RebuildWholeGraph,0,11,41,41,677,1869.84684694051
RebuildWholeGraph,1,9,36,36,413,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,380,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,413,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,417,1827.39819607024
RebuildWholeGraph,1,9,36,36,413,1827.39819607024
