Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,28,28,629,21022.7272727273
RebuildWholeGraph,0,11,28,28,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,28,28,629,21022.7272727273
RebuildWholeGraph,0,11,28,28,629,21022.7272727273
RebuildWholeGraph,0,11,25,25,629,21022.7272727273
RebuildWholeGraph,0,11,25,25,629,21022.7272727273
RebuildWholeGraph,0,11,28,28,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,25,25,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,29,29,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,0,11,26,26,629,21022.7272727273
RebuildWholeGraph,0,11,27,27,629,21022.7272727273
RebuildWholeGraph,1,9,21,21,369,20490.1960784314
RebuildWholeGraph,1,9,22,22,369,20490.1960784314
RebuildWholeGraph,1,9,30,30,369,20490.1960784314
RebuildWholeGraph,1,9,22,22,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,21470.5882352941
RebuildWholeGraph,1,9,22,22,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,20490.1960784314
RebuildWholeGraph,1,9,22,22,405,20490.1960784314
RebuildWholeGraph,1,9,22,22,369,20490.1960784314
RebuildWholeGraph,1,9,20,20,369,20490.1960784314
RebuildWholeGraph,1,9,21,21,369,21470.5882352941
RebuildWholeGraph,1,9,20,20,369,20490.1960784314
RebuildWholeGraph,1,9,31,31,405,20490.1960784314
RebuildWholeGraph,1,9,20,20,369,20490.1960784314
