Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,31,31,677,16507.9365079365
RebuildWholeGraph,0,11,28,28,693,17460.3174603175
RebuildWholeGraph,0,11,28,28,607,17460.3174603175
RebuildWholeGraph,0,11,28,28,677,16507.9365079365
RebuildWholeGraph,0,11,30,30,607,17460.3174603175
RebuildWholeGraph,0,11,32,32,677,16507.9365079365
RebuildWholeGraph,0,11,47,47,607,16507.9365079365
RebuildWholeGraph,0,11,28,28,607,17460.3174603175
RebuildWholeGraph,0,11,29,29,607,16507.9365079365
RebuildWholeGraph,0,11,28,28,677,16984.126984127
RebuildWholeGraph,0,11,27,27,620,17460.3174603175
RebuildWholeGraph,0,11,29,29,649,16507.9365079365
RebuildWholeGraph,0,11,26,26,607,17460.3174603175
RebuildWholeGraph,0,11,55,55,677,16507.9365079365
RebuildWholeGraph,0,11,29,29,677,16507.9365079365
RebuildWholeGraph,0,11,26,26,607,17460.3174603175
RebuildWholeGraph,0,11,28,28,607,17460.3174603175
RebuildWholeGraph,0,11,29,29,677,16507.9365079365
RebuildWholeGraph,0,11,28,28,607,16984.126984127
RebuildWholeGraph,0,11,26,26,607,17460.3174603175
RebuildWholeGraph,0,11,28,28,607,16507.9365079365
RebuildWholeGraph,0,11,28,28,633,16507.9365079365
RebuildWholeGraph,0,11,30,30,607,17460.3174603175
RebuildWholeGraph,0,11,35,35,671,16507.9365079365
RebuildWholeGraph,0,11,26,26,607,17460.3174603175
RebuildWholeGraph,0,11,29,29,693,16507.9365079365
RebuildWholeGraph,0,11,38,38,677,16507.9365079365
RebuildWholeGraph,0,11,36,36,607,17460.3174603175
RebuildWholeGraph,0,11,40,40,677,16507.9365079365
RebuildWholeGraph,0,11,27,27,693,17460.3174603175
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
RebuildWholeGraph,1,9,22,22,381,18333.3333333333
