Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,40,40,677,911.190134834254
RebuildWholeGraph,0,11,42,42,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,40,40,693,911.190134834254
RebuildWholeGraph,0,11,45,45,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,44,44,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,41,41,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,40,40,677,911.190134834254
RebuildWholeGraph,0,11,41,41,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,1,9,37,37,380,1043.1469661819
RebuildWholeGraph,1,9,46,46,380,1043.1469661819
RebuildWholeGraph,1,9,37,37,380,1043.1469661819
RebuildWholeGraph,1,9,37,37,380,1043.1469661819
RebuildWholeGraph,1,9,37,37,380,1043.1469661819
