Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,292,292,677,452.054530024529
RebuildWholeGraph,0,11,58,58,677,452.332634806633
RebuildWholeGraph,0,11,188,188,677,452.054530024529
RebuildWholeGraph,0,11,87,87,629,452.332634806633
RebuildWholeGraph,0,11,182,182,677,452.054530024529
RebuildWholeGraph,0,11,181,181,677,452.054530024529
RebuildWholeGraph,0,11,62,62,677,452.332634806633
RebuildWholeGraph,0,11,97,97,649,452.054530024529
RebuildWholeGraph,0,11,173,173,666,452.054530024529
RebuildWholeGraph,0,11,53,53,677,452.332634806633
RebuildWholeGraph,0,11,211,211,677,452.054530024529
RebuildWholeGraph,0,11,373,373,677,452.054530024529
RebuildWholeGraph,0,11,145,145,677,452.054530024529
RebuildWholeGraph,0,11,184,184,677,452.054530024529
RebuildWholeGraph,0,11,105,105,677,452.054530024529
RebuildWholeGraph,0,11,89,89,677,452.332634806633
RebuildWholeGraph,0,11,86,86,677,452.054530024529
RebuildWholeGraph,0,11,104,104,677,452.054530024529
RebuildWholeGraph,0,11,63,63,677,452.332634806633
RebuildWholeGraph,0,11,110,110,634,452.332634806633
RebuildWholeGraph,0,11,78,78,666,452.054530024529
RebuildWholeGraph,0,11,155,155,677,452.054530024529
RebuildWholeGraph,0,11,121,121,677,452.054530024529
RebuildWholeGraph,0,11,68,68,633,452.332634806633
RebuildWholeGraph,0,11,94,94,677,452.332634806633
RebuildWholeGraph,0,11,60,60,633,452.332634806633
RebuildWholeGraph,0,11,312,312,677,452.054530024529
RebuildWholeGraph,0,11,129,129,693,452.054530024529
RebuildWholeGraph,0,11,76,76,677,452.054530024529
RebuildWholeGraph,0,11,89,89,677,452.054530024529
RebuildWholeGraph,1,9,37,37,413,275.289503097534
RebuildWholeGraph,1,9,37,37,373,275.289503097534
RebuildWholeGraph,1,9,49,49,373,275.289503097534
RebuildWholeGraph,1,9,37,37,405,275.289503097534
RebuildWholeGraph,1,9,41,41,369,275.289503097534
RebuildWholeGraph,1,9,37,37,380,275.289503097534
RebuildWholeGraph,1,9,49,49,369,275.289503097534
RebuildWholeGraph,1,9,37,37,369,275.289503097534
RebuildWholeGraph,1,9,52,52,369,275.289503097534
RebuildWholeGraph,1,9,46,46,405,275.289503097534
RebuildWholeGraph,1,9,39,39,369,275.289503097534
RebuildWholeGraph,1,9,47,47,413,275.289503097534
RebuildWholeGraph,1,9,43,43,400,275.289503097534
RebuildWholeGraph,1,9,38,38,381,275.289503097534
RebuildWholeGraph,1,9,40,40,400,275.289503097534
RebuildWholeGraph,1,9,50,50,369,275.289503097534
RebuildWholeGraph,1,9,45,45,369,275.289503097534
RebuildWholeGraph,1,9,40,40,373,275.289503097534
RebuildWholeGraph,1,9,41,41,369,275.289503097534
RebuildWholeGraph,1,9,43,43,381,275.289503097534
RebuildWholeGraph,1,9,43,43,405,275.289503097534
RebuildWholeGraph,1,9,59,59,413,275.289503097534
RebuildWholeGraph,1,9,42,42,381,275.289503097534
RebuildWholeGraph,1,9,37,37,373,275.289503097534
RebuildWholeGraph,1,9,46,46,373,275.289503097534
RebuildWholeGraph,1,9,52,52,369,275.289503097534
RebuildWholeGraph,1,9,39,39,369,275.289503097534
RebuildWholeGraph,1,9,38,38,413,275.289503097534
RebuildWholeGraph,1,9,37,37,369,275.289503097534
RebuildWholeGraph,1,9,46,46,369,275.289503097534
RebuildWholeGraph,2,13,54,54,551,442.594323635101
RebuildWholeGraph,2,13,147,147,594,433.411664009094
RebuildWholeGraph,2,13,64,64,526,433.411664009094
RebuildWholeGraph,2,13,51,51,551,442.594323635101
RebuildWholeGraph,2,13,167,167,555,433.411664009094
RebuildWholeGraph,2,13,162,162,555,433.411664009094
RebuildWholeGraph,2,13,195,195,526,433.411664009094
RebuildWholeGraph,2,13,72,72,555,433.411664009094
RebuildWholeGraph,2,13,183,183,526,433.411664009094
RebuildWholeGraph,2,13,48,48,526,436.193334341049
RebuildWholeGraph,2,13,55,55,551,442.594323635101
RebuildWholeGraph,2,13,46,46,526,442.594323635101
RebuildWholeGraph,2,13,54,54,526,433.411664009094
RebuildWholeGraph,2,13,56,56,526,433.411664009094
RebuildWholeGraph,2,13,47,47,526,442.594323635101
RebuildWholeGraph,2,13,50,50,526,442.594323635101
RebuildWholeGraph,2,13,137,137,555,433.411664009094
RebuildWholeGraph,2,13,49,49,526,442.594323635101
RebuildWholeGraph,2,13,57,57,526,442.594323635101
RebuildWholeGraph,2,13,129,129,555,433.411664009094
RebuildWholeGraph,2,13,51,51,582,442.594323635101
RebuildWholeGraph,2,13,54,54,555,433.411664009094
RebuildWholeGraph,2,13,47,47,526,442.594323635101
RebuildWholeGraph,2,13,87,87,608,433.411664009094
RebuildWholeGraph,2,13,49,49,526,442.594323635101
RebuildWholeGraph,2,13,138,138,605,433.411664009094
RebuildWholeGraph,2,13,46,46,551,442.594323635101
RebuildWholeGraph,2,13,51,51,551,442.594323635101
RebuildWholeGraph,2,13,229,229,555,433.411664009094
RebuildWholeGraph,2,13,52,52,526,442.594323635101
RebuildWholeGraph,3,10,695,695,352,296.646785736084
RebuildWholeGraph,3,10,413,413,352,296.646785736084
RebuildWholeGraph,3,10,218,218,378,296.646785736084
RebuildWholeGraph,3,10,1000,1000,352,296.646785736084
RebuildWholeGraph,3,10,358,358,352,296.646785736084
RebuildWholeGraph,3,10,661,661,375,296.646785736084
RebuildWholeGraph,3,10,739,739,378,296.646785736084
RebuildWholeGraph,3,10,761,761,352,296.646785736084
RebuildWholeGraph,3,10,570,570,378,296.646785736084
RebuildWholeGraph,3,10,145,145,378,296.646785736084
RebuildWholeGraph,3,10,1000,1000,378,296.646785736084
RebuildWholeGraph,3,10,1000,1000,352,296.646785736084
RebuildWholeGraph,3,10,589,589,352,296.646785736084
RebuildWholeGraph,3,10,215,215,378,296.646785736084
RebuildWholeGraph,3,10,847,847,378,296.646785736084
RebuildWholeGraph,3,10,365,365,352,296.646785736084
RebuildWholeGraph,3,10,799,799,378,296.646785736084
RebuildWholeGraph,3,10,259,259,378,296.646785736084
RebuildWholeGraph,3,10,871,871,378,296.646785736084
RebuildWholeGraph,3,10,211,211,352,296.646785736084
RebuildWholeGraph,3,10,371,371,378,296.646785736084
RebuildWholeGraph,3,10,320,320,352,296.646785736084
RebuildWholeGraph,3,10,366,366,352,296.646785736084
RebuildWholeGraph,3,10,884,884,375,296.646785736084
RebuildWholeGraph,3,10,263,263,352,296.646785736084
RebuildWholeGraph,3,10,483,483,375,296.646785736084
RebuildWholeGraph,3,10,251,251,352,296.646785736084
RebuildWholeGraph,3,10,661,661,378,296.646785736084
RebuildWholeGraph,3,10,438,438,352,296.646785736084
RebuildWholeGraph,3,10,518,518,352,296.646785736084
RebuildWholeGraph,4,14,43,43,460,270.039839506149
RebuildWholeGraph,4,14,45,45,435,270.039839506149
RebuildWholeGraph,4,14,46,46,460,270.039839506149
RebuildWholeGraph,4,14,55,55,460,270.039839506149
RebuildWholeGraph,4,14,51,51,460,270.039839506149
RebuildWholeGraph,4,14,51,51,460,270.039839506149
RebuildWholeGraph,4,14,45,45,410,270.039839506149
RebuildWholeGraph,4,14,48,48,410,270.039839506149
RebuildWholeGraph,4,14,50,50,460,270.039839506149
RebuildWholeGraph,4,14,47,47,432,270.039839506149
RebuildWholeGraph,4,14,49,49,460,270.039839506149
RebuildWholeGraph,4,14,45,45,435,270.039839506149
RebuildWholeGraph,4,14,43,43,435,270.039839506149
RebuildWholeGraph,4,14,48,48,448,270.039839506149
RebuildWholeGraph,4,14,46,46,448,270.039839506149
RebuildWholeGraph,4,14,44,44,435,270.039839506149
RebuildWholeGraph,4,14,47,47,410,270.039839506149
RebuildWholeGraph,4,14,53,53,460,270.039839506149
RebuildWholeGraph,4,14,51,51,460,270.039839506149
RebuildWholeGraph,4,14,42,42,460,270.039839506149
RebuildWholeGraph,4,14,46,46,460,270.039839506149
RebuildWholeGraph,4,14,47,47,435,270.039839506149
RebuildWholeGraph,4,14,48,48,410,270.039839506149
RebuildWholeGraph,4,14,46,46,410,270.039839506149
RebuildWholeGraph,4,14,45,45,435,270.039839506149
RebuildWholeGraph,4,14,50,50,410,270.039839506149
RebuildWholeGraph,4,14,48,48,448,270.039839506149
RebuildWholeGraph,4,14,47,47,435,270.039839506149
RebuildWholeGraph,4,14,52,52,460,270.039839506149
RebuildWholeGraph,4,14,48,48,435,270.039839506149
