Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,49,49,634,491
RebuildWholeGraph,0,11,47,47,633,491
RebuildWholeGraph,0,11,49,49,629,491
RebuildWholeGraph,0,11,46,46,677,491
RebuildWholeGraph,0,11,48,48,629,491
RebuildWholeGraph,0,11,44,44,633,491
RebuildWholeGraph,0,11,41,41,633,491
RebuildWholeGraph,0,11,46,46,677,491
RebuildWholeGraph,0,11,49,49,633,491
RebuildWholeGraph,0,11,47,47,629,491
RebuildWholeGraph,0,11,45,45,633,491
RebuildWholeGraph,0,11,45,45,677,491
RebuildWholeGraph,0,11,48,48,677,491
RebuildWholeGraph,0,11,46,46,629,491
RebuildWholeGraph,0,11,42,42,629,491
RebuildWholeGraph,0,11,47,47,677,491
RebuildWholeGraph,0,11,41,41,634,491
RebuildWholeGraph,0,11,42,42,677,491
RebuildWholeGraph,0,11,52,52,633,491
RebuildWholeGraph,0,11,48,48,629,491
RebuildWholeGraph,0,11,45,45,634,491
RebuildWholeGraph,0,11,48,48,629,491
RebuildWholeGraph,0,11,53,53,634,491
RebuildWholeGraph,0,11,42,42,677,491
RebuildWholeGraph,0,11,46,46,633,491
RebuildWholeGraph,0,11,44,44,629,491
RebuildWholeGraph,0,11,41,41,620,491
RebuildWholeGraph,0,11,48,48,677,491
RebuildWholeGraph,0,11,49,49,633,491
RebuildWholeGraph,0,11,45,45,677,491
RebuildWholeGraph,1,9,42,42,405,335
RebuildWholeGraph,1,9,61,61,413,335
RebuildWholeGraph,1,9,70,70,381,335
RebuildWholeGraph,1,9,46,46,400,335
RebuildWholeGraph,1,9,83,83,381,335
RebuildWholeGraph,1,9,52,52,369,335
RebuildWholeGraph,1,9,92,92,369,335
RebuildWholeGraph,1,9,49,49,369,335
RebuildWholeGraph,1,9,62,62,369,335
RebuildWholeGraph,1,9,55,55,405,335
RebuildWholeGraph,1,9,83,83,381,335
RebuildWholeGraph,1,9,49,49,380,335
RebuildWholeGraph,1,9,52,52,369,335
RebuildWholeGraph,1,9,61,61,369,335
RebuildWholeGraph,1,9,52,52,369,335
RebuildWholeGraph,1,9,70,70,380,335
RebuildWholeGraph,1,9,91,91,413,335
RebuildWholeGraph,1,9,44,44,369,335
RebuildWholeGraph,1,9,48,48,381,335
RebuildWholeGraph,1,9,66,66,369,335
RebuildWholeGraph,1,9,39,39,400,335
RebuildWholeGraph,1,9,65,65,405,335
RebuildWholeGraph,1,9,82,82,369,335
RebuildWholeGraph,1,9,62,62,413,335
RebuildWholeGraph,1,9,89,89,369,335
RebuildWholeGraph,1,9,65,65,369,335
RebuildWholeGraph,1,9,49,49,400,335
RebuildWholeGraph,1,9,57,57,369,335
RebuildWholeGraph,1,9,47,47,405,335
RebuildWholeGraph,1,9,84,84,369,335
RebuildWholeGraph,2,13,266,266,555,525
RebuildWholeGraph,2,13,163,163,594,523
RebuildWholeGraph,2,13,135,135,526,525
RebuildWholeGraph,2,13,314,314,605,519
RebuildWholeGraph,2,13,251,251,526,525
RebuildWholeGraph,2,13,122,122,551,521
RebuildWholeGraph,2,13,197,197,555,525
RebuildWholeGraph,2,13,73,73,526,525
RebuildWholeGraph,2,13,200,200,605,519
RebuildWholeGraph,2,13,159,159,526,525
RebuildWholeGraph,2,13,102,102,605,519
RebuildWholeGraph,2,13,102,102,555,525
RebuildWholeGraph,2,13,115,115,555,519
RebuildWholeGraph,2,13,256,256,526,525
