Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,65,65,629,263.005860328674
RebuildWholeGraph,0,11,58,58,607,263.005860328674
RebuildWholeGraph,0,11,73,73,607,263.005860328674
RebuildWholeGraph,0,11,54,54,671,263.005860328674
RebuildWholeGraph,0,11,81,81,693,263.005860328674
RebuildWholeGraph,0,11,56,56,629,263.005860328674
RebuildWholeGraph,0,11,79,79,634,263.005860328674
RebuildWholeGraph,0,11,69,69,629,263.005860328674
RebuildWholeGraph,0,11,56,56,693,263.005860328674
RebuildWholeGraph,0,11,54,54,629,263.005860328674
RebuildWholeGraph,0,11,54,54,607,263.005860328674
RebuildWholeGraph,0,11,54,54,633,264.208397865295
RebuildWholeGraph,0,11,65,65,671,263.005860328674
RebuildWholeGraph,0,11,57,57,629,263.005860328674
RebuildWholeGraph,0,11,57,57,633,263.005860328674
RebuildWholeGraph,0,11,57,57,693,263.005860328674
RebuildWholeGraph,0,11,61,61,666,263.005860328674
RebuildWholeGraph,0,11,58,58,633,263.005860328674
RebuildWholeGraph,0,11,61,61,634,263.005860328674
RebuildWholeGraph,0,11,54,54,649,263.005860328674
RebuildWholeGraph,0,11,60,60,677,263.005860328674
RebuildWholeGraph,0,11,73,73,633,263.005860328674
RebuildWholeGraph,0,11,59,59,661,263.005860328674
RebuildWholeGraph,0,11,66,66,693,263.005860328674
RebuildWholeGraph,0,11,54,54,629,263.005860328674
RebuildWholeGraph,0,11,59,59,629,263.005860328674
RebuildWholeGraph,0,11,54,54,693,263.005860328674
RebuildWholeGraph,0,11,65,65,693,263.005860328674
RebuildWholeGraph,0,11,66,66,693,263.005860328674
RebuildWholeGraph,0,11,69,69,629,263.005860328674
RebuildWholeGraph,1,9,90,90,405,239.061430931091
RebuildWholeGraph,1,9,655,655,413,239.061430931091
RebuildWholeGraph,1,9,930,930,380,239.061430931091
RebuildWholeGraph,1,9,39,39,405,239.061430931091
RebuildWholeGraph,1,9,826,826,405,239.061430931091
RebuildWholeGraph,1,9,72,72,406,239.061430931091
RebuildWholeGraph,1,9,735,735,400,239.061430931091
RebuildWholeGraph,1,9,798,798,381,239.061430931091
RebuildWholeGraph,1,9,378,378,373,239.061430931091
RebuildWholeGraph,1,9,545,545,400,239.061430931091
RebuildWholeGraph,1,9,170,170,405,239.061430931091
RebuildWholeGraph,1,9,235,235,369,239.061430931091
RebuildWholeGraph,1,9,97,97,369,239.061430931091
RebuildWholeGraph,1,9,279,279,369,239.061430931091
RebuildWholeGraph,1,9,95,95,369,239.061430931091
RebuildWholeGraph,1,9,559,559,369,239.061430931091
RebuildWholeGraph,1,9,127,127,417,239.061430931091
RebuildWholeGraph,1,9,940,940,369,239.061430931091
RebuildWholeGraph,1,9,1000,1000,381,239.061430931091
RebuildWholeGraph,1,9,322,322,400,239.061430931091
RebuildWholeGraph,1,9,677,677,369,239.061430931091
RebuildWholeGraph,1,9,208,208,369,239.061430931091
RebuildWholeGraph,1,9,530,530,400,239.061430931091
RebuildWholeGraph,1,9,506,506,400,239.061430931091
RebuildWholeGraph,1,9,220,220,381,239.061430931091
RebuildWholeGraph,1,9,379,379,369,239.061430931091
RebuildWholeGraph,1,9,631,631,369,239.061430931091
RebuildWholeGraph,1,9,200,200,369,239.061430931091
RebuildWholeGraph,1,9,157,157,405,239.061430931091
RebuildWholeGraph,1,9,320,320,369,239.061430931091
RebuildWholeGraph,2,13,44,44,551,303.120498657227
RebuildWholeGraph,2,13,52,52,605,303.120498657227
RebuildWholeGraph,2,13,55,55,555,303.120498657227
RebuildWholeGraph,2,13,54,54,582,303.120498657227
RebuildWholeGraph,2,13,53,53,580,303.120498657227
RebuildWholeGraph,2,13,48,48,600,303.120498657227
RebuildWholeGraph,2,13,49,49,551,303.120498657227
RebuildWholeGraph,2,13,51,51,555,303.120498657227
RebuildWholeGraph,2,13,55,55,582,303.120498657227
RebuildWholeGraph,2,13,55,55,608,303.120498657227
RebuildWholeGraph,2,13,56,56,580,303.120498657227
RebuildWholeGraph,2,13,51,51,600,303.120498657227
RebuildWholeGraph,2,13,53,53,551,303.120498657227
RebuildWholeGraph,2,13,58,58,582,303.120498657227
RebuildWholeGraph,2,13,49,49,582,303.120498657227
RebuildWholeGraph,2,13,59,59,555,303.120498657227
RebuildWholeGraph,2,13,56,56,600,303.120498657227
RebuildWholeGraph,2,13,49,49,551,303.120498657227
RebuildWholeGraph,2,13,54,54,555,303.120498657227
RebuildWholeGraph,2,13,53,53,582,303.120498657227
RebuildWholeGraph,2,13,52,52,580,303.120498657227
