Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,74,74,745,397.412687420845
RebuildWholeGraph,0,15,80,80,743,397.412687420845
RebuildWholeGraph,0,15,74,74,743,397.412687420845
RebuildWholeGraph,0,15,91,91,778,397.412687420845
RebuildWholeGraph,0,15,65,65,778,397.412687420845
RebuildWholeGraph,0,15,65,65,778,397.412687420845
RebuildWholeGraph,0,15,100,100,724,397.412687420845
RebuildWholeGraph,0,15,74,74,778,397.412687420845
RebuildWholeGraph,0,15,72,72,778,397.412687420845
RebuildWholeGraph,0,15,74,74,778,397.412687420845
RebuildWholeGraph,0,15,91,91,778,397.412687420845
RebuildWholeGraph,0,15,71,71,778,397.412687420845
RebuildWholeGraph,0,15,91,91,778,397.412687420845
RebuildWholeGraph,0,15,80,80,778,397.412687420845
RebuildWholeGraph,0,15,68,68,752,397.412687420845
RebuildWholeGraph,0,15,61,61,778,397.412687420845
RebuildWholeGraph,0,15,72,72,778,397.412687420845
RebuildWholeGraph,0,15,67,67,778,397.412687420845
RebuildWholeGraph,0,15,70,70,743,397.412687420845
RebuildWholeGraph,0,15,74,74,778,397.412687420845
RebuildWholeGraph,0,15,89,89,778,397.412687420845
RebuildWholeGraph,0,15,72,72,778,397.412687420845
RebuildWholeGraph,0,15,59,59,743,397.412687420845
RebuildWholeGraph,0,15,98,98,778,397.412687420845
RebuildWholeGraph,0,15,122,122,745,397.412687420845
RebuildWholeGraph,0,15,83,83,778,397.412687420845
RebuildWholeGraph,0,15,69,69,778,397.412687420845
RebuildWholeGraph,0,15,80,80,778,397.412687420845
RebuildWholeGraph,0,15,85,85,778,397.412687420845
RebuildWholeGraph,0,15,67,67,745,397.412687420845
RebuildWholeGraph,1,11,48,48,519,471.131294488907
RebuildWholeGraph,1,11,47,47,519,471.131294488907
RebuildWholeGraph,1,11,47,47,536,471.131294488907
RebuildWholeGraph,1,11,50,50,541,471.131294488907
RebuildWholeGraph,1,11,50,50,541,471.131294488907
RebuildWholeGraph,1,11,51,51,519,471.131294488907
RebuildWholeGraph,1,11,41,41,519,471.131294488907
RebuildWholeGraph,1,11,48,48,519,471.131294488907
RebuildWholeGraph,1,11,52,52,527,471.131294488907
RebuildWholeGraph,1,11,47,47,562,471.131294488907
RebuildWholeGraph,1,11,47,47,519,471.131294488907
RebuildWholeGraph,1,11,48,48,562,471.131294488907
RebuildWholeGraph,1,11,48,48,536,471.131294488907
RebuildWholeGraph,1,11,49,49,562,471.131294488907
RebuildWholeGraph,1,11,48,48,541,471.131294488907
RebuildWholeGraph,1,11,42,42,519,471.131294488907
RebuildWholeGraph,1,11,51,51,519,471.131294488907
RebuildWholeGraph,1,11,44,44,519,471.131294488907
RebuildWholeGraph,1,11,52,52,519,471.131294488907
RebuildWholeGraph,1,11,49,49,527,471.131294488907
RebuildWholeGraph,1,11,55,55,536,471.131294488907
RebuildWholeGraph,1,11,48,48,562,471.131294488907
RebuildWholeGraph,1,11,54,54,519,471.131294488907
RebuildWholeGraph,1,11,54,54,562,471.131294488907
RebuildWholeGraph,1,11,50,50,562,471.131294488907
RebuildWholeGraph,1,11,55,55,519,471.131294488907
RebuildWholeGraph,1,11,48,48,562,471.131294488907
RebuildWholeGraph,1,11,49,49,541,471.131294488907
RebuildWholeGraph,1,11,50,50,519,471.131294488907
RebuildWholeGraph,1,11,45,45,519,471.131294488907
RebuildWholeGraph,2,14,65,65,622,323.440772652626
RebuildWholeGraph,2,14,54,54,575,326.371811509132
RebuildWholeGraph,2,14,72,72,641,323.440772652626
RebuildWholeGraph,2,14,70,70,606,323.440772652626
RebuildWholeGraph,2,14,85,85,575,323.440772652626
RebuildWholeGraph,2,14,69,69,575,323.440772652626
RebuildWholeGraph,2,14,82,82,606,323.440772652626
RebuildWholeGraph,2,14,80,80,606,323.440772652626
RebuildWholeGraph,2,14,76,76,575,323.440772652626
RebuildWholeGraph,2,14,82,82,641,323.440772652626
RebuildWholeGraph,2,14,68,68,575,323.440772652626
RebuildWholeGraph,2,14,56,56,575,326.371811509132
RebuildWholeGraph,2,14,85,85,606,323.440772652626
RebuildWholeGraph,2,14,73,73,606,323.440772652626
RebuildWholeGraph,2,14,97,97,589,323.440772652626
RebuildWholeGraph,2,14,79,79,602,323.440772652626
RebuildWholeGraph,2,14,76,76,589,323.440772652626
RebuildWholeGraph,2,14,71,71,606,323.440772652626
RebuildWholeGraph,2,14,70,70,580,323.440772652626
RebuildWholeGraph,2,14,69,69,602,323.440772652626
RebuildWholeGraph,2,14,90,90,580,323.440772652626
RebuildWholeGraph,2,14,83,83,599,323.440772652626
RebuildWholeGraph,2,14,78,78,589,323.440772652626
RebuildWholeGraph,2,14,95,95,602,323.440772652626
RebuildWholeGraph,2,14,72,72,622,323.440772652626
RebuildWholeGraph,2,14,82,82,575,323.440772652626
RebuildWholeGraph,2,14,64,64,580,323.440772652626
RebuildWholeGraph,2,14,77,77,622,323.440772652626
RebuildWholeGraph,2,14,74,74,575,323.440772652626
RebuildWholeGraph,2,14,81,81,580,323.440772652626
