Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,106,106,778,477
RebuildWholeGraph,0,15,84,84,778,477
RebuildWholeGraph,0,15,72,72,778,477
RebuildWholeGraph,0,15,91,91,778,477
RebuildWholeGraph,0,15,78,78,743,477
RebuildWholeGraph,0,15,76,76,745,477
RebuildWholeGraph,0,15,67,67,743,477
RebuildWholeGraph,0,15,79,79,745,477
RebuildWholeGraph,0,15,87,87,762,477
RebuildWholeGraph,0,15,74,74,778,477
RebuildWholeGraph,0,15,77,77,778,477
RebuildWholeGraph,0,15,96,96,745,477
RebuildWholeGraph,0,15,82,82,745,477
RebuildWholeGraph,0,15,84,84,778,477
RebuildWholeGraph,0,15,95,95,745,477
RebuildWholeGraph,0,15,71,71,743,477
RebuildWholeGraph,0,15,80,80,736,479
RebuildWholeGraph,0,15,91,91,778,477
RebuildWholeGraph,0,15,96,96,745,477
RebuildWholeGraph,0,15,73,73,726,477
RebuildWholeGraph,0,15,77,77,778,477
RebuildWholeGraph,0,15,79,79,724,479
RebuildWholeGraph,0,15,89,89,778,477
RebuildWholeGraph,0,15,69,69,778,477
RebuildWholeGraph,0,15,92,92,745,477
RebuildWholeGraph,0,15,105,105,778,477
RebuildWholeGraph,0,15,90,90,743,477
RebuildWholeGraph,0,15,92,92,778,477
RebuildWholeGraph,0,15,85,85,782,477
RebuildWholeGraph,0,15,87,87,745,477
RebuildWholeGraph,1,11,58,58,562,523
RebuildWholeGraph,1,11,94,94,536,523
RebuildWholeGraph,1,11,344,344,519,523
RebuildWholeGraph,1,11,154,154,519,523
RebuildWholeGraph,1,11,57,57,519,523
RebuildWholeGraph,1,11,52,52,562,523
RebuildWholeGraph,1,11,232,232,519,523
RebuildWholeGraph,1,11,49,49,519,523
RebuildWholeGraph,1,11,211,211,541,523
RebuildWholeGraph,1,11,116,116,519,523
RebuildWholeGraph,1,11,144,144,519,523
RebuildWholeGraph,1,11,160,160,519,523
RebuildWholeGraph,1,11,647,647,519,523
RebuildWholeGraph,1,11,267,267,519,523
RebuildWholeGraph,1,11,149,149,519,523
RebuildWholeGraph,1,11,453,453,541,523
RebuildWholeGraph,1,11,251,251,519,523
RebuildWholeGraph,1,11,56,56,577,523
RebuildWholeGraph,1,11,39,39,551,523
RebuildWholeGraph,1,11,110,110,555,523
RebuildWholeGraph,1,11,55,55,536,523
RebuildWholeGraph,1,11,51,51,519,523
RebuildWholeGraph,1,11,104,104,541,523
RebuildWholeGraph,1,11,48,48,519,523
RebuildWholeGraph,1,11,334,334,555,523
RebuildWholeGraph,1,11,47,47,519,523
RebuildWholeGraph,1,11,52,52,519,523
RebuildWholeGraph,1,11,380,380,519,523
RebuildWholeGraph,1,11,388,388,519,523
RebuildWholeGraph,1,11,275,275,577,523
RebuildWholeGraph,2,14,90,90,602,364
RebuildWholeGraph,2,14,76,76,575,366
RebuildWholeGraph,2,14,97,97,580,366
RebuildWholeGraph,2,14,71,71,599,366
RebuildWholeGraph,2,14,49,49,580,368
RebuildWholeGraph,2,14,180,180,606,364
RebuildWholeGraph,2,14,119,119,587,364
RebuildWholeGraph,2,14,65,65,580,366
RebuildWholeGraph,2,14,88,88,580,366
RebuildWholeGraph,2,14,77,77,580,366
RebuildWholeGraph,2,14,67,67,580,366
RebuildWholeGraph,2,14,74,74,599,366
RebuildWholeGraph,2,14,69,69,580,366
RebuildWholeGraph,2,14,84,84,616,364
RebuildWholeGraph,2,14,68,68,616,366
RebuildWholeGraph,2,14,65,65,616,366
RebuildWholeGraph,2,14,66,66,580,366
RebuildWholeGraph,2,14,74,74,599,366
RebuildWholeGraph,2,14,84,84,580,366
RebuildWholeGraph,2,14,78,78,599,366
RebuildWholeGraph,2,14,115,115,580,366
RebuildWholeGraph,2,14,231,231,631,364
RebuildWholeGraph,2,14,70,70,599,366
RebuildWholeGraph,2,14,80,80,599,366
RebuildWholeGraph,2,14,61,61,599,366
RebuildWholeGraph,2,14,66,66,580,366
RebuildWholeGraph,2,14,69,69,580,366
RebuildWholeGraph,2,14,63,63,599,366
RebuildWholeGraph,2,14,70,70,616,366
RebuildWholeGraph,2,14,92,92,599,366
