Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,47,47,743,322.172998905182
RebuildWholeGraph,0,15,54,54,726,322.172998905182
RebuildWholeGraph,0,15,53,53,743,322.172998905182
RebuildWholeGraph,0,15,49,49,724,322.172998905182
RebuildWholeGraph,0,15,51,51,743,322.172998905182
RebuildWholeGraph,0,15,48,48,743,322.172998905182
RebuildWholeGraph,0,15,50,50,743,322.172998905182
RebuildWholeGraph,0,15,53,53,743,322.172998905182
RebuildWholeGraph,0,15,49,49,743,322.172998905182
RebuildWholeGraph,0,15,48,48,743,322.172998905182
RebuildWholeGraph,0,15,48,48,743,322.172998905182
RebuildWholeGraph,0,15,54,54,782,322.172998905182
RebuildWholeGraph,0,15,51,51,726,322.172998905182
RebuildWholeGraph,0,15,53,53,726,322.172998905182
RebuildWholeGraph,0,15,52,52,723,322.172998905182
RebuildWholeGraph,0,15,53,53,745,322.172998905182
RebuildWholeGraph,0,15,52,52,724,322.172998905182
RebuildWholeGraph,0,15,52,52,724,322.172998905182
RebuildWholeGraph,0,15,48,48,743,322.172998905182
RebuildWholeGraph,0,15,53,53,782,322.172998905182
RebuildWholeGraph,0,15,53,53,743,322.172998905182
RebuildWholeGraph,0,15,51,51,723,322.172998905182
RebuildWholeGraph,0,15,49,49,743,322.172998905182
RebuildWholeGraph,0,15,47,47,743,322.172998905182
RebuildWholeGraph,0,15,48,48,724,322.172998905182
RebuildWholeGraph,0,15,49,49,743,322.172998905182
RebuildWholeGraph,0,15,48,48,723,322.172998905182
RebuildWholeGraph,0,15,51,51,724,322.172998905182
RebuildWholeGraph,0,15,52,52,782,322.172998905182
RebuildWholeGraph,0,15,52,52,745,322.172998905182
RebuildWholeGraph,1,11,42,42,527,315.993149757385
RebuildWholeGraph,1,11,39,39,551,315.993149757385
RebuildWholeGraph,1,11,40,40,551,315.993149757385
RebuildWholeGraph,1,11,41,41,519,315.993149757385
RebuildWholeGraph,1,11,42,42,536,315.993149757385
RebuildWholeGraph,1,11,40,40,527,315.993149757385
RebuildWholeGraph,1,11,47,47,519,315.993149757385
RebuildWholeGraph,1,11,42,42,536,315.993149757385
RebuildWholeGraph,1,11,41,41,519,315.993149757385
RebuildWholeGraph,1,11,45,45,536,315.993149757385
RebuildWholeGraph,1,11,39,39,551,315.993149757385
RebuildWholeGraph,1,11,40,40,562,315.993149757385
RebuildWholeGraph,1,11,39,39,555,315.993149757385
RebuildWholeGraph,1,11,45,45,536,315.993149757385
RebuildWholeGraph,1,11,39,39,519,315.993149757385
RebuildWholeGraph,1,11,39,39,582,315.993149757385
RebuildWholeGraph,1,11,39,39,555,315.993149757385
RebuildWholeGraph,1,11,42,42,551,315.993149757385
RebuildWholeGraph,1,11,40,40,519,315.993149757385
RebuildWholeGraph,1,11,39,39,519,315.993149757385
RebuildWholeGraph,1,11,41,41,582,315.993149757385
RebuildWholeGraph,1,11,39,39,519,315.993149757385
RebuildWholeGraph,1,11,39,39,519,315.993149757385
RebuildWholeGraph,1,11,43,43,555,315.993149757385
RebuildWholeGraph,1,11,39,39,519,315.993149757385
RebuildWholeGraph,1,11,40,40,551,315.993149757385
RebuildWholeGraph,1,11,39,39,569,315.993149757385
RebuildWholeGraph,1,11,39,39,536,315.993149757385
RebuildWholeGraph,1,11,40,40,536,315.993149757385
RebuildWholeGraph,1,11,41,41,536,315.993149757385
RebuildWholeGraph,2,14,56,56,602,264.480717658997
RebuildWholeGraph,2,14,56,56,599,264.480717658997
RebuildWholeGraph,2,14,52,52,580,264.480717658997
RebuildWholeGraph,2,14,58,58,580,264.480717658997
RebuildWholeGraph,2,14,51,51,606,264.480717658997
RebuildWholeGraph,2,14,59,59,580,264.480717658997
RebuildWholeGraph,2,14,57,57,580,264.480717658997
RebuildWholeGraph,2,14,58,58,606,264.480717658997
RebuildWholeGraph,2,14,55,55,599,264.480717658997
RebuildWholeGraph,2,14,54,54,599,264.480717658997
RebuildWholeGraph,2,14,57,57,580,264.480717658997
RebuildWholeGraph,2,14,67,67,580,264.480717658997
RebuildWholeGraph,2,14,62,62,580,264.480717658997
RebuildWholeGraph,2,14,58,58,580,264.480717658997
RebuildWholeGraph,2,14,50,50,593,264.480717658997
RebuildWholeGraph,2,14,54,54,606,264.480717658997
RebuildWholeGraph,2,14,58,58,606,264.480717658997
RebuildWholeGraph,2,14,59,59,589,264.480717658997
RebuildWholeGraph,2,14,52,52,580,264.480717658997
RebuildWholeGraph,2,14,48,48,606,264.480717658997
RebuildWholeGraph,2,14,57,57,599,264.480717658997
RebuildWholeGraph,2,14,60,60,597,264.480717658997
RebuildWholeGraph,2,14,55,55,606,264.480717658997
RebuildWholeGraph,2,14,51,51,580,264.480717658997
RebuildWholeGraph,2,14,64,64,580,264.480717658997
RebuildWholeGraph,2,14,59,59,641,264.480717658997
RebuildWholeGraph,2,14,51,51,606,264.480717658997
RebuildWholeGraph,2,14,65,65,580,264.480717658997
RebuildWholeGraph,2,14,49,49,575,264.480717658997
RebuildWholeGraph,2,14,56,56,580,264.480717658997
