Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,70,70,723,408
RebuildWholeGraph,0,15,50,50,743,410
RebuildWholeGraph,0,15,50,50,743,410
RebuildWholeGraph,0,15,47,47,743,410
RebuildWholeGraph,0,15,46,46,743,410
RebuildWholeGraph,0,15,51,51,723,410
RebuildWholeGraph,0,15,49,49,743,410
RebuildWholeGraph,0,15,50,50,743,410
RebuildWholeGraph,0,15,56,56,723,408
RebuildWholeGraph,0,15,50,50,723,410
RebuildWholeGraph,0,15,52,52,745,408
RebuildWholeGraph,0,15,55,55,723,410
RebuildWholeGraph,0,15,49,49,723,410
RebuildWholeGraph,0,15,46,46,782,410
RebuildWholeGraph,0,15,46,46,723,410
RebuildWholeGraph,0,15,64,64,782,408
RebuildWholeGraph,0,15,56,56,723,408
RebuildWholeGraph,0,15,63,63,743,408
RebuildWholeGraph,0,15,56,56,745,408
RebuildWholeGraph,0,15,62,62,723,408
RebuildWholeGraph,0,15,58,58,778,408
RebuildWholeGraph,0,15,57,57,723,408
RebuildWholeGraph,0,15,67,67,743,408
RebuildWholeGraph,0,15,59,59,743,408
RebuildWholeGraph,0,15,64,64,723,408
RebuildWholeGraph,0,15,58,58,782,408
RebuildWholeGraph,0,15,59,59,743,408
RebuildWholeGraph,0,15,52,52,723,408
RebuildWholeGraph,0,15,62,62,778,408
RebuildWholeGraph,0,15,49,49,743,410
RebuildWholeGraph,1,11,44,44,555,402
RebuildWholeGraph,1,11,42,42,577,402
RebuildWholeGraph,1,11,39,39,555,402
RebuildWholeGraph,1,11,44,44,562,402
RebuildWholeGraph,1,11,43,43,519,402
RebuildWholeGraph,1,11,45,45,536,402
RebuildWholeGraph,1,11,45,45,577,402
RebuildWholeGraph,1,11,40,40,577,402
RebuildWholeGraph,1,11,42,42,551,402
RebuildWholeGraph,1,11,44,44,582,402
RebuildWholeGraph,1,11,40,40,551,402
RebuildWholeGraph,1,11,45,45,582,402
RebuildWholeGraph,1,11,49,49,569,402
RebuildWholeGraph,1,11,45,45,519,402
RebuildWholeGraph,1,11,46,46,551,402
RebuildWholeGraph,1,11,47,47,562,402
RebuildWholeGraph,1,11,42,42,519,402
RebuildWholeGraph,1,11,46,46,519,402
RebuildWholeGraph,1,11,46,46,555,402
RebuildWholeGraph,1,11,45,45,555,402
RebuildWholeGraph,1,11,45,45,582,402
RebuildWholeGraph,1,11,41,41,551,402
RebuildWholeGraph,1,11,46,46,527,402
RebuildWholeGraph,1,11,45,45,577,402
RebuildWholeGraph,1,11,50,50,582,402
RebuildWholeGraph,1,11,40,40,551,402
RebuildWholeGraph,1,11,43,43,536,402
RebuildWholeGraph,1,11,39,39,562,402
RebuildWholeGraph,1,11,41,41,519,402
RebuildWholeGraph,1,11,46,46,527,402
RebuildWholeGraph,2,14,50,50,580,326
RebuildWholeGraph,2,14,50,50,580,326
RebuildWholeGraph,2,14,52,52,575,326
RebuildWholeGraph,2,14,55,55,575,326
RebuildWholeGraph,2,14,54,54,593,326
RebuildWholeGraph,2,14,51,51,602,326
RebuildWholeGraph,2,14,54,54,589,326
RebuildWholeGraph,2,14,50,50,599,326
RebuildWholeGraph,2,14,51,51,641,326
RebuildWholeGraph,2,14,48,48,575,326
RebuildWholeGraph,2,14,57,57,587,326
RebuildWholeGraph,2,14,51,51,597,326
RebuildWholeGraph,2,14,51,51,580,326
RebuildWholeGraph,2,14,48,48,597,326
RebuildWholeGraph,2,14,56,56,580,326
RebuildWholeGraph,2,14,49,49,575,326
RebuildWholeGraph,2,14,50,50,602,326
RebuildWholeGraph,2,14,54,54,599,326
RebuildWholeGraph,2,14,52,52,597,326
RebuildWholeGraph,2,14,52,52,602,326
RebuildWholeGraph,2,14,53,53,575,326
RebuildWholeGraph,2,14,56,56,641,326
RebuildWholeGraph,2,14,51,51,575,326
RebuildWholeGraph,2,14,49,49,641,326
RebuildWholeGraph,2,14,56,56,599,326
RebuildWholeGraph,2,14,55,55,575,326
RebuildWholeGraph,2,14,51,51,597,326
RebuildWholeGraph,2,14,51,51,580,326
RebuildWholeGraph,2,14,53,53,575,326
RebuildWholeGraph,2,14,49,49,599,326
