Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,70,70,606,1757.28925672488
RebuildWholeGraph,0,13,134,134,606,1752.42751055112
RebuildWholeGraph,0,13,64,64,600,1757.28925672488
RebuildWholeGraph,0,13,124,124,640,1752.42751055112
RebuildWholeGraph,0,13,287,287,608,1752.42751055112
RebuildWholeGraph,0,13,187,187,606,1752.42751055112
RebuildWholeGraph,0,13,138,138,600,1752.42751055112
RebuildWholeGraph,0,13,372,372,581,1752.42751055112
RebuildWholeGraph,0,13,349,349,606,1752.42751055112
RebuildWholeGraph,0,13,121,121,581,1752.42751055112
RebuildWholeGraph,0,13,67,67,600,1752.42751055112
RebuildWholeGraph,0,13,131,131,606,1752.42751055112
RebuildWholeGraph,0,13,95,95,606,1752.42751055112
RebuildWholeGraph,0,13,72,72,618,1752.42751055112
RebuildWholeGraph,0,13,163,163,606,1752.42751055112
RebuildWholeGraph,0,13,203,203,606,1752.42751055112
RebuildWholeGraph,0,13,81,81,600,1752.42751055112
RebuildWholeGraph,0,13,78,78,606,1752.42751055112
RebuildWholeGraph,0,13,304,304,606,1752.42751055112
RebuildWholeGraph,0,13,76,76,621,1757.28925672488
RebuildWholeGraph,0,13,78,78,585,1752.42751055112
RebuildWholeGraph,0,13,100,100,581,1752.42751055112
RebuildWholeGraph,0,13,113,113,608,1752.42751055112
RebuildWholeGraph,0,13,100,100,566,1752.42751055112
RebuildWholeGraph,0,13,62,62,606,1757.28925672488
RebuildWholeGraph,0,13,375,375,606,1752.42751055112
RebuildWholeGraph,0,13,207,207,606,1752.42751055112
RebuildWholeGraph,0,13,137,137,600,1752.42751055112
RebuildWholeGraph,0,13,87,87,606,1752.42751055112
RebuildWholeGraph,0,13,118,118,600,1752.42751055112
RebuildWholeGraph,1,15,140,140,693,1547.33907567199
RebuildWholeGraph,1,15,117,117,693,1551.29350468905
RebuildWholeGraph,1,15,76,76,678,1551.29350468905
RebuildWholeGraph,1,15,132,132,680,1547.33907567199
RebuildWholeGraph,1,15,73,73,678,1551.29350468905
RebuildWholeGraph,1,15,94,94,694,1547.33907567199
RebuildWholeGraph,1,15,210,210,678,1547.33907567199
