Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,40,40,608,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,43,43,585,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,42,42,585,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,41,41,640,1310.9243697479
RebuildWholeGraph,0,13,43,43,640,1310.9243697479
RebuildWholeGraph,0,13,44,44,608,1310.9243697479
RebuildWholeGraph,0,13,42,42,640,1310.9243697479
RebuildWholeGraph,0,13,41,41,640,1310.9243697479
RebuildWholeGraph,0,13,41,41,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,608,1310.9243697479
RebuildWholeGraph,0,13,40,40,600,1310.9243697479
RebuildWholeGraph,0,13,41,41,640,1310.9243697479
RebuildWholeGraph,0,13,43,43,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,600,1310.9243697479
RebuildWholeGraph,0,13,41,41,585,1310.9243697479
RebuildWholeGraph,0,13,40,40,600,1310.9243697479
RebuildWholeGraph,0,13,40,40,585,1310.9243697479
RebuildWholeGraph,0,13,41,41,585,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,585,1310.9243697479
RebuildWholeGraph,0,13,40,40,618,1310.9243697479
RebuildWholeGraph,0,13,40,40,618,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,0,13,40,40,640,1310.9243697479
RebuildWholeGraph,1,15,42,42,710,1557.69230769231
RebuildWholeGraph,1,15,42,42,693,1557.69230769231
RebuildWholeGraph,1,15,50,50,696,1557.69230769231
RebuildWholeGraph,1,15,44,44,696,1557.69230769231
RebuildWholeGraph,1,15,47,47,710,1557.69230769231
RebuildWholeGraph,1,15,44,44,678,1557.69230769231
RebuildWholeGraph,1,15,42,42,696,1557.69230769231
RebuildWholeGraph,1,15,46,46,694,1557.69230769231
RebuildWholeGraph,1,15,43,43,710,1557.69230769231
RebuildWholeGraph,1,15,51,51,698,1557.69230769231
RebuildWholeGraph,1,15,42,42,698,1557.69230769231
RebuildWholeGraph,1,15,42,42,680,1557.69230769231
RebuildWholeGraph,1,15,45,45,710,1557.69230769231
RebuildWholeGraph,1,15,44,44,696,1557.69230769231
RebuildWholeGraph,1,15,44,44,696,1557.69230769231
RebuildWholeGraph,1,15,42,42,710,1557.69230769231
RebuildWholeGraph,1,15,45,45,693,1557.69230769231
RebuildWholeGraph,1,15,42,42,696,1557.69230769231
RebuildWholeGraph,1,15,45,45,696,1557.69230769231
RebuildWholeGraph,1,15,45,45,680,1557.69230769231
RebuildWholeGraph,1,15,43,43,678,1557.69230769231
RebuildWholeGraph,1,15,50,50,693,1557.69230769231
RebuildWholeGraph,1,15,42,42,696,1557.69230769231
RebuildWholeGraph,1,15,42,42,710,1557.69230769231
RebuildWholeGraph,1,15,44,44,696,1557.69230769231
RebuildWholeGraph,1,15,42,42,680,1557.69230769231
RebuildWholeGraph,1,15,42,42,696,1557.69230769231
RebuildWholeGraph,1,15,42,42,696,1557.69230769231
RebuildWholeGraph,1,15,48,48,696,1557.69230769231
RebuildWholeGraph,1,15,44,44,696,1557.69230769231
RebuildWholeGraph,2,8,52,52,319,1254.38596491228
RebuildWholeGraph,2,8,60,60,319,1254.38596491228
RebuildWholeGraph,2,8,43,43,319,1254.38596491228
RebuildWholeGraph,2,8,44,44,319,1254.38596491228
RebuildWholeGraph,2,8,67,67,319,1254.38596491228
RebuildWholeGraph,2,8,36,36,323,1254.38596491228
RebuildWholeGraph,2,8,54,54,323,1254.38596491228
RebuildWholeGraph,2,8,48,48,319,1254.38596491228
RebuildWholeGraph,2,8,114,114,342,1254.38596491228
RebuildWholeGraph,2,8,38,38,319,1254.38596491228
RebuildWholeGraph,2,8,36,36,342,1254.38596491228
RebuildWholeGraph,2,8,40,40,342,1254.38596491228
RebuildWholeGraph,2,8,43,43,319,1254.38596491228
RebuildWholeGraph,2,8,36,36,319,1254.38596491228
RebuildWholeGraph,2,8,36,36,319,1254.38596491228
RebuildWholeGraph,2,8,58,58,319,1254.38596491228
RebuildWholeGraph,2,8,78,78,319,1254.38596491228
RebuildWholeGraph,2,8,48,48,342,1254.38596491228
RebuildWholeGraph,2,8,37,37,319,1254.38596491228
RebuildWholeGraph,2,8,40,40,319,1254.38596491228
RebuildWholeGraph,2,8,82,82,342,1254.38596491228
RebuildWholeGraph,2,8,38,38,319,1254.38596491228
RebuildWholeGraph,2,8,42,42,319,1254.38596491228
RebuildWholeGraph,2,8,62,62,319,1254.38596491228
RebuildWholeGraph,2,8,69,69,342,1254.38596491228
RebuildWholeGraph,2,8,52,52,342,1254.38596491228
RebuildWholeGraph,2,8,57,57,319,1254.38596491228
RebuildWholeGraph,2,8,86,86,319,1254.38596491228
RebuildWholeGraph,2,8,58,58,350,1254.38596491228
RebuildWholeGraph,2,8,36,36,319,1254.38596491228
RebuildWholeGraph,3,12,148,148,816,1463.41463414634
RebuildWholeGraph,3,12,40,40,826,1463.41463414634
RebuildWholeGraph,3,12,42,42,816,1463.41463414634
RebuildWholeGraph,3,12,40,40,816,1463.41463414634
RebuildWholeGraph,3,12,58,58,816,1463.41463414634
RebuildWholeGraph,3,12,55,55,816,1463.41463414634
RebuildWholeGraph,3,12,48,48,816,1463.41463414634
RebuildWholeGraph,3,12,46,46,816,1463.41463414634
RebuildWholeGraph,3,12,59,59,816,1463.41463414634
RebuildWholeGraph,3,12,64,64,727,1463.41463414634
RebuildWholeGraph,3,12,50,50,727,1463.41463414634
RebuildWholeGraph,3,12,46,46,736,1463.41463414634
RebuildWholeGraph,3,12,77,77,816,1463.41463414634
RebuildWholeGraph,3,12,53,53,826,1463.41463414634
RebuildWholeGraph,3,12,84,84,816,1463.41463414634
RebuildWholeGraph,3,12,79,79,816,1463.41463414634
RebuildWholeGraph,3,12,68,68,816,1463.41463414634
RebuildWholeGraph,3,12,40,40,816,1463.41463414634
RebuildWholeGraph,3,12,56,56,816,1463.41463414634
RebuildWholeGraph,3,12,49,49,816,1463.41463414634
RebuildWholeGraph,3,12,44,44,816,1463.41463414634
RebuildWholeGraph,3,12,57,57,816,1463.41463414634
RebuildWholeGraph,3,12,47,47,751,1463.41463414634
RebuildWholeGraph,3,12,47,47,816,1463.41463414634
RebuildWholeGraph,3,12,60,60,816,1463.41463414634
RebuildWholeGraph,3,12,51,51,751,1463.41463414634
RebuildWholeGraph,3,12,46,46,816,1463.41463414634
RebuildWholeGraph,3,12,56,56,816,1463.41463414634
RebuildWholeGraph,3,12,55,55,816,1463.41463414634
RebuildWholeGraph,3,12,50,50,816,1463.41463414634
RebuildWholeGraph,4,12,86,86,615,1128.20512820513
RebuildWholeGraph,4,12,168,168,615,1128.20512820513
RebuildWholeGraph,4,12,48,48,660,1128.20512820513
RebuildWholeGraph,4,12,49,49,599,1128.20512820513
RebuildWholeGraph,4,12,72,72,647,1128.20512820513
RebuildWholeGraph,4,12,177,177,614,1128.20512820513
RebuildWholeGraph,4,12,46,46,659,1128.20512820513
RebuildWholeGraph,4,12,122,122,647,1128.20512820513
RebuildWholeGraph,4,12,63,63,614,1128.20512820513
RebuildWholeGraph,4,12,68,68,614,1128.20512820513
RebuildWholeGraph,4,12,74,74,647,1128.20512820513
RebuildWholeGraph,4,12,57,57,647,1128.20512820513
RebuildWholeGraph,4,12,52,52,647,1128.20512820513
RebuildWholeGraph,4,12,142,142,647,1128.20512820513
RebuildWholeGraph,4,12,146,146,660,1128.20512820513
RebuildWholeGraph,4,12,43,43,599,1128.20512820513
RebuildWholeGraph,4,12,98,98,647,1128.20512820513
RebuildWholeGraph,4,12,196,196,615,1128.20512820513
RebuildWholeGraph,4,12,54,54,599,1128.20512820513
RebuildWholeGraph,4,12,46,46,660,1128.20512820513
RebuildWholeGraph,4,12,59,59,647,1128.20512820513
RebuildWholeGraph,4,12,75,75,660,1128.20512820513
RebuildWholeGraph,4,12,49,49,599,1128.20512820513
RebuildWholeGraph,4,12,61,61,647,1128.20512820513
RebuildWholeGraph,4,12,142,142,659,1128.20512820513
RebuildWholeGraph,4,12,210,210,615,1128.20512820513
RebuildWholeGraph,4,12,43,43,599,1128.20512820513
RebuildWholeGraph,4,12,83,83,660,1128.20512820513
RebuildWholeGraph,4,12,49,49,660,1128.20512820513
RebuildWholeGraph,4,12,213,213,659,1128.20512820513
