Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,68,68,572,347.098554611206
RebuildWholeGraph,0,13,91,91,644,347.098554611206
RebuildWholeGraph,0,13,96,96,586,347.098554611206
RebuildWholeGraph,0,13,81,81,572,347.098554611206
RebuildWholeGraph,0,13,133,133,572,347.098554611206
RebuildWholeGraph,0,13,176,176,639,347.098554611206
RebuildWholeGraph,0,13,92,92,586,347.098554611206
RebuildWholeGraph,0,13,60,60,572,347.19322681427
RebuildWholeGraph,0,13,80,80,644,347.098554611206
RebuildWholeGraph,0,13,63,63,572,347.19322681427
RebuildWholeGraph,0,13,86,86,586,347.098554611206
RebuildWholeGraph,0,13,65,65,640,347.098554611206
RebuildWholeGraph,0,13,138,138,586,347.098554611206
RebuildWholeGraph,0,13,64,64,572,347.19322681427
RebuildWholeGraph,0,13,108,108,586,347.098554611206
RebuildWholeGraph,0,13,103,103,639,347.098554611206
RebuildWholeGraph,0,13,68,68,572,347.19322681427
RebuildWholeGraph,0,13,82,82,586,347.098554611206
RebuildWholeGraph,0,13,68,68,572,347.19322681427
RebuildWholeGraph,0,13,83,83,586,347.098554611206
RebuildWholeGraph,0,13,70,70,586,347.098554611206
RebuildWholeGraph,0,13,79,79,586,347.098554611206
RebuildWholeGraph,0,13,79,79,640,347.098554611206
RebuildWholeGraph,0,13,57,57,586,347.19322681427
RebuildWholeGraph,0,13,72,72,586,347.098554611206
RebuildWholeGraph,0,13,71,71,572,347.19322681427
RebuildWholeGraph,0,13,89,89,586,347.098554611206
RebuildWholeGraph,0,13,121,121,598,347.098554611206
RebuildWholeGraph,0,13,75,75,586,347.098554611206
RebuildWholeGraph,0,13,100,100,639,347.098554611206
RebuildWholeGraph,1,14,162,162,641,292.422632694244
RebuildWholeGraph,1,14,224,224,628,290.675807476044
RebuildWholeGraph,1,14,199,199,641,292.422632694244
RebuildWholeGraph,1,14,114,114,611,290.886312007904
RebuildWholeGraph,1,14,63,63,641,295.783023357391
RebuildWholeGraph,1,14,242,242,579,290.675807476044
RebuildWholeGraph,1,14,157,157,641,290.675807476044
RebuildWholeGraph,1,14,197,197,579,290.675807476044
RebuildWholeGraph,1,14,88,88,641,290.675807476044
RebuildWholeGraph,1,14,101,101,591,292.422632694244
RebuildWholeGraph,1,14,68,68,612,290.675807476044
RebuildWholeGraph,1,14,51,51,591,297.87051820755
RebuildWholeGraph,1,14,98,98,628,292.422632694244
RebuildWholeGraph,1,14,158,158,641,290.675807476044
RebuildWholeGraph,1,14,98,98,611,292.422632694244
RebuildWholeGraph,1,14,145,145,579,290.675807476044
RebuildWholeGraph,1,14,82,82,579,290.675807476044
RebuildWholeGraph,1,14,52,52,592,297.87051820755
RebuildWholeGraph,1,14,147,147,611,290.675807476044
RebuildWholeGraph,1,14,171,171,613,290.675807476044
RebuildWholeGraph,1,14,129,129,579,290.675807476044
RebuildWholeGraph,1,14,141,141,611,290.886312007904
RebuildWholeGraph,1,14,67,67,641,290.886312007904
RebuildWholeGraph,1,14,189,189,641,292.422632694244
RebuildWholeGraph,1,14,102,102,641,292.422632694244
RebuildWholeGraph,1,14,86,86,579,290.675807476044
RebuildWholeGraph,1,14,86,86,641,292.422632694244
RebuildWholeGraph,1,14,129,129,611,290.675807476044
RebuildWholeGraph,1,14,204,204,579,290.675807476044
RebuildWholeGraph,1,14,109,109,611,290.675807476044
RebuildWholeGraph,2,12,72,72,574,275.096950531006
RebuildWholeGraph,2,12,70,70,574,275.096950531006
RebuildWholeGraph,2,12,127,127,574,269.677805900574
RebuildWholeGraph,2,12,101,101,574,275.096950531006
RebuildWholeGraph,2,12,84,84,594,275.096950531006
RebuildWholeGraph,2,12,89,89,574,275.096950531006
RebuildWholeGraph,2,12,50,50,569,278.192732810974
RebuildWholeGraph,2,12,72,72,628,275.096950531006
RebuildWholeGraph,2,12,80,80,650,275.096950531006
RebuildWholeGraph,2,12,81,81,628,275.096950531006
RebuildWholeGraph,2,12,131,131,574,269.677805900574
RebuildWholeGraph,2,12,176,176,574,269.677805900574
RebuildWholeGraph,2,12,85,85,614,270.149828910828
RebuildWholeGraph,2,12,78,78,574,275.096950531006
RebuildWholeGraph,2,12,72,72,628,269.677805900574
RebuildWholeGraph,2,12,86,86,614,269.677805900574
RebuildWholeGraph,2,12,82,82,614,269.677805900574
RebuildWholeGraph,2,12,86,86,594,275.096950531006
RebuildWholeGraph,2,12,76,76,569,275.096950531006
RebuildWholeGraph,2,12,195,195,574,269.677805900574
RebuildWholeGraph,2,12,67,67,574,275.096950531006
RebuildWholeGraph,2,12,98,98,628,275.096950531006
RebuildWholeGraph,2,12,71,71,628,275.096950531006
RebuildWholeGraph,2,12,77,77,574,269.677805900574
RebuildWholeGraph,2,12,93,93,594,275.096950531006
RebuildWholeGraph,2,12,85,85,650,275.096950531006
RebuildWholeGraph,2,12,190,190,614,269.677805900574
RebuildWholeGraph,2,12,87,87,608,275.096950531006
RebuildWholeGraph,2,12,78,78,614,269.677805900574
RebuildWholeGraph,2,12,75,75,574,269.677805900574
RebuildWholeGraph,3,13,55,55,594,313.803825378418
RebuildWholeGraph,3,13,57,57,584,313.803825378418
RebuildWholeGraph,3,13,61,61,584,313.803825378418
RebuildWholeGraph,3,13,55,55,587,313.803825378418
RebuildWholeGraph,3,13,51,51,594,313.803825378418
RebuildWholeGraph,3,13,48,48,587,313.803825378418
RebuildWholeGraph,3,13,53,53,584,313.803825378418
RebuildWholeGraph,3,13,54,54,584,313.803825378418
RebuildWholeGraph,3,13,57,57,584,313.803825378418
RebuildWholeGraph,3,13,63,63,594,313.803825378418
RebuildWholeGraph,3,13,58,58,584,313.803825378418
RebuildWholeGraph,3,13,47,47,584,313.803825378418
RebuildWholeGraph,3,13,57,57,564,313.803825378418
RebuildWholeGraph,3,13,62,62,584,313.803825378418
RebuildWholeGraph,3,13,53,53,584,313.803825378418
RebuildWholeGraph,3,13,52,52,591,313.803825378418
RebuildWholeGraph,3,13,64,64,620,313.803825378418
RebuildWholeGraph,3,13,60,60,584,313.803825378418
RebuildWholeGraph,3,13,50,50,584,313.803825378418
RebuildWholeGraph,3,13,52,52,584,313.803825378418
RebuildWholeGraph,3,13,57,57,584,313.803825378418
RebuildWholeGraph,3,13,54,54,564,313.803825378418
