Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,51,51,586,414
RebuildWholeGraph,0,13,40,40,639,414
RebuildWholeGraph,0,13,44,44,572,414
RebuildWholeGraph,0,13,45,45,572,414
RebuildWholeGraph,0,13,44,44,586,414
RebuildWholeGraph,0,13,43,43,586,414
RebuildWholeGraph,0,13,43,43,586,414
RebuildWholeGraph,0,13,42,42,586,414
RebuildWholeGraph,0,13,43,43,586,414
RebuildWholeGraph,0,13,40,40,586,414
RebuildWholeGraph,0,13,47,47,586,414
RebuildWholeGraph,0,13,41,41,586,414
RebuildWholeGraph,0,13,40,40,586,414
RebuildWholeGraph,0,13,40,40,586,414
RebuildWholeGraph,0,13,41,41,586,414
RebuildWholeGraph,0,13,40,40,639,414
RebuildWholeGraph,0,13,42,42,586,414
RebuildWholeGraph,0,13,42,42,586,414
RebuildWholeGraph,0,13,43,43,586,414
RebuildWholeGraph,0,13,42,42,572,414
RebuildWholeGraph,0,13,43,43,586,414
RebuildWholeGraph,0,13,40,40,586,414
RebuildWholeGraph,0,13,43,43,586,414
RebuildWholeGraph,0,13,44,44,572,414
RebuildWholeGraph,0,13,46,46,586,414
RebuildWholeGraph,0,13,40,40,586,414
RebuildWholeGraph,0,13,42,42,586,414
RebuildWholeGraph,0,13,40,40,586,414
RebuildWholeGraph,0,13,45,45,586,414
RebuildWholeGraph,0,13,40,40,572,414
RebuildWholeGraph,1,14,184,184,611,362
RebuildWholeGraph,1,14,171,171,611,364
RebuildWholeGraph,1,14,92,92,592,364
RebuildWholeGraph,1,14,47,47,579,364
RebuildWholeGraph,1,14,142,142,579,364
RebuildWholeGraph,1,14,124,124,611,364
RebuildWholeGraph,1,14,115,115,579,364
RebuildWholeGraph,1,14,88,88,611,364
RebuildWholeGraph,1,14,134,134,598,364
RebuildWholeGraph,1,14,72,72,579,364
RebuildWholeGraph,1,14,52,52,611,364
RebuildWholeGraph,1,14,52,52,579,364
RebuildWholeGraph,1,14,52,52,579,364
RebuildWholeGraph,1,14,325,325,579,362
RebuildWholeGraph,1,14,132,132,579,364
RebuildWholeGraph,1,14,137,137,613,364
RebuildWholeGraph,1,14,98,98,579,364
RebuildWholeGraph,1,14,55,55,579,364
RebuildWholeGraph,1,14,117,117,611,364
RebuildWholeGraph,1,14,127,127,579,364
RebuildWholeGraph,1,14,61,61,593,364
RebuildWholeGraph,1,14,64,64,641,364
RebuildWholeGraph,1,14,271,271,591,364
RebuildWholeGraph,1,14,107,107,611,364
RebuildWholeGraph,1,14,98,98,579,364
RebuildWholeGraph,1,14,113,113,611,364
RebuildWholeGraph,1,14,277,277,641,364
RebuildWholeGraph,1,14,95,95,611,364
RebuildWholeGraph,1,14,169,169,592,364
RebuildWholeGraph,1,14,85,85,579,364
RebuildWholeGraph,2,12,149,149,650,326
RebuildWholeGraph,2,12,500,500,574,326
RebuildWholeGraph,2,12,500,500,624,326
RebuildWholeGraph,2,12,76,76,584,326
RebuildWholeGraph,2,12,415,415,584,326
RebuildWholeGraph,2,12,91,91,650,326
RebuildWholeGraph,2,12,77,77,584,326
RebuildWholeGraph,2,12,68,68,594,326
RebuildWholeGraph,2,12,162,162,574,326
RebuildWholeGraph,2,12,54,54,624,326
RebuildWholeGraph,2,12,166,166,624,326
RebuildWholeGraph,2,12,401,401,584,326
RebuildWholeGraph,2,12,272,272,628,326
RebuildWholeGraph,2,12,162,162,574,326
RebuildWholeGraph,2,12,114,114,624,326
RebuildWholeGraph,2,12,179,179,624,326
RebuildWholeGraph,2,12,500,500,574,326
RebuildWholeGraph,2,12,150,150,584,326
RebuildWholeGraph,2,12,354,354,574,326
RebuildWholeGraph,2,12,281,281,594,326
RebuildWholeGraph,2,12,500,500,584,326
RebuildWholeGraph,2,12,73,73,650,326
RebuildWholeGraph,2,12,463,463,614,326
RebuildWholeGraph,2,12,62,62,614,326
RebuildWholeGraph,2,12,371,371,569,326
RebuildWholeGraph,2,12,121,121,569,326
RebuildWholeGraph,2,12,358,358,574,326
RebuildWholeGraph,2,12,125,125,614,326
RebuildWholeGraph,2,12,439,439,584,326
RebuildWholeGraph,2,12,381,381,624,326
RebuildWholeGraph,3,13,304,304,584,392
RebuildWholeGraph,3,13,500,500,563,392
RebuildWholeGraph,3,13,466,466,639,392
RebuildWholeGraph,3,13,117,117,584,392
RebuildWholeGraph,3,13,61,61,563,396
