Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,59,59,650,542
RebuildWholeGraph,0,12,84,84,650,542
RebuildWholeGraph,0,12,111,111,650,542
RebuildWholeGraph,0,12,74,74,650,542
RebuildWholeGraph,0,12,54,54,643,542
RebuildWholeGraph,0,12,112,112,681,542
RebuildWholeGraph,0,12,93,93,650,542
RebuildWholeGraph,0,12,60,60,643,542
RebuildWholeGraph,0,12,88,88,627,542
RebuildWholeGraph,0,12,109,109,681,542
RebuildWholeGraph,0,12,98,98,681,542
RebuildWholeGraph,0,12,82,82,650,542
RebuildWholeGraph,0,12,99,99,643,542
RebuildWholeGraph,0,12,86,86,645,542
RebuildWholeGraph,0,12,96,96,681,542
RebuildWholeGraph,0,12,71,71,650,542
RebuildWholeGraph,0,12,163,163,645,542
RebuildWholeGraph,0,12,111,111,643,542
RebuildWholeGraph,0,12,77,77,643,542
RebuildWholeGraph,0,12,66,66,650,542
RebuildWholeGraph,0,12,93,93,627,542
RebuildWholeGraph,0,12,101,101,643,542
RebuildWholeGraph,0,12,67,67,650,542
RebuildWholeGraph,0,12,64,64,654,542
RebuildWholeGraph,0,12,64,64,627,542
RebuildWholeGraph,0,12,126,126,650,542
RebuildWholeGraph,0,12,83,83,643,542
RebuildWholeGraph,0,12,59,59,643,542
RebuildWholeGraph,0,12,84,84,654,542
RebuildWholeGraph,0,12,62,62,650,542
RebuildWholeGraph,1,13,275,275,774,463
RebuildWholeGraph,1,13,852,852,774,463
RebuildWholeGraph,1,13,169,169,894,463
RebuildWholeGraph,1,13,124,124,894,463
RebuildWholeGraph,1,13,655,655,858,463
RebuildWholeGraph,1,13,588,588,779,463
RebuildWholeGraph,1,13,833,833,894,463
RebuildWholeGraph,1,13,610,610,858,463
RebuildWholeGraph,1,13,304,304,894,463
RebuildWholeGraph,1,13,362,362,779,463
RebuildWholeGraph,1,13,800,800,774,463
RebuildWholeGraph,1,13,335,335,894,463
RebuildWholeGraph,1,13,500,500,894,463
RebuildWholeGraph,1,13,1000,1000,774,463
RebuildWholeGraph,1,13,341,341,774,463
RebuildWholeGraph,1,13,759,759,872,463
RebuildWholeGraph,1,13,834,834,774,463
RebuildWholeGraph,1,13,372,372,774,463
RebuildWholeGraph,1,13,774,774,779,463
RebuildWholeGraph,1,13,406,406,779,463
RebuildWholeGraph,1,13,349,349,894,463
RebuildWholeGraph,1,13,485,485,858,463
RebuildWholeGraph,1,13,603,603,894,463
RebuildWholeGraph,1,13,348,348,894,463
RebuildWholeGraph,1,13,131,131,779,463
RebuildWholeGraph,1,13,1000,1000,894,463
RebuildWholeGraph,1,13,934,934,774,463
RebuildWholeGraph,1,13,841,841,894,463
RebuildWholeGraph,1,13,152,152,854,463
RebuildWholeGraph,1,13,518,518,894,463
RebuildWholeGraph,2,14,354,354,680,532
RebuildWholeGraph,2,14,284,284,680,532
RebuildWholeGraph,2,14,331,331,680,544
RebuildWholeGraph,2,14,542,542,680,532
RebuildWholeGraph,2,14,416,416,680,532
RebuildWholeGraph,2,14,361,361,692,532
RebuildWholeGraph,2,14,187,187,680,532
RebuildWholeGraph,2,14,342,342,680,532
RebuildWholeGraph,2,14,131,131,680,532
RebuildWholeGraph,2,14,223,223,680,532
RebuildWholeGraph,2,14,90,90,711,544
RebuildWholeGraph,2,14,145,145,680,532
RebuildWholeGraph,2,14,74,74,692,544
RebuildWholeGraph,2,14,375,375,680,544
RebuildWholeGraph,2,14,296,296,680,532
RebuildWholeGraph,2,14,75,75,728,532
RebuildWholeGraph,2,14,58,58,695,544
RebuildWholeGraph,2,14,250,250,680,532
RebuildWholeGraph,2,14,1000,1000,680,532
RebuildWholeGraph,2,14,535,535,680,532
RebuildWholeGraph,2,14,52,52,680,532
RebuildWholeGraph,2,14,109,109,695,544
RebuildWholeGraph,2,14,485,485,680,532
RebuildWholeGraph,2,14,224,224,715,532
RebuildWholeGraph,2,14,123,123,680,532
RebuildWholeGraph,2,14,481,481,686,534
RebuildWholeGraph,2,14,885,885,680,532
RebuildWholeGraph,2,14,315,315,680,532
RebuildWholeGraph,2,14,703,703,680,532
RebuildWholeGraph,2,14,1000,1000,728,534
RebuildWholeGraph,3,15,133,133,870,595
RebuildWholeGraph,3,15,74,74,860,595
RebuildWholeGraph,3,15,79,79,856,595
RebuildWholeGraph,3,15,113,113,870,595
RebuildWholeGraph,3,15,83,83,877,595
RebuildWholeGraph,3,15,236,236,941,595
RebuildWholeGraph,3,15,387,387,869,595
RebuildWholeGraph,3,15,84,84,860,595
RebuildWholeGraph,3,15,73,73,856,595
RebuildWholeGraph,3,15,323,323,941,595
