Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RemoveNodesDynamically,0,39,10,10,536.331205129623,39
RemoveNodesDynamically,0,38,20,10,534.98678278923,38
RemoveNodesDynamically,0,37,30,10,524.961074590683,37
RemoveNodesDynamically,0,36,40,10,523.652605772018,36
RemoveNodesDynamically,0,35,50,10,523.434074640274,35
RemoveNodesDynamically,0,34,60,10,510.379117250443,34
RemoveNodesDynamically,0,33,114,54,507.938222646713,33
RemoveNodesDynamically,0,32,138,24,505.600194215775,32
RemoveNodesDynamically,0,31,148,10,504.72453045845,31
RemoveNodesDynamically,0,30,158,10,500.41814160347,30
RemoveNodesDynamically,0,29,168,10,500.273761510849,29
RemoveNodesDynamically,0,28,192,24,488.642129659653,28
RemoveNodesDynamically,0,27,202,10,478.059221029282,27
RemoveNodesDynamically,0,26,212,10,478.022395133972,26
RemoveNodesDynamically,0,25,222,10,477.62890625,25
RemoveNodesDynamically,0,24,232,10,470.946792602539,24
RemoveNodesDynamically,0,23,242,10,450.195777893066,23
RemoveNodesDynamically,0,22,252,10,442.500648498535,22
RemoveNodesDynamically,0,21,262,10,433.417885780334,21
RemoveNodesDynamically,0,20,272,10,428.239360809326,20
RemoveNodesDynamically,0,19,282,10,422.381103515625,19
RemoveNodesDynamically,0,18,292,10,421.404356956482,18
RemoveNodesDynamically,0,17,331,39,408.542753219604,17
RemoveNodesDynamically,0,16,341,10,400.103167533875,16
RemoveNodesDynamically,0,15,351,10,387.338122367859,15
RemoveNodesDynamically,0,14,361,10,363.949505805969,14
RemoveNodesDynamically,0,13,371,10,358.894552230835,13
RemoveNodesDynamically,0,12,381,10,354.747114181519,12
RemoveNodesDynamically,0,11,391,10,353.524147987366,11
RemoveNodesDynamically,0,10,401,10,309.19145488739,10
RemoveNodesDynamically,0,9,411,10,304.775671958923,9
RemoveNodesDynamically,0,8,421,10,256.485106468201,8
RemoveNodesDynamically,0,7,431,10,251.52746963501,7
RemoveNodesDynamically,0,6,441,10,249.890594482422,6
RemoveNodesDynamically,0,5,451,10,242.641902923584,5
RemoveNodesDynamically,1,39,10,10,533.323542833328,39
RemoveNodesDynamically,1,38,20,10,531.540986299515,38
RemoveNodesDynamically,1,37,30,10,521.45476269722,37
RemoveNodesDynamically,1,36,40,10,520.480229139328,36
RemoveNodesDynamically,1,35,50,10,520.299493551254,35
RemoveNodesDynamically,1,34,88,38,507.352961778641,34
RemoveNodesDynamically,1,33,118,30,502.03652215004,33
RemoveNodesDynamically,1,32,128,10,502.025912046432,32
RemoveNodesDynamically,1,31,138,10,501.796005010605,31
RemoveNodesDynamically,1,30,148,10,501.456614732742,30
RemoveNodesDynamically,1,29,158,10,501.412356615067,29
RemoveNodesDynamically,1,28,168,10,499.212233543396,28
RemoveNodesDynamically,1,27,178,10,495.359028816223,27
RemoveNodesDynamically,1,26,188,10,495.258531570435,26
RemoveNodesDynamically,1,25,198,10,495.236907958984,25
RemoveNodesDynamically,1,24,208,10,495.154580593109,24
RemoveNodesDynamically,1,23,218,10,460.358968257904,23
RemoveNodesDynamically,1,22,277,59,411.759955883026,22
RemoveNodesDynamically,1,21,303,26,400.328934669495,21
RemoveNodesDynamically,1,20,329,26,383.125073432922,20
