Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RemoveNodesDynamically,0,39,10,10,536.331205129623,39
RemoveNodesDynamically,0,38,20,10,534.98678278923,38
RemoveNodesDynamically,0,37,30,10,524.961074590683,37
RemoveNodesDynamically,0,36,40,10,523.652605772018,36
RemoveNodesDynamically,0,35,50,10,523.434074640274,35
RemoveNodesDynamically,0,34,60,10,510.379117250443,34
RemoveNodesDynamically,0,33,70,10,510.314499616623,33
RemoveNodesDynamically,0,32,124,54,505.600194215775,32
RemoveNodesDynamically,0,31,134,10,504.72453045845,31
RemoveNodesDynamically,0,30,144,10,500.41814160347,30
RemoveNodesDynamically,0,29,154,10,500.273761510849,29
RemoveNodesDynamically,0,28,178,24,488.642129659653,28
RemoveNodesDynamically,0,27,188,10,478.059221029282,27
RemoveNodesDynamically,0,26,198,10,478.022395133972,26
RemoveNodesDynamically,0,25,208,10,477.62890625,25
RemoveNodesDynamically,0,24,218,10,470.946792602539,24
RemoveNodesDynamically,0,23,228,10,450.195777893066,23
RemoveNodesDynamically,0,22,238,10,442.500648498535,22
RemoveNodesDynamically,0,21,274,36,432.965556144714,21
RemoveNodesDynamically,0,20,284,10,432.413324356079,20
RemoveNodesDynamically,0,19,294,10,426.555067062378,19
RemoveNodesDynamically,0,18,304,10,425.578320503235,18
RemoveNodesDynamically,0,17,314,10,408.542753219604,17
RemoveNodesDynamically,0,16,324,10,400.103167533875,16
RemoveNodesDynamically,0,15,334,10,387.338122367859,15
RemoveNodesDynamically,0,14,344,10,363.949505805969,14
RemoveNodesDynamically,0,13,354,10,358.894552230835,13
RemoveNodesDynamically,0,12,364,10,354.747114181519,12
RemoveNodesDynamically,0,11,374,10,353.524147987366,11
RemoveNodesDynamically,0,10,384,10,309.19145488739,10
RemoveNodesDynamically,0,9,394,10,304.775671958923,9
RemoveNodesDynamically,0,8,404,10,256.485106468201,8
RemoveNodesDynamically,0,7,414,10,251.52746963501,7
RemoveNodesDynamically,0,6,424,10,249.890594482422,6
RemoveNodesDynamically,0,5,434,10,242.641902923584,5
RemoveNodesDynamically,1,39,10,10,528.985387086868,39
RemoveNodesDynamically,1,38,20,10,527.202830553055,38
RemoveNodesDynamically,1,37,30,10,521.45476269722,37
RemoveNodesDynamically,1,36,40,10,520.480229139328,36
RemoveNodesDynamically,1,35,50,10,520.299493551254,35
RemoveNodesDynamically,1,34,103,53,507.352961778641,34
RemoveNodesDynamically,1,33,133,30,502.03652215004,33
RemoveNodesDynamically,1,32,143,10,502.025912046432,32
RemoveNodesDynamically,1,31,153,10,501.796005010605,31
RemoveNodesDynamically,1,30,163,10,501.456614732742,30
RemoveNodesDynamically,1,29,221,58,499.466814279556,29
RemoveNodesDynamically,1,28,251,30,491.994567871094,28
RemoveNodesDynamically,1,27,261,10,487.057458877563,27
RemoveNodesDynamically,1,26,271,10,486.956961631775,26
RemoveNodesDynamically,1,25,281,10,486.935338020325,25
RemoveNodesDynamically,1,24,291,10,486.853010654449,24
RemoveNodesDynamically,1,23,341,50,444.795380115509,23
RemoveNodesDynamically,1,22,351,10,419.768660068512,22
RemoveNodesDynamically,1,21,500,149,397.768069267273,21
RemoveNodesDynamically,1,20,510,10,384.662516593933,20
