Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,39,71,71,536.331205129623,39
RebuildWholeGraph,0,38,148,77,539.556528806686,38
RebuildWholeGraph,0,37,224,76,528.724836111069,37
RebuildWholeGraph,0,36,305,81,528.222351789474,36
RebuildWholeGraph,0,35,400,95,523.434074640274,35
RebuildWholeGraph,0,34,474,74,514.948863267899,34
RebuildWholeGraph,0,33,547,73,507.938222646713,33
RebuildWholeGraph,0,32,616,69,505.600194215775,32
RebuildWholeGraph,0,31,681,65,504.72453045845,31
RebuildWholeGraph,0,30,753,72,500.41814160347,30
RebuildWholeGraph,0,29,857,104,496.681994199753,29
RebuildWholeGraph,0,28,929,72,483.142493963242,28
RebuildWholeGraph,0,27,991,62,472.55958533287,27
RebuildWholeGraph,0,26,1069,78,469.986769676208,26
RebuildWholeGraph,0,25,1131,62,469.593280792236,25
RebuildWholeGraph,0,24,1198,67,462.911167144775,24
RebuildWholeGraph,0,23,1262,64,442.160152435303,23
RebuildWholeGraph,0,22,1339,77,442.048318862915,22
RebuildWholeGraph,0,21,1410,71,432.965556144714,21
RebuildWholeGraph,0,20,1473,63,428.239360809326,20
RebuildWholeGraph,0,19,1534,61,422.381103515625,19
RebuildWholeGraph,0,18,1606,72,421.404356956482,18
RebuildWholeGraph,0,17,1670,64,408.542753219604,17
RebuildWholeGraph,0,16,1730,60,400.103167533875,16
RebuildWholeGraph,0,15,1793,63,387.338122367859,15
RebuildWholeGraph,0,14,1858,65,363.949505805969,14
RebuildWholeGraph,0,13,1923,65,358.894552230835,13
RebuildWholeGraph,0,12,1994,71,354.747114181519,12
RebuildWholeGraph,0,11,2115,121,353.524147987366,11
RebuildWholeGraph,0,10,2317,202,309.19145488739,10
RebuildWholeGraph,0,9,2367,50,304.775671958923,9
RebuildWholeGraph,0,8,2403,36,256.485106468201,8
RebuildWholeGraph,0,7,2455,52,251.52746963501,7
RebuildWholeGraph,0,6,2491,36,249.890594482422,6
RebuildWholeGraph,0,5,2522,31,242.641902923584,5
RebuildWholeGraph,1,39,86,86,528.985387086868,39
RebuildWholeGraph,1,38,160,74,527.202830553055,38
RebuildWholeGraph,1,37,261,101,521.45476269722,37
RebuildWholeGraph,1,36,369,108,520.480229139328,36
RebuildWholeGraph,1,35,468,99,520.701092481613,35
RebuildWholeGraph,1,34,542,74,507.352961778641,34
RebuildWholeGraph,1,33,643,101,502.03652215004,33
RebuildWholeGraph,1,32,727,84,502.025912046432,32
RebuildWholeGraph,1,31,807,80,501.796005010605,31
RebuildWholeGraph,1,30,899,92,501.456614732742,30
RebuildWholeGraph,1,29,981,82,494.194690942764,29
RebuildWholeGraph,1,28,1101,120,491.994567871094,28
RebuildWholeGraph,1,27,1171,70,487.057458877563,27
RebuildWholeGraph,1,26,1241,70,486.956961631775,26
RebuildWholeGraph,1,25,1318,77,486.935338020325,25
