Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RemoveNodesDynamically,0,39,10,10,536.331205129623,39
RemoveNodesDynamically,0,38,20,10,534.98678278923,38
RemoveNodesDynamically,0,37,30,10,524.961074590683,37
RemoveNodesDynamically,0,36,40,10,523.652605772018,36
RemoveNodesDynamically,0,35,50,10,523.434074640274,35
RemoveNodesDynamically,0,34,60,10,510.379117250443,34
RemoveNodesDynamically,0,33,100,40,508.533830404282,33
RemoveNodesDynamically,0,32,143,43,505.600194215775,32
RemoveNodesDynamically,0,31,153,10,504.72453045845,31
RemoveNodesDynamically,0,30,163,10,500.41814160347,30
RemoveNodesDynamically,0,29,173,10,500.273761510849,29
RemoveNodesDynamically,0,28,197,24,488.642129659653,28
RemoveNodesDynamically,0,27,239,42,472.55958533287,27
RemoveNodesDynamically,0,26,249,10,469.986769676208,26
RemoveNodesDynamically,0,25,259,10,469.593280792236,25
RemoveNodesDynamically,0,24,269,10,462.911167144775,24
RemoveNodesDynamically,0,23,279,10,442.160152435303,23
RemoveNodesDynamically,0,22,289,10,442.048318862915,22
RemoveNodesDynamically,0,21,299,10,432.965556144714,21
RemoveNodesDynamically,0,20,331,32,428.239360809326,20
RemoveNodesDynamically,0,19,341,10,422.381103515625,19
RemoveNodesDynamically,0,18,351,10,421.404356956482,18
RemoveNodesDynamically,0,17,388,37,408.542753219604,17
RemoveNodesDynamically,0,16,398,10,400.103167533875,16
RemoveNodesDynamically,0,15,408,10,387.338122367859,15
RemoveNodesDynamically,0,14,418,10,363.949505805969,14
RemoveNodesDynamically,0,13,428,10,358.894552230835,13
RemoveNodesDynamically,0,12,438,10,354.747114181519,12
RemoveNodesDynamically,0,11,448,10,353.524147987366,11
RemoveNodesDynamically,0,10,458,10,309.19145488739,10
RemoveNodesDynamically,0,9,468,10,304.775671958923,9
RemoveNodesDynamically,0,8,478,10,256.485106468201,8
RemoveNodesDynamically,0,7,488,10,251.52746963501,7
RemoveNodesDynamically,0,6,498,10,249.890594482422,6
RemoveNodesDynamically,0,5,508,10,242.641902923584,5
