Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,39,79,79,540.900951147079,39
RebuildWholeGraph,0,38,160,81,539.556528806686,38
RebuildWholeGraph,0,37,231,71,524.961074590683,37
RebuildWholeGraph,0,36,302,71,528.222351789474,36
RebuildWholeGraph,0,35,375,73,523.434074640274,35
RebuildWholeGraph,0,34,446,71,514.948863267899,34
RebuildWholeGraph,0,33,514,68,507.938222646713,33
RebuildWholeGraph,0,32,583,69,505.600194215775,32
RebuildWholeGraph,0,31,652,69,507.003611803055,31
RebuildWholeGraph,0,30,716,64,500.41814160347,30
RebuildWholeGraph,0,29,793,77,500.273761510849,29
RebuildWholeGraph,0,28,865,72,483.142493963242,28
RebuildWholeGraph,0,27,940,75,472.55958533287,27
RebuildWholeGraph,0,26,1005,65,469.986769676208,26
RebuildWholeGraph,0,25,1068,63,469.593280792236,25
RebuildWholeGraph,0,24,1136,68,462.911167144775,24
RebuildWholeGraph,0,23,1205,69,442.160152435303,23
RebuildWholeGraph,0,22,1293,88,442.048318862915,22
RebuildWholeGraph,0,21,1376,83,432.965556144714,21
RebuildWholeGraph,0,20,1438,62,428.239360809326,20
RebuildWholeGraph,0,19,1512,74,422.381103515625,19
RebuildWholeGraph,0,18,1587,75,421.404356956482,18
RebuildWholeGraph,0,17,1646,59,408.542753219604,17
RebuildWholeGraph,0,16,1709,63,400.103167533875,16
RebuildWholeGraph,0,15,1777,68,387.338122367859,15
RebuildWholeGraph,0,14,1851,74,363.949505805969,14
RebuildWholeGraph,0,13,2035,184,358.894552230835,13
RebuildWholeGraph,0,12,2100,65,354.747114181519,12
RebuildWholeGraph,0,11,2890,790,353.524147987366,11
RebuildWholeGraph,0,10,2939,49,309.489624977112,10
RebuildWholeGraph,0,9,2984,45,304.775671958923,9
RebuildWholeGraph,0,8,3020,36,256.485106468201,8
RebuildWholeGraph,0,7,3059,39,251.52746963501,7
RebuildWholeGraph,0,6,3091,32,249.890594482422,6
RebuildWholeGraph,0,5,3122,31,242.641902923584,5
