Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,40,226,226,1842,0
AddNodesDynamically,1,36,133,133,1688,0
AddNodesDynamically,3,39,109,109,2091,0
AddNodesDynamically,4,39,298,298,2037,0
AddNodesDynamically,5,38,134,134,2167,0
AddNodesDynamically,6,40,187,187,2278,0
AddNodesDynamically,7,40,184,184,2080,0
AddNodesDynamically,9,40,253,253,1852,0
AddNodesDynamically,10,37,135,135,1787,0
AddNodesDynamically,11,38,150,150,1861,0
AddNodesDynamically,12,40,296,296,2747,0
AddNodesDynamically,13,33,500,500,1610,0
AddNodesDynamically,14,38,128,128,1861,0
AddNodesDynamically,15,35,80,80,1867,0
AddNodesDynamically,17,40,500,500,2246,0
AddNodesDynamically,18,38,203,203,3475,0
AddNodesDynamically,19,40,178,178,2194,0
AddNodesDynamically,20,39,161,161,1830,0
AddNodesDynamically,21,36,266,266,2521,0
AddNodesDynamically,22,40,484,484,2154,0
AddNodesDynamically,23,40,169,169,3143,0
AddNodesDynamically,24,39,92,92,1967,0
AddNodesDynamically,25,38,424,424,2032,0
AddNodesDynamically,26,39,220,220,2017,0
AddNodesDynamically,27,36,108,108,1597,0
AddNodesDynamically,28,34,189,189,1381,0
AddNodesDynamically,29,36,500,500,1967,0
AddNodesDynamically,30,29,125,125,1591,0
AddNodesDynamically,31,34,500,500,2257,0
AddNodesDynamically,32,38,182,182,2135,0
AddNodesDynamically,33,39,116,116,2078,0
AddNodesDynamically,34,36,106,106,1656,0
AddNodesDynamically,36,34,445,445,1836,0
AddNodesDynamically,37,36,84,84,1605,0
AddNodesDynamically,38,33,184,184,1690,0
AddNodesDynamically,39,36,500,500,1611,0
AddNodesDynamically,40,37,112,112,1999,0
AddNodesDynamically,41,35,134,134,1998,0
AddNodesDynamically,42,38,218,218,1869,0
AddNodesDynamically,43,39,140,140,2084,0
AddNodesDynamically,44,35,500,500,1458,0
AddNodesDynamically,45,33,123,123,1495,0
AddNodesDynamically,46,40,114,114,2046,0
AddNodesDynamically,47,37,127,127,1932,0
AddNodesDynamically,48,36,85,85,1595,0
AddNodesDynamically,49,39,441,441,3157,0
AddNodesDynamically,50,38,122,122,2015,0
AddNodesDynamically,51,39,500,500,2077,0
AddNodesDynamically,52,39,76,76,2201,0
AddNodesDynamically,54,35,92,92,1872,0
AddNodesDynamically,55,39,97,97,1706,0
AddNodesDynamically,56,34,121,121,1546,0
AddNodesDynamically,57,38,216,216,2498,0
AddNodesDynamically,58,36,386,386,1937,0
AddNodesDynamically,59,27,142,142,1267,0
AddNodesDynamically,60,33,73,73,1708,0
AddNodesDynamically,61,32,114,114,1805,0
AddNodesDynamically,62,37,83,83,2003,0
AddNodesDynamically,63,36,114,114,2491,0
AddNodesDynamically,64,31,136,136,2210,0
AddNodesDynamically,65,34,101,101,1810,0
AddNodesDynamically,66,38,85,85,1983,0
AddNodesDynamically,67,38,372,372,2178,0
AddNodesDynamically,68,29,120,120,1250,0
AddNodesDynamically,69,39,119,119,1796,0
AddNodesDynamically,71,38,103,103,1860,0
AddNodesDynamically,72,37,93,93,1760,0
AddNodesDynamically,73,38,351,351,1823,0
AddNodesDynamically,74,37,76,76,1745,0
AddNodesDynamically,75,23,88,88,1304,0
AddNodesDynamically,76,39,82,82,2199,0
AddNodesDynamically,77,37,221,221,1957,0
AddNodesDynamically,78,39,500,500,2073,0
AddNodesDynamically,79,37,437,437,1834,0
AddNodesDynamically,80,40,176,176,1906,0
AddNodesDynamically,81,35,136,136,2499,0
AddNodesDynamically,82,40,288,288,2478,0
AddNodesDynamically,83,40,86,86,1885,0
AddNodesDynamically,84,39,180,180,2073,0
AddNodesDynamically,85,39,471,471,2194,0
AddNodesDynamically,86,26,370,370,990,0
AddNodesDynamically,87,33,500,500,2400,0
AddNodesDynamically,88,38,111,111,2142,0
AddNodesDynamically,89,34,107,107,1596,0
AddNodesDynamically,90,38,214,214,2498,0
AddNodesDynamically,91,29,99,99,1592,0
AddNodesDynamically,92,29,142,142,1273,0
AddNodesDynamically,93,37,84,84,1706,0
AddNodesDynamically,94,40,91,91,2064,0
AddNodesDynamically,95,38,93,93,1946,0
AddNodesDynamically,96,31,144,144,2191,0
AddNodesDynamically,99,35,500,500,1545,0
