Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,40,428,428,2225,75.7495142221451
RebuildWholeGraph,0,40,331,331,2225,74.8316199302673
RebuildWholeGraph,0,40,500,500,2219,75.3340928316116
RebuildWholeGraph,0,40,500,500,2226,74.6783323764801
RebuildWholeGraph,0,40,367,367,2162,74.8316199302673
RebuildWholeGraph,0,40,204,204,2162,75.3340928316116
RebuildWholeGraph,0,40,500,500,2177,75.7495142221451
RebuildWholeGraph,0,40,461,461,2225,75.7495142221451
RebuildWholeGraph,0,40,500,500,2177,75.6209753274918
RebuildWholeGraph,0,40,500,500,2121,74.8316199302673
RebuildWholeGraph,0,40,500,500,2176,75.6209753274918
RebuildWholeGraph,0,40,500,500,2162,75.7495142221451
RebuildWholeGraph,0,40,500,500,2221,74.85119805336
RebuildWholeGraph,0,40,500,500,2223,75.7495142221451
RebuildWholeGraph,0,40,317,317,2225,74.5489909887314
RebuildWholeGraph,0,40,337,337,2188,75.7495142221451
RebuildWholeGraph,0,40,198,198,2162,75.7495142221451
RebuildWholeGraph,0,40,500,500,2251,75.3340928316116
RebuildWholeGraph,0,40,500,500,2223,76.0363967180252
RebuildWholeGraph,0,40,500,500,2223,75.7495142221451
RebuildWholeGraph,0,40,214,214,2212,74.8044856071472
RebuildWholeGraph,0,40,290,290,2225,76.0363967180252
RebuildWholeGraph,0,40,306,306,2225,75.6245568156242
RebuildWholeGraph,0,40,500,500,2223,75.7495142221451
RebuildWholeGraph,0,40,500,500,2222,74.85119805336
RebuildWholeGraph,0,40,500,500,2174,75.6589844226837
RebuildWholeGraph,0,40,126,126,2225,75.7495142221451
RebuildWholeGraph,0,40,267,267,2188,75.7495142221451
RebuildWholeGraph,0,40,500,500,2225,74.5218566656112
RebuildWholeGraph,0,40,234,234,2222,75.749514222145
