Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,38,500,500,2311,705.217465162277
RebuildWholeGraph,0,38,371,371,2239,705.217465162277
RebuildWholeGraph,0,38,232,232,2265,705.217465162277
RebuildWholeGraph,0,38,150,150,2265,705.217465162277
RebuildWholeGraph,0,38,125,125,2243,705.217465162277
RebuildWholeGraph,0,38,152,152,2306,706.745238542557
RebuildWholeGraph,0,38,160,160,2285,705.217465162277
RebuildWholeGraph,0,38,102,102,2276,706.745238542557
RebuildWholeGraph,0,38,145,145,2271,705.217465162277
RebuildWholeGraph,0,38,110,110,2249,705.217465162277
RebuildWholeGraph,0,38,210,210,2265,705.217465162277
RebuildWholeGraph,0,38,126,126,2239,705.217465162277
RebuildWholeGraph,0,38,241,241,2320,705.217465162277
RebuildWholeGraph,0,38,158,158,2249,705.217465162277
RebuildWholeGraph,0,38,275,275,2278,705.217465162277
RebuildWholeGraph,0,38,500,500,2239,705.217465162277
RebuildWholeGraph,0,38,123,123,2314,705.217465162277
RebuildWholeGraph,0,38,194,194,2239,705.217465162277
RebuildWholeGraph,0,38,455,455,2244,705.217465162277
RebuildWholeGraph,0,38,401,401,2294,705.217465162277
RebuildWholeGraph,0,38,495,495,2293,705.217465162277
RebuildWholeGraph,0,38,151,151,2249,705.217465162277
RebuildWholeGraph,0,38,263,263,2265,705.217465162277
RebuildWholeGraph,0,38,174,174,2250,705.217465162277
RebuildWholeGraph,0,38,450,450,2239,705.217465162277
RebuildWholeGraph,0,38,265,265,2271,705.217465162277
RebuildWholeGraph,0,38,458,458,2286,705.217465162277
RebuildWholeGraph,0,38,500,500,2225,705.217465162277
RebuildWholeGraph,0,38,180,180,2285,705.217465162277
RebuildWholeGraph,0,38,94,94,2286,707.414623975754
