Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,500,500,555,400
RebuildWholeGraph,0,12,500,500,620,398
RebuildWholeGraph,0,12,500,500,532,400
RebuildWholeGraph,0,12,500,500,532,400
RebuildWholeGraph,0,12,500,500,620,400
RebuildWholeGraph,0,12,500,500,607,400
RebuildWholeGraph,0,12,500,500,604,400
RebuildWholeGraph,0,12,500,500,583,400
RebuildWholeGraph,0,12,500,500,607,400
RebuildWholeGraph,0,12,500,500,620,398
RebuildWholeGraph,0,12,500,500,583,400
RebuildWholeGraph,0,12,500,500,555,400
RebuildWholeGraph,0,12,500,500,555,398
RebuildWholeGraph,0,12,500,500,595,398
RebuildWholeGraph,0,12,500,500,582,400
RebuildWholeGraph,0,12,500,500,595,398
RebuildWholeGraph,0,12,500,500,620,400
RebuildWholeGraph,0,12,500,500,604,398
RebuildWholeGraph,0,12,500,500,559,398
RebuildWholeGraph,0,12,500,500,583,400
RebuildWholeGraph,0,12,500,500,559,398
RebuildWholeGraph,0,12,500,500,532,400
RebuildWholeGraph,0,12,500,500,607,400
RebuildWholeGraph,0,12,500,500,583,400
RebuildWholeGraph,0,12,500,500,532,400
RebuildWholeGraph,0,12,500,500,620,398
RebuildWholeGraph,0,12,500,500,583,398
RebuildWholeGraph,0,12,500,500,555,400
RebuildWholeGraph,0,12,500,500,583,400
RebuildWholeGraph,0,12,500,500,583,400
RebuildWholeGraph,1,15,500,500,792,523
RebuildWholeGraph,1,15,500,500,792,523
RebuildWholeGraph,1,15,500,500,805,523
RebuildWholeGraph,1,15,500,500,792,523
RebuildWholeGraph,1,15,500,500,804,523
RebuildWholeGraph,1,15,500,500,840,523
RebuildWholeGraph,1,15,381,381,794,523
RebuildWholeGraph,1,15,500,500,836,523
RebuildWholeGraph,1,15,500,500,831,523
RebuildWholeGraph,1,15,500,500,861,523
RebuildWholeGraph,1,15,500,500,804,523
RebuildWholeGraph,1,15,500,500,840,523
RebuildWholeGraph,1,15,500,500,833,523
RebuildWholeGraph,1,15,500,500,804,523
RebuildWholeGraph,1,15,500,500,836,523
RebuildWholeGraph,1,15,500,500,861,523
RebuildWholeGraph,1,15,500,500,833,523
RebuildWholeGraph,1,15,500,500,840,523
