Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,323,323,583,255.822706222534
RebuildWholeGraph,0,12,500,500,582,255.822706222534
RebuildWholeGraph,0,12,458,458,582,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,500,500,620,255.822706222534
RebuildWholeGraph,0,12,292,292,620,258.517385482788
RebuildWholeGraph,0,12,105,105,620,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,336,336,620,255.822706222534
RebuildWholeGraph,0,12,193,193,555,255.822706222534
RebuildWholeGraph,0,12,500,500,582,255.822706222534
RebuildWholeGraph,0,12,147,147,532,258.517385482788
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,408,408,583,255.822706222534
RebuildWholeGraph,0,12,204,204,555,255.822706222534
RebuildWholeGraph,0,12,220,220,583,255.822706222534
RebuildWholeGraph,0,12,500,500,605,255.822706222534
RebuildWholeGraph,0,12,500,500,607,255.822706222534
RebuildWholeGraph,0,12,500,500,559,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,500,500,555,255.822706222534
RebuildWholeGraph,0,12,176,176,555,258.517385482788
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,500,500,555,255.822706222534
RebuildWholeGraph,0,12,500,500,583,255.822706222534
RebuildWholeGraph,0,12,198,198,605,258.517385482788
RebuildWholeGraph,0,12,212,212,532,255.822706222534
RebuildWholeGraph,1,15,101,101,794,356.025913715363
RebuildWholeGraph,1,15,113,113,805,356.025913715363
RebuildWholeGraph,1,15,86,86,805,356.025913715363
RebuildWholeGraph,1,15,155,155,798,356.025913715363
RebuildWholeGraph,1,15,108,108,836,356.025913715363
RebuildWholeGraph,1,15,114,114,805,356.025913715363
RebuildWholeGraph,1,15,90,90,861,356.025913715363
RebuildWholeGraph,1,15,133,133,836,356.025913715363
RebuildWholeGraph,1,15,125,125,807,356.025913715363
RebuildWholeGraph,1,15,117,117,805,356.025913715363
RebuildWholeGraph,1,15,102,102,805,356.025913715363
RebuildWholeGraph,1,15,119,119,809,356.025913715363
RebuildWholeGraph,1,15,95,95,833,356.025913715363
RebuildWholeGraph,1,15,104,104,809,356.025913715363
