Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,500,500,595,324
RebuildWholeGraph,0,12,500,500,583,324
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,607,324
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,583,324
RebuildWholeGraph,0,12,500,500,605,324
RebuildWholeGraph,0,12,500,500,555,324
RebuildWholeGraph,0,12,500,500,605,324
RebuildWholeGraph,0,12,500,500,583,324
RebuildWholeGraph,0,12,500,500,583,324
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,532,324
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,620,324
RebuildWholeGraph,0,12,500,500,555,324
RebuildWholeGraph,0,12,500,500,607,324
RebuildWholeGraph,0,12,500,500,532,324
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,620,324
RebuildWholeGraph,0,12,500,500,620,324
RebuildWholeGraph,0,12,500,500,582,326
RebuildWholeGraph,0,12,500,500,555,326
RebuildWholeGraph,0,12,500,500,595,324
RebuildWholeGraph,0,12,500,500,583,326
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,582,324
RebuildWholeGraph,0,12,500,500,605,324
RebuildWholeGraph,0,12,500,500,582,326
RebuildWholeGraph,0,12,500,500,555,324
RebuildWholeGraph,1,15,243,243,807,420
RebuildWholeGraph,1,15,84,84,805,420
RebuildWholeGraph,1,15,117,117,807,420
RebuildWholeGraph,1,15,168,168,836,420
RebuildWholeGraph,1,15,121,121,794,420
RebuildWholeGraph,1,15,110,110,833,420
RebuildWholeGraph,1,15,96,96,792,420
RebuildWholeGraph,1,15,97,97,805,420
RebuildWholeGraph,1,15,115,115,804,420
RebuildWholeGraph,1,15,112,112,836,420
RebuildWholeGraph,1,15,120,120,805,420
RebuildWholeGraph,1,15,127,127,794,420
RebuildWholeGraph,1,15,132,132,794,420
RebuildWholeGraph,1,15,104,104,794,420
RebuildWholeGraph,1,15,153,153,794,420
RebuildWholeGraph,1,15,140,140,836,420
RebuildWholeGraph,1,15,167,167,798,420
RebuildWholeGraph,1,15,117,117,836,420
RebuildWholeGraph,1,15,197,197,833,420
RebuildWholeGraph,1,15,163,163,805,420
RebuildWholeGraph,1,15,175,175,805,420
RebuildWholeGraph,1,15,376,376,794,420
RebuildWholeGraph,1,15,223,223,836,420
RebuildWholeGraph,1,15,78,78,794,420
RebuildWholeGraph,1,15,104,104,792,420
RebuildWholeGraph,1,15,107,107,792,420
RebuildWholeGraph,1,15,90,90,836,420
RebuildWholeGraph,1,15,139,139,830,420
RebuildWholeGraph,1,15,99,99,798,420
RebuildWholeGraph,1,15,83,83,794,420
RebuildWholeGraph,2,13,93,93,571,372
RebuildWholeGraph,2,13,66,66,550,372
RebuildWholeGraph,2,13,88,88,567,372
RebuildWholeGraph,2,13,85,85,557,372
RebuildWholeGraph,2,13,71,71,535,372
RebuildWholeGraph,2,13,62,62,557,372
RebuildWholeGraph,2,13,70,70,571,372
RebuildWholeGraph,2,13,95,95,535,372
RebuildWholeGraph,2,13,64,64,535,372
RebuildWholeGraph,2,13,82,82,547,372
