Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,38,334,334,2479,360
RebuildWholeGraph,0,38,171,171,2507,359
RebuildWholeGraph,0,38,92,92,2588,359
RebuildWholeGraph,0,38,267,267,2489,359
RebuildWholeGraph,0,38,456,456,2525,359
RebuildWholeGraph,0,38,117,117,2525,359
RebuildWholeGraph,0,38,269,269,2507,359
RebuildWholeGraph,0,38,85,85,2483,359
RebuildWholeGraph,0,38,500,500,2588,359
RebuildWholeGraph,0,38,110,110,2556,359
RebuildWholeGraph,0,38,399,399,2518,359
RebuildWholeGraph,0,38,90,90,2483,359
RebuildWholeGraph,0,38,500,500,2483,359
RebuildWholeGraph,0,38,500,500,2588,359
RebuildWholeGraph,0,38,207,207,2483,359
RebuildWholeGraph,0,38,209,209,2479,359
RebuildWholeGraph,0,38,93,93,2507,359
RebuildWholeGraph,0,38,80,80,2525,359
RebuildWholeGraph,0,38,314,314,2483,359
RebuildWholeGraph,0,38,495,495,2483,359
RebuildWholeGraph,0,38,154,154,2498,359
RebuildWholeGraph,0,38,150,150,2498,359
RebuildWholeGraph,0,38,79,79,2483,359
RebuildWholeGraph,0,38,186,186,2507,359
RebuildWholeGraph,0,38,500,500,2479,359
RebuildWholeGraph,0,38,95,95,2498,359
RebuildWholeGraph,0,38,78,78,2479,359
RebuildWholeGraph,0,38,100,100,2489,360
RebuildWholeGraph,0,38,100,100,2507,359
RebuildWholeGraph,0,38,237,237,2489,359
