Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,43,43,274.273697853088,5
AddNodesDynamically,0,5,76,33,288.713631629944,6
AddNodesDynamically,0,6,130,54,288.87895488739,7
AddNodesDynamically,0,7,630,500,324.768632888794,8
AddNodesDynamically,0,8,1130,500,329.740507125854,9
AddNodesDynamically,0,9,1309,179,335.482338905334,10
AddNodesDynamically,0,10,1600,291,352.672390937805,11
AddNodesDynamically,0,11,1689,89,353.161909103394,12
AddNodesDynamically,0,12,1766,77,351.081506729126,13
AddNodesDynamically,0,13,2173,407,364.748064041138,14
AddNodesDynamically,0,14,2215,42,369.078193664551,15
AddNodesDynamically,0,15,2472,257,367.285897254944,16
AddNodesDynamically,0,16,2515,43,370.292054176331,17
AddNodesDynamically,0,17,2591,76,381.025455474854,18
AddNodesDynamically,0,18,2702,111,396.988346099854,19
AddNodesDynamically,0,19,2869,167,399.56715297699,20
AddNodesDynamically,0,20,2914,45,399.56715297699,21
AddNodesDynamically,0,21,3090,176,399.970816612244,22
AddNodesDynamically,0,22,3136,46,434.634706497192,23
AddNodesDynamically,0,23,3182,46,449.182451248169,24
AddNodesDynamically,0,24,3228,46,451.559940338135,25
AddNodesDynamically,0,25,3280,52,470.734045028687,26
AddNodesDynamically,0,26,3327,47,470.800327301025,27
AddNodesDynamically,0,27,3374,47,476.252529144287,28
AddNodesDynamically,0,28,3421,47,479.449650764465,29
AddNodesDynamically,0,29,3469,48,487.68566608429,30
AddNodesDynamically,0,30,3580,111,503.942421913147,31
AddNodesDynamically,0,31,3628,48,504.306107759476,32
AddNodesDynamically,0,32,3677,49,506.014394044876,33
AddNodesDynamically,0,33,3726,49,506.171721696854,34
AddNodesDynamically,0,34,3775,49,528.938931703568,35
AddNodesDynamically,0,35,3825,50,528.938931703568,36
AddNodesDynamically,0,36,3875,50,529.704919815063,37
AddNodesDynamically,0,37,3925,50,529.820985794067,38
AddNodesDynamically,0,38,3975,50,543.007642745972,39
AddNodesDynamically,0,39,4025,50,543.031381130219,40
AddNodesDynamically,1,4,31,31,249.829337120056,5
AddNodesDynamically,1,5,64,33,275.131388664246,6
AddNodesDynamically,1,6,98,34,275.42294216156,7
AddNodesDynamically,1,7,134,36,277.957852363586,8
AddNodesDynamically,1,8,171,37,319.069947242737,9
AddNodesDynamically,1,9,209,38,320.329803466797,10
AddNodesDynamically,1,10,247,38,321.183832406998,11
AddNodesDynamically,1,11,286,39,321.33322930336,12
AddNodesDynamically,1,12,326,40,323.410512208939,13
AddNodesDynamically,1,13,367,41,330.386803865433,14
AddNodesDynamically,1,14,409,42,342.782099962234,15
AddNodesDynamically,1,15,451,42,349.086688280106,16
AddNodesDynamically,1,16,494,43,353.973613500595,17
AddNodesDynamically,1,17,537,43,354.479156255722,18
AddNodesDynamically,1,18,581,44,367.535077810287,19
AddNodesDynamically,1,19,625,44,378.365134954453,20
AddNodesDynamically,1,20,670,45,382.795982122421,21
AddNodesDynamically,1,21,715,45,386.045215368271,22
AddNodesDynamically,1,22,760,45,386.206049203873,23
AddNodesDynamically,1,23,806,46,413.131083726883,24
AddNodesDynamically,1,24,852,46,417.794256925583,25
AddNodesDynamically,1,25,899,47,446.549036741257,26
AddNodesDynamically,1,26,946,47,457.293191671371,27
AddNodesDynamically,1,27,993,47,457.473628759384,28
AddNodesDynamically,1,28,1041,48,467.442566633224,29
AddNodesDynamically,1,29,1089,48,475.141992330551,30
AddNodesDynamically,1,30,1137,48,479.507266759872,31
AddNodesDynamically,1,31,1185,48,481.041315317154,32
AddNodesDynamically,1,32,1234,49,487.712934732437,33
AddNodesDynamically,1,33,1305,71,486.532180309296,34
AddNodesDynamically,1,34,1354,49,489.274653911591,35
AddNodesDynamically,1,35,1404,50,490.790831804276,36
AddNodesDynamically,1,36,1454,50,496.195586919785,37
AddNodesDynamically,1,37,1504,50,497.368809461594,38
AddNodesDynamically,1,38,1554,50,499.572086334229,39
AddNodesDynamically,1,39,1605,51,500.142915725708,40
AddNodesDynamically,2,4,31,31,189.73481464386,5
AddNodesDynamically,2,5,64,33,226.74458026886,6
AddNodesDynamically,2,6,98,34,243.623696327209,7
AddNodesDynamically,2,7,136,38,259.598027229309,8
AddNodesDynamically,2,8,173,37,261.124218940735,9
AddNodesDynamically,2,9,211,38,280.811955451965,10
AddNodesDynamically,2,10,250,39,282.876811981201,11
AddNodesDynamically,2,11,289,39,286.057130336761,12
AddNodesDynamically,2,12,329,40,290.579232692719,13
AddNodesDynamically,2,13,370,41,316.96505689621,14
AddNodesDynamically,2,14,412,42,345.467137813568,15
AddNodesDynamically,2,15,454,42,345.737962245941,16
AddNodesDynamically,2,16,497,43,364.246749401093,17
AddNodesDynamically,2,17,540,43,374.531623363495,18
AddNodesDynamically,2,18,585,45,394.607396602631,19
AddNodesDynamically,2,19,629,44,401.424793720245,20
AddNodesDynamically,2,20,674,45,418.181732654572,21
AddNodesDynamically,2,21,719,45,418.755784511566,22
AddNodesDynamically,2,22,765,46,424.227383613586,23
AddNodesDynamically,2,23,811,46,432.76878452301,24
AddNodesDynamically,2,24,857,46,432.957943916321,25
AddNodesDynamically,2,25,904,47,434.81635761261,26
AddNodesDynamically,2,26,951,47,434.956564903259,27
AddNodesDynamically,2,27,998,47,434.98049902916,28
AddNodesDynamically,2,28,1046,48,435.598571538925,29
AddNodesDynamically,2,29,1094,48,440.967123746872,30
AddNodesDynamically,2,30,1142,48,443.390932798386,31
AddNodesDynamically,2,31,1201,59,443.596801042557,32
AddNodesDynamically,2,32,1283,82,469.426141738892,33
AddNodesDynamically,2,33,1332,49,469.485995292664,34
AddNodesDynamically,2,34,1410,78,470.361115694046,35
AddNodesDynamically,2,35,1460,50,483.417046546936,36
AddNodesDynamically,2,36,1725,265,484.253702878952,37
AddNodesDynamically,2,37,1775,50,487.358266830444,38
AddNodesDynamically,2,38,1886,111,487.502082586288,39
AddNodesDynamically,2,39,1959,73,488.876648187637,40
AddNodesDynamically,3,4,31,31,197.414077758789,5
AddNodesDynamically,3,5,64,33,216.207777023315,6
AddNodesDynamically,3,6,98,34,221.772758483887,7
AddNodesDynamically,3,7,134,36,224.470139980316,8
AddNodesDynamically,3,8,171,37,245.165788173676,9
AddNodesDynamically,3,9,209,38,249.876287460327,10
AddNodesDynamically,3,10,248,39,258.625888824463,11
AddNodesDynamically,3,11,293,45,262.440956115723,12
AddNodesDynamically,3,12,333,40,287.878111839294,13
AddNodesDynamically,3,13,374,41,324.38671207428,14
AddNodesDynamically,3,14,416,42,324.447725296021,15
AddNodesDynamically,3,15,458,42,330.00373840332,16
AddNodesDynamically,3,16,501,43,332.141933441162,17
AddNodesDynamically,3,17,544,43,339.277620315552,18
AddNodesDynamically,3,18,588,44,339.747955679893,19
AddNodesDynamically,3,19,632,44,348.850007414818,20
AddNodesDynamically,3,20,677,45,359.407256484032,21
AddNodesDynamically,3,21,722,45,361.560887694359,22
AddNodesDynamically,3,22,767,45,368.96472299099,23
AddNodesDynamically,3,23,813,46,376.950589537621,24
AddNodesDynamically,3,24,859,46,403.193131804466,25
AddNodesDynamically,3,25,906,47,405.184377074242,26
AddNodesDynamically,3,26,953,47,406.120150923729,27
AddNodesDynamically,3,27,1016,63,409.710785269737,28
