Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,126,126,667,234.426208436489
RebuildWholeGraph,0,12,500,500,667,234.364840209484
RebuildWholeGraph,0,12,233,233,667,234.364840209484
RebuildWholeGraph,0,12,500,500,593,234.364840209484
RebuildWholeGraph,0,12,162,162,634,234.364840209484
RebuildWholeGraph,0,12,168,168,667,234.364840209484
RebuildWholeGraph,0,12,500,500,631,234.364840209484
RebuildWholeGraph,0,12,500,500,593,234.364840209484
RebuildWholeGraph,0,12,500,500,593,234.364840209484
RebuildWholeGraph,0,12,193,193,599,234.364840209484
RebuildWholeGraph,0,12,500,500,634,234.364840209484
RebuildWholeGraph,0,12,193,193,664,234.364840209484
RebuildWholeGraph,0,12,500,500,667,234.364840209484
RebuildWholeGraph,0,12,90,90,599,234.426208436489
RebuildWholeGraph,0,12,372,372,593,234.364840209484
RebuildWholeGraph,0,12,398,398,593,234.364840209484
RebuildWholeGraph,0,12,500,500,599,234.364840209484
RebuildWholeGraph,0,12,500,500,608,234.364840209484
RebuildWholeGraph,0,12,396,396,608,234.426208436489
RebuildWholeGraph,0,12,500,500,608,234.364840209484
RebuildWholeGraph,0,12,93,93,593,234.426208436489
RebuildWholeGraph,0,12,500,500,599,234.364840209484
RebuildWholeGraph,0,12,500,500,593,234.364840209484
RebuildWholeGraph,0,12,354,354,608,234.364840209484
RebuildWholeGraph,0,12,500,500,593,234.364840209484
RebuildWholeGraph,0,12,398,398,634,234.364840209484
RebuildWholeGraph,0,12,500,500,593,234.364840209484
RebuildWholeGraph,0,12,102,102,593,234.364840209484
RebuildWholeGraph,0,12,249,249,593,234.364840209484
RebuildWholeGraph,0,12,500,500,667,234.364840209484
RebuildWholeGraph,1,12,51,51,649,212.330713391304
RebuildWholeGraph,1,12,50,50,684,212.330713391304
RebuildWholeGraph,1,12,61,61,681,212.330713391304
RebuildWholeGraph,1,12,64,64,676,212.330713391304
RebuildWholeGraph,1,12,64,64,676,212.330713391304
RebuildWholeGraph,1,12,56,56,648,212.330713391304
RebuildWholeGraph,1,12,56,56,676,212.330713391304
RebuildWholeGraph,1,12,55,55,676,212.330713391304
RebuildWholeGraph,1,12,55,55,676,212.330713391304
RebuildWholeGraph,1,12,58,58,676,212.330713391304
RebuildWholeGraph,1,12,60,60,665,212.330713391304
RebuildWholeGraph,1,12,60,60,676,212.330713391304
RebuildWholeGraph,1,12,68,68,676,212.330713391304
RebuildWholeGraph,1,12,49,49,649,212.330713391304
RebuildWholeGraph,1,12,71,71,676,212.330713391304
RebuildWholeGraph,1,12,59,59,676,212.330713391304
RebuildWholeGraph,1,12,58,58,676,212.330713391304
RebuildWholeGraph,1,12,55,55,676,212.330713391304
RebuildWholeGraph,1,12,69,69,676,212.330713391304
