Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,50,50,608,428
RebuildWholeGraph,0,12,63,63,593,428
RebuildWholeGraph,0,12,49,49,599,428
RebuildWholeGraph,0,12,51,51,631,428
RebuildWholeGraph,0,12,53,53,599,428
RebuildWholeGraph,0,12,49,49,667,428
RebuildWholeGraph,0,12,47,47,602,428
RebuildWholeGraph,0,12,46,46,602,428
RebuildWholeGraph,0,12,54,54,599,428
RebuildWholeGraph,0,12,54,54,599,428
RebuildWholeGraph,0,12,53,53,593,428
RebuildWholeGraph,0,12,50,50,608,428
RebuildWholeGraph,0,12,57,57,608,428
RebuildWholeGraph,0,12,50,50,593,428
RebuildWholeGraph,0,12,51,51,599,428
RebuildWholeGraph,0,12,46,46,593,428
RebuildWholeGraph,0,12,45,45,599,428
RebuildWholeGraph,0,12,51,51,599,428
RebuildWholeGraph,0,12,48,48,608,428
RebuildWholeGraph,0,12,49,49,599,428
RebuildWholeGraph,0,12,47,47,634,428
RebuildWholeGraph,0,12,49,49,634,428
RebuildWholeGraph,0,12,55,55,599,428
RebuildWholeGraph,0,12,44,44,593,428
RebuildWholeGraph,0,12,46,46,593,428
RebuildWholeGraph,0,12,46,46,599,428
RebuildWholeGraph,0,12,59,59,593,428
RebuildWholeGraph,0,12,48,48,593,428
RebuildWholeGraph,0,12,60,60,599,428
RebuildWholeGraph,0,12,51,51,667,428
RebuildWholeGraph,1,12,57,57,676,388
RebuildWholeGraph,1,12,54,54,686,388
RebuildWholeGraph,1,12,52,52,677,388
RebuildWholeGraph,1,12,49,49,684,388
RebuildWholeGraph,1,12,48,48,684,388
RebuildWholeGraph,1,12,50,50,677,388
RebuildWholeGraph,1,12,55,55,669,388
RebuildWholeGraph,1,12,45,45,649,388
RebuildWholeGraph,1,12,63,63,676,388
RebuildWholeGraph,1,12,47,47,669,388
RebuildWholeGraph,1,12,57,57,669,388
RebuildWholeGraph,1,12,51,51,676,388
RebuildWholeGraph,1,12,51,51,686,388
RebuildWholeGraph,1,12,46,46,649,388
RebuildWholeGraph,1,12,43,43,686,388
RebuildWholeGraph,1,12,45,45,676,388
RebuildWholeGraph,1,12,42,42,669,388
RebuildWholeGraph,1,12,60,60,649,388
RebuildWholeGraph,1,12,56,56,676,388
RebuildWholeGraph,1,12,47,47,676,388
RebuildWholeGraph,1,12,57,57,669,388
RebuildWholeGraph,1,12,46,46,686,388
RebuildWholeGraph,1,12,53,53,684,388
RebuildWholeGraph,1,12,45,45,676,388
RebuildWholeGraph,1,12,54,54,686,388
RebuildWholeGraph,1,12,54,54,684,388
RebuildWholeGraph,1,12,59,59,686,388
RebuildWholeGraph,1,12,49,49,677,388
RebuildWholeGraph,1,12,52,52,677,388
RebuildWholeGraph,1,12,55,55,684,388
RebuildWholeGraph,2,12,46,46,580,352
RebuildWholeGraph,2,12,51,51,543,352
RebuildWholeGraph,2,12,53,53,586,352
RebuildWholeGraph,2,12,47,47,543,352
RebuildWholeGraph,2,12,43,43,586,352
RebuildWholeGraph,2,12,51,51,582,352
RebuildWholeGraph,2,12,49,49,548,352
RebuildWholeGraph,2,12,49,49,582,352
RebuildWholeGraph,2,12,44,44,558,352
RebuildWholeGraph,2,12,50,50,548,352
RebuildWholeGraph,2,12,55,55,560,352
RebuildWholeGraph,2,12,49,49,586,352
RebuildWholeGraph,2,12,47,47,582,352
RebuildWholeGraph,2,12,53,53,543,352
RebuildWholeGraph,2,12,46,46,543,352
RebuildWholeGraph,2,12,51,51,543,352
RebuildWholeGraph,2,12,44,44,543,352
RebuildWholeGraph,2,12,43,43,560,352
RebuildWholeGraph,2,12,46,46,543,352
RebuildWholeGraph,2,12,50,50,586,352
