Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,36,36,256.565565109253,5
AddNodesDynamically,0,5,69,33,256.588640213013,6
AddNodesDynamically,0,6,103,34,264.307968139648,7
AddNodesDynamically,0,7,139,36,301.999273300171,8
AddNodesDynamically,0,8,187,48,310.0350522995,9
AddNodesDynamically,0,9,225,38,312.825763225555,10
AddNodesDynamically,0,10,264,39,328.382112026215,11
AddNodesDynamically,0,11,313,49,338.031381130219,12
AddNodesDynamically,0,12,353,40,342.672900676727,13
AddNodesDynamically,0,13,394,41,345.340487957001,14
AddNodesDynamically,0,14,436,42,368.70788526535,15
AddNodesDynamically,1,4,31,31,231.971895575523,5
AddNodesDynamically,1,5,64,33,236.395966410637,6
AddNodesDynamically,1,6,98,34,263.868615031242,7
AddNodesDynamically,1,7,134,36,269.397133708,8
AddNodesDynamically,1,8,171,37,269.577954173088,9
AddNodesDynamically,1,9,209,38,269.595044016838,10
AddNodesDynamically,1,10,248,39,292.917126536369,11
AddNodesDynamically,1,11,287,39,297.971772074699,12
AddNodesDynamically,1,12,327,40,298.02843940258,13
AddNodesDynamically,1,13,368,41,314.386860728264,14
AddNodesDynamically,1,14,410,42,326.69167983532,15
AddNodesDynamically,2,4,32,32,273.130695343018,5
AddNodesDynamically,2,5,65,33,277.299175262451,6
AddNodesDynamically,2,6,99,34,282.903437614441,7
AddNodesDynamically,2,7,140,41,288.512910842896,8
AddNodesDynamically,2,8,177,37,288.616258621216,9
AddNodesDynamically,2,9,215,38,301.061231613159,10
AddNodesDynamically,2,10,254,39,312.007665634155,11
AddNodesDynamically,2,11,293,39,312.064029693604,12
AddNodesDynamically,2,12,333,40,319.255451202393,13
AddNodesDynamically,2,13,374,41,319.533548355103,14
AddNodesDynamically,2,14,416,42,372.253680229187,15
AddNodesDynamically,3,4,32,32,249.829337120056,5
AddNodesDynamically,3,5,65,33,275.131388664246,6
AddNodesDynamically,3,6,99,34,275.42294216156,7
AddNodesDynamically,3,7,135,36,277.957852363586,8
AddNodesDynamically,3,8,172,37,319.069947242737,9
AddNodesDynamically,3,9,210,38,320.329803466797,10
AddNodesDynamically,3,10,248,38,321.183832406998,11
AddNodesDynamically,3,11,287,39,321.33322930336,12
AddNodesDynamically,3,12,327,40,323.410512208939,13
AddNodesDynamically,3,13,368,41,330.386803865433,14
AddNodesDynamically,3,14,411,43,342.782099962234,15
AddNodesDynamically,4,4,32,32,267.616687774658,5
AddNodesDynamically,4,5,65,33,268.484021186829,6
AddNodesDynamically,4,6,99,34,268.844058036804,7
AddNodesDynamically,4,7,135,36,273.834865093231,8
AddNodesDynamically,4,8,173,38,287.731830120087,9
AddNodesDynamically,4,9,211,38,310.768549442291,10
AddNodesDynamically,4,10,250,39,310.888178825378,11
AddNodesDynamically,4,11,289,39,314.082983970642,12
AddNodesDynamically,4,12,329,40,314.574782371521,13
AddNodesDynamically,4,13,370,41,316.510249137878,14
AddNodesDynamically,4,14,411,41,317.508013725281,15
AddNodesDynamically,5,4,31,31,276.498672485352,5
AddNodesDynamically,5,5,64,33,276.674617767334,6
AddNodesDynamically,5,6,98,34,281.43967628479,7
AddNodesDynamically,5,7,134,36,282.523819923401,8
AddNodesDynamically,5,8,171,37,283.185389518738,9
AddNodesDynamically,5,9,209,38,290.089701652527,10
AddNodesDynamically,5,10,248,39,314.252516746521,11
AddNodesDynamically,5,11,310,62,329.397540092468,12
AddNodesDynamically,5,12,350,40,331.593509674072,13
AddNodesDynamically,5,13,391,41,341.79700088501,14
AddNodesDynamically,5,14,432,41,341.897027492523,15
AddNodesDynamically,6,4,31,31,232.552261352539,5
AddNodesDynamically,6,5,64,33,260.626974105835,6
AddNodesDynamically,6,6,98,34,295.335046768188,7
AddNodesDynamically,6,7,134,36,309.550870895386,8
AddNodesDynamically,6,8,171,37,309.637920379639,9
AddNodesDynamically,6,9,209,38,310.096510410309,10
AddNodesDynamically,6,10,248,39,320.006000995636,11
AddNodesDynamically,6,11,290,42,343.828012943268,12
AddNodesDynamically,6,12,330,40,347.366134166718,13
AddNodesDynamically,6,13,371,41,349.582515239716,14
AddNodesDynamically,6,14,412,41,356.154529094696,15
AddNodesDynamically,7,4,52,52,184.413457870483,5
AddNodesDynamically,7,5,90,38,190.271083831787,6
AddNodesDynamically,7,6,124,34,191.863264560699,7
AddNodesDynamically,7,7,160,36,233.647718906403,8
AddNodesDynamically,7,8,197,37,258.345621585846,9
AddNodesDynamically,7,9,235,38,294.513449192047,10
AddNodesDynamically,7,10,274,39,316.362499713898,11
AddNodesDynamically,7,11,316,42,321.136426448822,12
AddNodesDynamically,7,12,356,40,322.217755794525,13
AddNodesDynamically,7,13,397,41,324.202879428864,14
AddNodesDynamically,7,14,438,41,361.038141727448,15
AddNodesDynamically,8,4,31,31,253.415746688843,5
AddNodesDynamically,8,5,64,33,287.779302597046,6
AddNodesDynamically,8,6,98,34,290.107402801514,7
AddNodesDynamically,8,7,133,35,299.105197906494,8
AddNodesDynamically,8,8,170,37,300.971035003662,9
AddNodesDynamically,8,9,211,41,339.176654815674,10
AddNodesDynamically,8,10,249,38,349.645237445831,11
AddNodesDynamically,8,11,288,39,359.446426868439,12
AddNodesDynamically,8,12,328,40,359.456862449646,13
AddNodesDynamically,8,13,369,41,363.776390552521,14
AddNodesDynamically,8,14,410,41,366.287090778351,15
AddNodesDynamically,9,4,31,31,329.693035125732,5
AddNodesDynamically,9,5,64,33,329.747786521912,6
AddNodesDynamically,9,6,98,34,342.280299186707,7
AddNodesDynamically,9,7,136,38,359.848307609558,8
AddNodesDynamically,9,8,173,37,364.348258018494,9
AddNodesDynamically,9,9,211,38,366.244916915894,10
AddNodesDynamically,9,10,249,38,366.633577346802,11
AddNodesDynamically,9,11,288,39,372.583539962769,12
AddNodesDynamically,9,12,328,40,380.83770275116,13
AddNodesDynamically,9,13,369,41,380.898564338684,14
AddNodesDynamically,9,14,410,41,399.807377815247,15
AddNodesDynamically,10,4,32,32,259.794195175171,5
AddNodesDynamically,10,5,65,33,260.950391054153,6
AddNodesDynamically,10,6,109,44,260.959225893021,7
AddNodesDynamically,10,7,301,192,261.527374505997,8
AddNodesDynamically,10,8,474,173,263.349843263626,9
AddNodesDynamically,10,9,560,86,262.623021364212,10
AddNodesDynamically,10,10,599,39,263.968514680862,11
AddNodesDynamically,10,11,663,64,288.42764210701,12
AddNodesDynamically,10,12,703,40,290.592191934586,13
AddNodesDynamically,10,13,744,41,292.553585290909,14
AddNodesDynamically,10,14,785,41,319.957393884659,15
AddNodesDynamically,11,4,334,334,265.507862091064,5
AddNodesDynamically,11,5,374,40,288.275260925293,6
AddNodesDynamically,11,6,408,34,291.75390625,7
AddNodesDynamically,11,7,455,47,354.800779342651,8
AddNodesDynamically,11,8,492,37,367.996320724487,9
AddNodesDynamically,11,9,547,55,368.340311050415,10
AddNodesDynamically,11,10,645,98,371.320728302002,11
AddNodesDynamically,11,11,684,39,372.59969997406,12
AddNodesDynamically,11,12,804,120,379.78321647644,13
AddNodesDynamically,11,13,845,41,387.938329696655,14
AddNodesDynamically,11,14,886,41,388.146404266357,15
AddNodesDynamically,12,4,32,32,197.414077758789,5
AddNodesDynamically,12,5,65,33,216.207777023315,6
AddNodesDynamically,12,6,99,34,221.772758483887,7
AddNodesDynamically,12,7,135,36,224.470139980316,8
