Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,40,80,80,1828,0
AddNodesDynamically,1,36,181,181,1637,0
AddNodesDynamically,3,39,93,93,2101,0
AddNodesDynamically,4,39,86,86,2039,0
AddNodesDynamically,5,38,91,91,2172,0
AddNodesDynamically,6,40,93,93,2301,0
AddNodesDynamically,7,40,67,67,2065,0
AddNodesDynamically,9,40,65,65,1863,0
AddNodesDynamically,10,37,98,98,1782,0
AddNodesDynamically,11,38,87,87,1921,0
AddNodesDynamically,12,40,68,68,2754,0
AddNodesDynamically,13,33,84,84,1643,0
AddNodesDynamically,14,38,91,91,1899,0
AddNodesDynamically,15,35,164,164,1879,0
AddNodesDynamically,17,40,88,88,2241,0
AddNodesDynamically,18,38,109,109,3522,0
AddNodesDynamically,19,40,104,104,2219,0
AddNodesDynamically,20,39,170,170,1788,0
AddNodesDynamically,21,36,118,118,2578,0
AddNodesDynamically,22,40,94,94,2189,0
AddNodesDynamically,23,40,118,118,3231,0
AddNodesDynamically,24,39,79,79,1981,0
AddNodesDynamically,25,38,90,90,1983,0
AddNodesDynamically,26,39,87,87,2024,0
AddNodesDynamically,27,36,79,79,1611,0
AddNodesDynamically,28,34,80,80,1429,0
AddNodesDynamically,29,36,181,181,1949,0
AddNodesDynamically,30,29,65,65,1558,0
AddNodesDynamically,31,34,122,122,2197,0
AddNodesDynamically,32,38,500,500,2135,0
AddNodesDynamically,33,39,143,143,2133,0
AddNodesDynamically,34,36,105,105,1653,0
AddNodesDynamically,36,34,73,73,1829,0
AddNodesDynamically,37,36,76,76,1618,0
AddNodesDynamically,38,33,72,72,1713,0
AddNodesDynamically,39,36,80,80,1575,0
AddNodesDynamically,40,37,78,78,1994,0
AddNodesDynamically,41,35,154,154,1998,0
AddNodesDynamically,42,38,98,98,1864,0
AddNodesDynamically,43,39,105,105,2083,0
AddNodesDynamically,44,35,80,80,1490,0
AddNodesDynamically,45,33,217,217,1466,0
AddNodesDynamically,46,40,66,66,2046,0
AddNodesDynamically,47,37,80,80,1960,0
AddNodesDynamically,48,36,82,82,1608,0
AddNodesDynamically,49,39,90,90,3016,0
AddNodesDynamically,50,38,134,134,1986,0
AddNodesDynamically,51,39,108,108,2127,0
AddNodesDynamically,52,39,103,103,2201,0
AddNodesDynamically,54,35,142,142,1883,0
AddNodesDynamically,55,39,129,129,1678,0
AddNodesDynamically,56,34,104,104,1513,0
AddNodesDynamically,57,38,159,159,2498,0
AddNodesDynamically,58,36,494,494,1937,0
AddNodesDynamically,59,27,184,184,1250,0
AddNodesDynamically,60,33,78,78,1673,0
AddNodesDynamically,61,32,98,98,1845,0
AddNodesDynamically,62,37,83,83,1955,0
AddNodesDynamically,63,36,77,77,2492,0
AddNodesDynamically,64,31,500,500,2224,0
AddNodesDynamically,65,34,73,73,1854,0
AddNodesDynamically,66,38,101,101,2020,0
AddNodesDynamically,67,38,88,88,2178,0
AddNodesDynamically,68,29,65,65,1289,0
AddNodesDynamically,69,39,195,195,1814,0
AddNodesDynamically,71,38,140,140,1872,0
AddNodesDynamically,72,37,90,90,1811,0
AddNodesDynamically,73,38,179,179,1892,0
AddNodesDynamically,74,37,146,146,1725,0
AddNodesDynamically,75,23,96,96,1323,0
AddNodesDynamically,76,39,81,81,2218,0
AddNodesDynamically,77,37,85,85,1959,0
AddNodesDynamically,78,39,105,105,2073,0
AddNodesDynamically,79,37,98,98,1801,0
AddNodesDynamically,80,40,134,134,1906,0
AddNodesDynamically,81,35,90,90,2431,0
AddNodesDynamically,82,40,101,101,2520,0
AddNodesDynamically,83,40,73,73,1855,0
AddNodesDynamically,84,39,110,110,2050,0
AddNodesDynamically,85,39,77,77,2234,0
AddNodesDynamically,86,26,78,78,947,0
AddNodesDynamically,87,33,80,80,2386,0
AddNodesDynamically,88,38,95,95,2145,0
AddNodesDynamically,89,34,68,68,1604,0
AddNodesDynamically,90,38,149,149,2527,0
AddNodesDynamically,91,29,81,81,1578,0
AddNodesDynamically,92,29,66,66,1289,0
AddNodesDynamically,93,37,97,97,1738,0
AddNodesDynamically,94,40,83,83,2015,0
AddNodesDynamically,95,38,110,110,1946,0
AddNodesDynamically,96,31,73,73,2269,0
AddNodesDynamically,99,35,78,78,1519,0
