Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,37,84,84,2563,0
AddNodesDynamically,0,37,80,80,2570,0
AddNodesDynamically,0,37,78,78,2560,0
AddNodesDynamically,0,37,74,74,2554,0
AddNodesDynamically,0,37,81,81,2539,0
AddNodesDynamically,0,37,84,84,2570,0
AddNodesDynamically,0,37,88,88,2554,0
AddNodesDynamically,0,37,75,75,2560,0
AddNodesDynamically,0,37,82,82,2478,0
AddNodesDynamically,0,37,77,77,2570,0
AddNodesDynamically,0,37,80,80,2570,0
AddNodesDynamically,0,37,77,77,2570,0
AddNodesDynamically,0,37,76,76,2554,0
AddNodesDynamically,0,37,88,88,2554,0
AddNodesDynamically,0,37,78,78,2563,0
AddNodesDynamically,0,37,106,106,2519,0
AddNodesDynamically,0,37,85,85,2563,0
AddNodesDynamically,0,37,77,77,2554,0
AddNodesDynamically,0,37,79,79,2554,0
AddNodesDynamically,0,37,82,82,2554,0
AddNodesDynamically,1,38,108,108,1892,0
AddNodesDynamically,1,38,85,85,1899,0
AddNodesDynamically,1,38,95,95,1884,0
AddNodesDynamically,1,38,153,153,1884,0
AddNodesDynamically,1,38,82,82,1864,0
AddNodesDynamically,1,38,86,86,1899,0
AddNodesDynamically,1,38,89,89,1899,0
AddNodesDynamically,1,38,112,112,1895,0
AddNodesDynamically,1,38,127,127,1857,0
AddNodesDynamically,1,38,102,102,1899,0
AddNodesDynamically,1,38,108,108,1892,0
AddNodesDynamically,1,38,106,106,1821,0
AddNodesDynamically,1,38,106,106,1884,0
AddNodesDynamically,1,38,94,94,1857,0
AddNodesDynamically,1,38,106,106,1821,0
AddNodesDynamically,1,38,103,103,1877,0
AddNodesDynamically,1,38,104,104,1899,0
AddNodesDynamically,1,38,109,109,1890,0
AddNodesDynamically,1,38,92,92,1899,0
AddNodesDynamically,1,38,115,115,1821,0
AddNodesDynamically,2,40,83,83,2501,0
AddNodesDynamically,2,40,79,79,2494,0
AddNodesDynamically,2,40,77,77,2516,0
AddNodesDynamically,2,40,90,90,2475,0
AddNodesDynamically,2,40,83,83,2443,0
AddNodesDynamically,2,40,81,81,2488,0
AddNodesDynamically,2,40,97,97,2504,0
AddNodesDynamically,2,40,96,96,2497,0
AddNodesDynamically,2,40,103,103,2450,0
AddNodesDynamically,2,40,85,85,2518,0
AddNodesDynamically,2,40,127,127,2534,0
AddNodesDynamically,2,40,76,76,2443,0
AddNodesDynamically,2,40,92,92,2518,0
AddNodesDynamically,2,40,103,103,2501,0
AddNodesDynamically,2,40,85,85,2478,0
AddNodesDynamically,2,40,74,74,2480,0
AddNodesDynamically,2,40,90,90,2488,0
AddNodesDynamically,2,40,90,90,2518,0
AddNodesDynamically,2,40,82,82,2480,0
AddNodesDynamically,2,40,102,102,2480,0
AddNodesDynamically,3,39,84,84,2134,0
AddNodesDynamically,3,39,96,96,2154,0
AddNodesDynamically,3,39,89,89,2158,0
AddNodesDynamically,3,39,98,98,2127,0
AddNodesDynamically,3,39,92,92,2106,0
AddNodesDynamically,3,39,101,101,2108,0
AddNodesDynamically,3,39,97,97,2130,0
AddNodesDynamically,3,39,85,85,2116,0
AddNodesDynamically,3,39,76,76,2106,0
AddNodesDynamically,3,39,89,89,2116,0
AddNodesDynamically,3,39,103,103,2136,0
AddNodesDynamically,3,39,92,92,2107,0
AddNodesDynamically,3,39,85,85,2130,0
AddNodesDynamically,3,39,84,84,2136,0
AddNodesDynamically,3,39,120,120,2150,0
AddNodesDynamically,3,39,83,83,2139,0
AddNodesDynamically,3,39,84,84,2136,0
AddNodesDynamically,3,39,92,92,2134,0
AddNodesDynamically,3,39,106,106,2113,0
AddNodesDynamically,3,39,92,92,2150,0
AddNodesDynamically,4,37,93,93,1673,0
AddNodesDynamically,4,37,109,109,1693,0
AddNodesDynamically,4,37,89,89,1641,0
AddNodesDynamically,4,37,94,94,1673,0
AddNodesDynamically,4,37,98,98,1649,0
AddNodesDynamically,4,37,91,91,1671,0
AddNodesDynamically,4,37,79,79,1641,0
AddNodesDynamically,4,37,90,90,1674,0
AddNodesDynamically,4,37,90,90,1653,0
AddNodesDynamically,4,37,71,71,1671,0
AddNodesDynamically,4,37,84,84,1652,0
AddNodesDynamically,4,37,92,92,1668,0
AddNodesDynamically,4,37,107,107,1649,0
AddNodesDynamically,4,37,104,104,1653,0
AddNodesDynamically,4,37,84,84,1654,0
AddNodesDynamically,4,37,85,85,1670,0
AddNodesDynamically,4,37,77,77,1652,0
AddNodesDynamically,4,37,93,93,1673,0
AddNodesDynamically,4,37,89,89,1671,0
AddNodesDynamically,4,37,83,83,1676,0
