Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,38,500,500,2483,466.466206550598
RebuildWholeGraph,0,38,164,164,2498,466.466206550598
RebuildWholeGraph,0,38,500,500,2507,466.466206550598
RebuildWholeGraph,0,38,500,500,2489,466.466206550598
RebuildWholeGraph,0,38,137,137,2489,472.65428352356
RebuildWholeGraph,0,38,123,123,2489,469.100714683533
RebuildWholeGraph,0,38,223,223,2525,466.466206550598
RebuildWholeGraph,0,38,211,211,2489,466.466206550598
RebuildWholeGraph,0,38,114,114,2577,466.466206550598
RebuildWholeGraph,0,38,500,500,2558,466.466206550598
RebuildWholeGraph,0,38,139,139,2549,470.60472869873
RebuildWholeGraph,0,38,500,500,2507,466.466206550598
RebuildWholeGraph,0,38,154,154,2526,466.466206550598
RebuildWholeGraph,0,38,434,434,2548,466.466206550598
RebuildWholeGraph,0,38,482,482,2489,466.466206550598
RebuildWholeGraph,0,38,303,303,2498,466.466206550598
RebuildWholeGraph,0,38,104,104,2574,466.466206550598
RebuildWholeGraph,0,38,500,500,2491,466.466206550598
RebuildWholeGraph,0,38,221,221,2489,466.466206550598
RebuildWholeGraph,0,38,349,349,2588,466.466206550598
RebuildWholeGraph,0,38,129,129,2540,474.648550987244
RebuildWholeGraph,0,38,500,500,2538,466.466206550598
RebuildWholeGraph,0,38,98,98,2489,466.466206550598
RebuildWholeGraph,0,38,105,105,2538,474.648550987244
RebuildWholeGraph,0,38,142,142,2489,466.466206550598
RebuildWholeGraph,0,38,115,115,2574,474.648550987244
RebuildWholeGraph,0,38,114,114,2556,474.648550987244
RebuildWholeGraph,0,38,500,500,2483,466.466206550598
RebuildWholeGraph,0,38,500,500,2525,466.466206550598
RebuildWholeGraph,0,38,108,108,2588,466.466206550598
