Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,34,34,242.641902923584,5
AddNodesDynamically,0,5,67,33,249.890594482422,6
AddNodesDynamically,0,6,110,43,251.52746963501,7
AddNodesDynamically,0,7,146,36,256.485106468201,8
AddNodesDynamically,0,8,184,38,304.775671958923,9
AddNodesDynamically,0,9,359,175,309.19145488739,10
AddNodesDynamically,0,10,993,634,353.524147987366,11
AddNodesDynamically,0,11,1074,81,354.747114181519,12
AddNodesDynamically,0,12,1114,40,358.894552230835,13
AddNodesDynamically,0,13,1155,41,363.949505805969,14
AddNodesDynamically,0,14,1197,42,387.338122367859,15
AddNodesDynamically,1,4,31,31,237.005370140076,5
AddNodesDynamically,1,5,64,33,237.522614479065,6
AddNodesDynamically,1,6,99,35,259.843945503235,7
AddNodesDynamically,1,7,135,36,271.45872592926,8
AddNodesDynamically,1,8,172,37,280.81810092926,9
AddNodesDynamically,1,9,210,38,291.75466632843,10
AddNodesDynamically,1,10,255,45,312.302221298218,11
AddNodesDynamically,1,11,297,42,315.559898376465,12
AddNodesDynamically,1,12,338,41,333.530592918396,13
AddNodesDynamically,1,13,379,41,339.208373069763,14
AddNodesDynamically,1,14,421,42,353.716588020325,15
AddNodesDynamically,2,4,31,31,263.193134307861,5
AddNodesDynamically,2,5,85,54,265.939027786255,6
AddNodesDynamically,2,6,119,34,267.415286064148,7
AddNodesDynamically,2,7,155,36,287.889449119568,8
AddNodesDynamically,2,8,193,38,321.903695106506,9
AddNodesDynamically,2,9,237,44,334.667763710022,10
AddNodesDynamically,2,10,276,39,337.625087738037,11
AddNodesDynamically,2,11,320,44,345.419290542603,12
AddNodesDynamically,2,12,364,44,339.000455856323,13
AddNodesDynamically,2,13,405,41,347.24306678772,14
AddNodesDynamically,2,14,447,42,379.431451797485,15
AddNodesDynamically,3,4,31,31,222.502680301666,5
AddNodesDynamically,3,5,64,33,222.940935611725,6
AddNodesDynamically,3,6,106,42,243.575953006744,7
AddNodesDynamically,3,7,143,37,272.124266147614,8
AddNodesDynamically,3,8,180,37,272.35254907608,9
AddNodesDynamically,3,9,218,38,289.210115909576,10
AddNodesDynamically,3,10,442,224,300.846611499786,11
AddNodesDynamically,3,11,482,40,313.612102985382,12
AddNodesDynamically,3,12,522,40,319.534623622894,13
AddNodesDynamically,3,13,563,41,321.398570537567,14
AddNodesDynamically,3,14,605,42,344.751933574677,15
AddNodesDynamically,4,4,731,731,137.559715270996,5
AddNodesDynamically,4,5,768,37,201.191365242004,6
AddNodesDynamically,4,6,803,35,211.223044395447,7
AddNodesDynamically,4,7,839,36,212.930190086365,8
AddNodesDynamically,4,8,876,37,217.18445110321,9
AddNodesDynamically,4,9,914,38,219.221821784973,10
AddNodesDynamically,4,10,953,39,220.652087211609,11
AddNodesDynamically,4,11,993,40,226.619591712952,12
AddNodesDynamically,4,12,1034,41,250.683989524841,13
AddNodesDynamically,4,13,1075,41,250.683989286423,14
AddNodesDynamically,4,14,1117,42,251.462040185928,15
AddNodesDynamically,5,4,32,32,149.337509155273,5
AddNodesDynamically,5,5,83,51,211.800189971924,6
AddNodesDynamically,5,6,118,35,220.335954666138,7
AddNodesDynamically,5,7,154,36,220.389902114868,8
AddNodesDynamically,5,8,191,37,220.857179641724,9
AddNodesDynamically,5,9,229,38,230.733494758606,10
AddNodesDynamically,5,10,271,42,275.236310005188,11
AddNodesDynamically,5,11,311,40,303.251984596252,12
AddNodesDynamically,5,12,351,40,308.992339134216,13
AddNodesDynamically,5,13,392,41,314.232930183411,14
AddNodesDynamically,5,14,434,42,327.946759223938,15
AddNodesDynamically,6,4,32,32,230.020239830017,5
AddNodesDynamically,6,5,65,33,239.827142715454,6
AddNodesDynamically,6,6,100,35,289.143301010132,7
AddNodesDynamically,6,7,153,53,292.678787231445,8
AddNodesDynamically,6,8,190,37,315.150968551636,9
AddNodesDynamically,6,9,228,38,315.603223800659,10
AddNodesDynamically,6,10,267,39,341.10396194458,11
AddNodesDynamically,6,11,306,39,343.834265232086,12
AddNodesDynamically,6,12,346,40,343.875023365021,13
AddNodesDynamically,6,13,387,41,344.335155963898,14
AddNodesDynamically,6,14,429,42,350.627268314362,15
AddNodesDynamically,7,4,50,50,203.034818172455,5
AddNodesDynamically,7,5,84,34,238.120198726654,6
AddNodesDynamically,7,6,121,37,238.457183361053,7
AddNodesDynamically,7,7,157,36,260.055316448212,8
AddNodesDynamically,7,8,194,37,281.640006542206,9
AddNodesDynamically,7,9,232,38,294.822692394257,10
AddNodesDynamically,7,10,275,43,298.521605014801,11
AddNodesDynamically,7,11,335,60,316.681021213531,12
AddNodesDynamically,7,12,414,79,314.675320148468,13
AddNodesDynamically,7,13,455,41,317.875936985016,14
AddNodesDynamically,7,14,497,42,322.172998905182,15
AddNodesDynamically,8,4,32,32,329.693035125732,5
AddNodesDynamically,8,5,65,33,329.747786521912,6
AddNodesDynamically,8,6,100,35,342.280299186707,7
AddNodesDynamically,8,7,136,36,359.848307609558,8
AddNodesDynamically,8,8,173,37,364.348258018494,9
AddNodesDynamically,8,9,211,38,366.244916915894,10
AddNodesDynamically,8,10,249,38,366.633577346802,11
AddNodesDynamically,8,11,288,39,372.583539962769,12
AddNodesDynamically,8,12,328,40,380.83770275116,13
AddNodesDynamically,8,13,369,41,380.898564338684,14
AddNodesDynamically,8,14,411,42,399.807377815247,15
AddNodesDynamically,9,4,32,32,260.057699203491,5
AddNodesDynamically,9,5,65,33,265.940084457397,6
AddNodesDynamically,9,6,99,34,267.055196762085,7
AddNodesDynamically,9,7,135,36,283.748731613159,8
AddNodesDynamically,9,8,202,67,292.304773330688,9
AddNodesDynamically,9,9,254,52,292.30539894104,10
AddNodesDynamically,9,10,363,109,299.639561653137,11
AddNodesDynamically,9,11,472,109,308.506237030029,12
AddNodesDynamically,9,12,531,59,320.48380279541,13
AddNodesDynamically,9,13,572,41,327.100616455078,14
AddNodesDynamically,9,14,616,44,335.346743583679,15
AddNodesDynamically,10,4,32,32,231.971895575523,5
AddNodesDynamically,10,5,65,33,236.395966410637,6
AddNodesDynamically,10,6,100,35,263.868615031242,7
AddNodesDynamically,10,7,136,36,269.397133708,8
AddNodesDynamically,10,8,173,37,269.577954173088,9
AddNodesDynamically,10,9,211,38,269.595044016838,10
AddNodesDynamically,10,10,250,39,292.917126536369,11
AddNodesDynamically,10,11,290,40,297.971772074699,12
AddNodesDynamically,10,12,330,40,298.02843940258,13
AddNodesDynamically,10,13,371,41,314.386860728264,14
AddNodesDynamically,10,14,413,42,326.69167983532,15
AddNodesDynamically,11,4,31,31,213.047023773193,5
AddNodesDynamically,11,5,86,55,214.620721817017,6
AddNodesDynamically,11,6,120,34,214.648996353149,7
AddNodesDynamically,11,7,165,45,269.698078155518,8
AddNodesDynamically,11,8,202,37,275.974040985107,9
