Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,242.641902923584,5
RebuildWholeGraph,0,5,68,37,249.890594482422,6
RebuildWholeGraph,0,6,122,54,251.52746963501,7
RebuildWholeGraph,0,7,163,41,256.485106468201,8
RebuildWholeGraph,0,8,216,53,304.775671958923,9
RebuildWholeGraph,0,9,382,166,309.19145488739,10
RebuildWholeGraph,0,10,762,380,353.524147987366,11
RebuildWholeGraph,0,11,845,83,354.747114181519,12
RebuildWholeGraph,0,12,907,62,358.894552230835,13
RebuildWholeGraph,0,13,971,64,363.949505805969,14
RebuildWholeGraph,0,14,1032,61,387.338122367859,15
RebuildWholeGraph,1,4,31,31,237.005370140076,5
RebuildWholeGraph,1,5,64,33,237.522614479065,6
RebuildWholeGraph,1,6,104,40,259.843945503235,7
RebuildWholeGraph,1,7,140,36,271.45872592926,8
RebuildWholeGraph,1,8,185,45,280.81810092926,9
RebuildWholeGraph,1,9,236,51,291.75466632843,10
RebuildWholeGraph,1,10,305,69,312.302221298218,11
RebuildWholeGraph,1,11,375,70,315.559898376465,12
RebuildWholeGraph,1,12,444,69,333.683016777039,13
RebuildWholeGraph,1,13,508,64,339.208373069763,14
RebuildWholeGraph,1,14,584,76,352.72061920166,15
RebuildWholeGraph,2,4,39,39,263.193134307861,5
RebuildWholeGraph,2,5,168,129,265.939027786255,6
RebuildWholeGraph,2,6,217,49,267.415286064148,7
RebuildWholeGraph,2,7,268,51,287.889449119568,8
RebuildWholeGraph,2,8,324,56,321.903695106506,9
RebuildWholeGraph,2,9,383,59,327.499255180359,10
RebuildWholeGraph,2,10,446,63,330.456579208374,11
RebuildWholeGraph,2,11,517,71,337.052089691162,12
RebuildWholeGraph,2,12,579,62,339.000455856323,13
RebuildWholeGraph,2,13,644,65,346.044374465942,14
RebuildWholeGraph,2,14,710,66,367.429395675659,15
RebuildWholeGraph,3,4,31,31,222.502680301666,5
RebuildWholeGraph,3,5,64,33,222.940935611725,6
RebuildWholeGraph,3,6,105,41,243.575953006744,7
RebuildWholeGraph,3,7,149,44,272.124266147614,8
RebuildWholeGraph,3,8,191,42,272.35254907608,9
RebuildWholeGraph,3,9,240,49,289.210115909576,10
RebuildWholeGraph,3,10,729,489,300.846611499786,11
RebuildWholeGraph,3,11,966,237,313.612102985382,12
RebuildWholeGraph,3,12,1255,289,319.534623622894,13
RebuildWholeGraph,3,13,1319,64,321.398570537567,14
RebuildWholeGraph,3,14,1426,107,344.751933574677,15
RebuildWholeGraph,4,4,522,522,137.559715270996,5
RebuildWholeGraph,4,5,574,52,201.191365242004,6
RebuildWholeGraph,4,6,618,44,211.223044395447,7
RebuildWholeGraph,4,7,664,46,212.930190086365,8
RebuildWholeGraph,4,8,704,40,217.18445110321,9
RebuildWholeGraph,4,9,751,47,219.221821784973,10
RebuildWholeGraph,4,10,808,57,220.652087211609,11
RebuildWholeGraph,4,11,857,49,226.619591712952,12
RebuildWholeGraph,4,12,903,46,250.683989524841,13
RebuildWholeGraph,4,13,949,46,250.683989286423,14
