Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,PathLength_Level2,NodesExplored_Level2,PathLength_Level3,NodesExplored_Level3,PathLength_AStar,NodesExplored_AStar
1,51,9,6,100,100,34,250,18,18,12,12,161,161
2,54,7,8,100,100,34,239,18,19,10,10,161,161
3,52,6,9,100,100,34,250,18,18,12,12,161,161
4,54,7,7,100,100,0,0,0,0,0,0,161,161
5,55,8,4,100,100,34,308,18,18,12,12,161,161
6,63,4,7,100,100,0,0,0,0,0,0,161,161
7,60,7,5,100,100,0,0,0,0,0,0,161,161
8,52,3,7,100,100,34,142,18,18,13,16,161,161
9,50,4,3,100,100,34,172,18,18,13,22,161,161
10,54,7,8,100,100,0,0,0,0,0,0,161,161
