Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
1,density,numberOfCheckPoints,cellularIterations,height,width,0,0,1,0,0,0,0,0,0,0,2605,10
2,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,1,30,25,3,19,19,0
3,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
4,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,5,0,0,6,0,1,0
5,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
6,density,numberOfCheckPoints,cellularIterations,height,width,0,0,13,0,0,2,0,0,1,0,7687,35
7,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
8,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
9,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,1,0,0,2,0,43,0
10,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
11,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
12,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
13,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
14,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,10,0,7175,32
15,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,1,0,7857,36
16,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,4,19,19,0
17,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,7,0,0,13,0,208,0
18,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,6866,30
19,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,21,0,0,13,0,33,0
20,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
21,density,numberOfCheckPoints,cellularIterations,height,width,0,0,13,0,0,2,0,0,1,0,7658,35
22,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,1,0,6895,31
23,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,1,0,1,0
24,density,numberOfCheckPoints,cellularIterations,height,width,22,18,2,25,20,6,37,29,13,19,19,0
25,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,10,0,1233,4
26,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
27,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
28,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
29,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
30,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,6,19,19,0
31,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
32,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
33,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
34,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,4,19,19,0
35,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,5,0,1,0
36,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,1,0,292,0
37,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
38,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
39,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
40,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
41,density,numberOfCheckPoints,cellularIterations,height,width,23,19,3,25,20,2,30,25,3,19,19,0
42,density,numberOfCheckPoints,cellularIterations,height,width,0,0,6,0,0,2,0,0,1,0,7855,35
43,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,7,0,7988,63
44,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,6067,48
45,density,numberOfCheckPoints,cellularIterations,height,width,22,17,1,25,20,2,30,25,3,19,19,0
46,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
47,density,numberOfCheckPoints,cellularIterations,height,width,25,21,1,27,22,2,32,27,3,19,20,0
48,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
49,density,numberOfCheckPoints,cellularIterations,height,width,0,0,2,0,0,1,0,0,0,0,2870,12
50,density,numberOfCheckPoints,cellularIterations,height,width,0,0,5,0,0,2,0,0,1,0,7354,34
51,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
52,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
53,density,numberOfCheckPoints,cellularIterations,height,width,23,19,2,25,20,2,30,25,3,19,19,0
54,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
55,density,numberOfCheckPoints,cellularIterations,height,width,23,19,1,25,20,2,30,25,3,19,19,0
