Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,PathLength_Level2,NodesExplored_Level2,PathLength_Level3,NodesExplored_Level3,PathLength_AStar,NodesExplored_AStar
1,56,3,7,100,100,34,252,18,18,11,16,161,848
2,60,3,9,100,100,0,0,0,0,0,0,0,828
3,59,4,6,100,100,0,0,0,0,0,0,0,1082
4,64,2,8,100,100,0,0,0,0,0,0,0,1
5,47,4,8,100,100,34,206,18,19,12,12,161,161
6,63,4,8,100,100,0,0,0,0,0,0,0,612
7,61,3,9,100,100,0,0,0,0,0,0,0,383
8,50,4,7,100,100,34,229,18,19,12,12,161,503
9,52,4,9,100,100,34,264,18,18,12,12,161,295
10,50,3,6,100,100,34,236,18,18,11,17,161,178
11,51,3,7,100,100,0,0,0,0,0,0,161,260
12,59,1,5,100,100,0,0,0,0,0,0,0,243
13,62,4,9,100,100,0,0,0,0,0,0,0,564
14,48,1,5,100,100,0,0,0,0,0,0,0,9169
15,45,4,8,100,100,34,232,18,18,12,12,161,161
16,49,4,9,100,100,34,240,18,18,12,12,161,161
17,51,3,5,100,100,34,257,18,18,13,15,161,270
18,50,1,8,100,100,34,238,18,18,12,12,161,164
19,50,4,5,100,100,0,0,0,0,0,0,0,8787
20,56,1,7,100,100,0,0,0,0,0,0,0,7391
21,48,2,8,100,100,34,244,18,22,12,12,161,161
22,55,4,7,100,100,38,268,19,23,13,17,161,180
23,62,1,5,100,100,0,0,0,0,0,0,0,1
24,49,3,7,100,100,34,247,18,18,12,12,161,161
25,46,2,6,100,100,34,248,19,22,13,19,161,161
26,48,3,8,100,100,34,231,18,18,12,12,161,341
27,48,2,9,100,100,34,258,18,18,12,12,161,629
28,62,4,8,100,100,0,0,0,0,0,0,0,1
29,55,3,5,100,100,34,256,18,19,12,12,171,3656
30,46,3,5,100,100,33,58,18,18,12,12,161,161
31,61,3,6,100,100,0,0,0,0,0,0,0,84
32,58,1,9,100,100,34,247,18,21,10,10,161,359
33,60,1,8,100,100,0,0,0,0,0,0,0,637
34,56,2,7,100,100,0,0,0,0,0,0,0,1
35,50,1,8,100,100,34,240,18,23,12,12,161,161
36,51,2,6,100,100,34,253,19,20,13,19,161,187
37,54,3,9,100,100,33,255,19,19,12,12,161,262
38,57,1,7,100,100,0,0,0,0,0,0,0,235
39,58,4,6,100,100,0,0,0,0,0,0,0,5280
40,53,1,8,100,100,34,264,18,18,12,12,161,206
41,58,2,6,100,100,0,0,0,0,0,0,0,1
42,61,4,9,100,100,0,0,0,0,0,0,0,932
43,50,4,5,100,100,34,261,18,22,12,12,161,308
44,46,1,5,100,100,34,251,18,19,12,12,161,163
45,56,4,9,100,100,37,347,18,21,11,13,163,4099
46,50,3,5,100,100,34,302,19,23,10,10,161,352
47,51,3,5,100,100,33,267,19,21,12,12,161,163
48,48,2,9,100,100,34,237,18,22,12,12,161,161
49,59,1,6,100,100,0,0,0,0,0,0,0,3620
50,59,4,8,100,100,0,0,0,0,0,0,0,1
51,49,1,9,100,100,34,237,19,22,12,12,161,169
52,60,2,5,100,100,0,0,0,0,0,0,0,3456
53,47,4,6,100,100,34,256,18,19,12,12,161,161
54,58,4,8,100,100,0,0,0,0,0,0,0,1
55,58,1,5,100,100,0,0,0,0,0,0,0,1
56,52,3,5,100,100,33,232,18,19,10,10,161,476
57,53,4,6,100,100,34,279,18,18,12,12,161,412
58,51,4,5,100,100,34,104,19,19,12,12,161,168
59,59,1,9,100,100,0,0,0,0,0,0,0,5948
60,62,4,8,100,100,0,0,0,0,0,0,0,228
61,62,1,7,100,100,0,0,0,0,0,0,0,100
62,45,4,6,100,100,34,243,18,18,12,12,161,161
63,47,2,6,100,100,34,259,18,18,12,12,161,321
64,48,3,8,100,100,34,251,18,18,12,12,161,165
65,62,4,5,100,100,0,0,0,0,0,0,0,365
66,53,2,8,100,100,34,145,18,18,10,10,161,449
67,56,1,9,100,100,0,0,0,0,0,0,161,684
68,51,2,6,100,100,33,250,18,18,12,12,161,450
69,53,2,7,100,100,33,101,18,18,12,12,161,162
70,53,4,9,100,100,34,221,18,18,10,10,161,347
71,51,1,7,100,100,34,256,18,18,10,10,161,353
72,46,4,8,100,100,34,238,18,19,12,12,161,161
73,57,1,6,100,100,0,0,0,0,0,0,0,1
74,47,2,6,100,100,34,243,18,18,12,12,161,164
75,60,2,5,100,100,0,0,0,0,0,0,0,1
76,53,2,9,100,100,34,212,19,21,10,10,161,161
77,56,2,7,100,100,33,206,19,19,12,12,161,598
78,52,2,9,100,100,34,254,18,18,12,12,161,212
79,51,3,5,100,100,34,280,18,20,12,12,161,329
80,50,1,7,100,100,34,254,18,22,12,12,161,169
81,45,3,7,100,100,34,240,18,22,12,12,161,161
82,46,1,9,100,100,34,226,18,18,12,12,161,161
83,60,1,5,100,100,0,0,0,0,0,0,0,24
84,48,4,7,100,100,33,52,19,19,10,10,161,409
85,57,3,8,100,100,0,0,0,0,0,0,0,7544
86,46,1,7,100,100,34,255,18,22,12,12,161,236
87,50,4,7,100,100,34,263,18,22,10,10,161,181
88,63,4,9,100,100,0,0,0,0,0,0,0,113
89,52,3,7,100,100,34,142,18,18,12,12,161,176
90,50,3,8,100,100,34,254,18,18,12,12,161,161
