Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,PathLength_Level2,NodesExplored_Level2,PathLength_Level3,NodesExplored_Level3,PathLength_AStar,NodesExplored_AStar
1,48,1,8,100,100,203,175,34,35,13,20,161,161
2,57,4,9,100,100,202,177,58,159,16,17,161,1046
3,53,4,9,100,100,201,169,41,65,12,12,161,162
4,46,2,9,100,100,203,171,38,41,13,27,161,161
5,45,1,8,100,100,201,169,38,41,12,13,161,161
6,60,1,9,100,100,0,0,0,0,0,0,0,2035
7,57,2,9,100,100,0,0,0,0,0,0,0,185
8,46,1,9,100,100,203,171,34,35,13,20,161,161
9,53,1,8,100,100,201,175,43,62,13,26,161,161
10,54,3,8,100,100,203,179,40,59,12,13,161,292
11,51,4,6,100,100,199,167,35,40,16,21,161,632
12,47,3,6,100,100,201,182,38,42,12,13,161,162
13,56,4,6,100,100,0,0,0,0,0,0,0,7139
14,45,4,8,100,100,201,169,38,41,12,13,161,161
15,46,2,5,100,100,201,178,40,44,13,30,161,163
16,64,1,9,100,100,0,0,0,0,0,0,0,1
17,45,2,5,100,100,201,169,34,37,16,18,161,161
18,62,1,6,100,100,0,0,0,0,0,0,0,348
19,56,3,8,100,100,0,0,0,0,0,0,0,7378
20,57,3,6,100,100,205,185,84,245,16,19,163,1642
21,55,1,6,100,100,204,194,40,48,12,12,171,4926
22,64,3,8,100,100,0,0,0,0,0,0,0,113
23,63,3,7,100,100,0,0,0,0,0,0,0,320
24,48,3,6,100,100,202,171,38,40,12,14,161,430
25,62,3,7,100,100,0,0,0,0,0,0,0,1
26,51,3,7,100,100,201,169,38,44,13,20,161,207
27,49,4,5,100,100,192,166,46,54,16,16,161,161
28,45,1,9,100,100,203,171,38,39,13,20,161,161
29,47,2,8,100,100,201,169,38,39,12,15,161,161
30,64,1,6,100,100,0,0,0,0,0,0,0,1
31,64,3,7,100,100,0,0,0,0,0,0,0,1
32,63,2,7,100,100,0,0,0,0,0,0,0,86
33,54,1,7,100,100,0,0,0,0,0,0,0,7777
34,63,3,6,100,100,0,0,0,0,0,0,0,698
35,45,3,8,100,100,201,169,34,37,12,13,161,161
36,54,4,7,100,100,197,167,56,127,12,15,161,928
37,47,1,6,100,100,203,171,38,41,16,24,161,161
38,59,2,6,100,100,0,0,0,0,0,0,0,254
39,56,3,7,100,100,207,176,71,274,12,13,167,4079
40,63,4,7,100,100,0,0,0,0,0,0,0,1549
41,53,4,5,100,100,0,0,0,0,0,0,161,562
42,49,4,7,100,100,201,169,43,45,12,21,161,161
43,45,1,7,100,100,201,169,38,41,12,13,161,163
44,51,4,8,100,100,201,169,49,68,12,13,161,186
45,53,1,9,100,100,0,0,0,0,0,0,0,8644
46,52,2,7,100,100,191,161,48,62,16,18,161,321
47,57,2,9,100,100,0,0,0,0,0,0,165,505
48,51,1,5,100,100,199,167,41,80,16,21,161,313
49,64,4,7,100,100,0,0,0,0,0,0,0,196
50,55,1,9,100,100,200,186,40,45,17,33,161,589
51,63,2,7,100,100,0,0,0,0,0,0,0,1
52,48,1,9,100,100,201,169,34,37,12,14,161,161
53,64,2,9,100,100,0,0,0,0,0,0,0,1
54,56,1,5,100,100,0,0,0,0,0,0,0,1
55,49,4,9,100,100,199,167,38,44,12,18,161,161
56,55,3,7,100,100,198,166,45,64,16,19,161,491
57,47,2,6,100,100,199,182,38,44,12,18,161,161
58,51,1,7,100,100,0,0,0,0,0,0,0,9082
59,51,1,9,100,100,201,169,40,45,13,20,161,161
60,57,4,8,100,100,199,167,35,41,12,20,161,383
61,53,1,9,100,100,195,163,34,37,16,17,161,217
62,47,2,7,100,100,201,169,38,39,12,13,161,165
63,54,3,5,100,100,0,0,0,0,0,0,161,1456
64,57,1,7,100,100,192,169,48,65,12,14,161,852
65,55,3,6,100,100,204,168,63,159,12,17,163,471
66,46,4,9,100,100,201,169,38,39,13,25,161,161
67,57,1,8,100,100,199,167,57,150,12,14,161,203
68,45,2,8,100,100,201,169,34,37,12,14,161,161
69,63,2,5,100,100,0,0,0,0,0,0,0,1
70,60,1,8,100,100,0,0,0,0,0,0,0,42
71,54,2,9,100,100,197,165,34,40,16,18,161,504
72,62,4,5,100,100,0,0,0,0,0,0,0,238
73,48,2,9,100,100,201,176,38,46,12,14,161,161
74,52,4,8,100,100,197,165,38,45,12,16,161,232
75,47,2,8,100,100,203,171,34,37,12,15,161,315
76,45,2,5,100,100,201,189,43,45,13,20,161,374
77,45,1,8,100,100,201,169,34,35,13,20,161,161
78,47,2,5,100,100,201,169,34,49,12,12,161,171
79,47,2,8,100,100,199,167,38,41,12,13,161,161
80,53,3,6,100,100,0,0,0,0,0,0,0,1
81,64,2,6,100,100,0,0,0,0,0,0,0,166
82,46,4,9,100,100,203,171,38,42,13,27,161,161
83,56,4,6,100,100,0,0,0,0,0,0,0,7316
84,64,4,8,100,100,0,0,0,0,0,0,0,38
85,47,3,8,100,100,199,174,34,35,12,14,161,161
86,61,3,7,100,100,0,0,0,0,0,0,0,752
87,53,1,6,100,100,201,169,37,46,16,20,161,161
88,60,4,5,100,100,0,0,0,0,0,0,0,1
89,50,2,9,100,100,201,169,34,37,12,13,161,182
90,52,1,7,100,100,200,169,43,50,13,21,161,638
91,57,4,6,100,100,201,183,54,81,16,16,161,509
92,50,3,9,100,100,199,170,38,43,12,14,161,208
93,52,2,8,100,100,201,169,34,37,13,21,161,854
94,53,2,9,100,100,199,167,34,38,16,18,161,380
95,47,4,9,100,100,199,167,34,34,12,13,161,161
96,60,4,7,100,100,0,0,0,0,0,0,0,1
97,61,2,5,100,100,0,0,0,0,0,0,0,1
98,54,4,7,100,100,198,166,45,84,12,13,161,303
99,47,4,9,100,100,201,169,38,41,12,13,161,161
100,64,3,7,100,100,0,0,0,0,0,0,0,1
