Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,33,33,274.273697853088,5
RebuildWholeGraph,0,5,74,41,288.713631629944,6
RebuildWholeGraph,0,6,141,67,288.87895488739,7
RebuildWholeGraph,0,7,296,155,324.768632888794,8
RebuildWholeGraph,0,8,441,145,329.740507125854,9
RebuildWholeGraph,0,9,941,500,335.482338905334,10
RebuildWholeGraph,0,10,1441,500,352.672390937805,11
RebuildWholeGraph,0,11,1637,196,350.241178512573,12
RebuildWholeGraph,0,12,2137,500,351.081506729126,13
RebuildWholeGraph,0,13,2351,214,365.073981285095,14
RebuildWholeGraph,0,14,2766,415,366.15746307373,15
RebuildWholeGraph,0,15,2871,105,367.285897254944,16
RebuildWholeGraph,0,16,2949,78,370.292054176331,17
RebuildWholeGraph,0,17,3193,244,381.025455474854,18
RebuildWholeGraph,0,18,3302,109,415.180324554443,19
RebuildWholeGraph,0,19,3456,154,399.56715297699,20
RebuildWholeGraph,0,20,3548,92,412.788840293884,21
RebuildWholeGraph,0,21,3702,154,399.970816612244,22
RebuildWholeGraph,0,22,3792,90,449.04224395752,23
RebuildWholeGraph,0,23,3992,200,463.589988708496,24
RebuildWholeGraph,0,24,4209,217,464.486138343811,25
RebuildWholeGraph,0,25,4432,223,466.724962234497,26
RebuildWholeGraph,0,26,4579,147,475.690371513367,27
RebuildWholeGraph,0,27,4677,98,475.131534576416,28
RebuildWholeGraph,0,28,4807,130,478.328656196594,29
RebuildWholeGraph,0,29,4885,78,478.414551734924,30
RebuildWholeGraph,0,30,5123,238,492.837730407715,31
RebuildWholeGraph,0,31,5234,111,495.03499341011,32
RebuildWholeGraph,0,32,5421,187,494.909702539444,33
RebuildWholeGraph,0,33,5566,145,508.375604867935,34
RebuildWholeGraph,0,34,5715,149,524.475435495377,35
RebuildWholeGraph,0,35,5851,136,529.015138864517,36
RebuildWholeGraph,0,36,6050,199,525.123456001282,37
RebuildWholeGraph,0,37,6228,178,532.685037612915,38
RebuildWholeGraph,0,38,6325,97,543.083849906921,39
RebuildWholeGraph,0,39,6456,131,549.972145557404,40
RebuildWholeGraph,1,4,31,31,249.829337120056,5
RebuildWholeGraph,1,5,64,33,275.131388664246,6
RebuildWholeGraph,1,6,98,34,275.42294216156,7
RebuildWholeGraph,1,7,138,40,277.957852363586,8
RebuildWholeGraph,1,8,178,40,319.069947242737,9
RebuildWholeGraph,1,9,216,38,320.329803466797,10
RebuildWholeGraph,1,10,257,41,321.183832406998,11
RebuildWholeGraph,1,11,304,47,321.33322930336,12
RebuildWholeGraph,1,12,346,42,323.410512208939,13
RebuildWholeGraph,1,13,393,47,330.386803865433,14
RebuildWholeGraph,1,14,450,57,342.782099962234,15
RebuildWholeGraph,1,15,504,54,349.086688280106,16
RebuildWholeGraph,1,16,560,56,353.973613500595,17
RebuildWholeGraph,1,17,612,52,354.479156255722,18
