Mode,SimulationRun,Iteration,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,2,4,32,32,273.718868255615,5
RebuildWholeGraph,2,5,69,37,273.719432830811,6
RebuildWholeGraph,2,6,108,39,274.490295410156,7
RebuildWholeGraph,2,7,144,36,279.626880645752,8
RebuildWholeGraph,2,8,181,37,296.195983886719,9
RebuildWholeGraph,2,9,225,44,320.412174224854,10
RebuildWholeGraph,2,10,280,55,328.108136177063,11
RebuildWholeGraph,2,11,328,48,328.678301811218,12
RebuildWholeGraph,2,12,428,100,330.575246810913,13
RebuildWholeGraph,2,13,528,100,342.034219741821,14
RebuildWholeGraph,2,14,628,100,356.371091842651,15
RebuildWholeGraph,2,15,728,100,356.392833709717,16
RebuildWholeGraph,2,16,797,69,356.712023258209,17
RebuildWholeGraph,2,17,864,67,375.310043811798,18
RebuildWholeGraph,2,18,938,74,379.515870094299,19
RebuildWholeGraph,2,19,1007,69,406.850170612335,20
RebuildWholeGraph,2,20,1107,100,401.564213275909,21
RebuildWholeGraph,2,21,1187,80,405.599009037018,22
RebuildWholeGraph,2,22,1248,61,408.374032497406,23
RebuildWholeGraph,2,23,1348,100,415.752413272858,24
RebuildWholeGraph,2,24,1435,87,425.31064414978,25
RebuildWholeGraph,2,25,1508,73,435.678436756134,26
RebuildWholeGraph,2,26,1586,78,461.080987453461,27
RebuildWholeGraph,2,27,1657,71,461.62797498703,28
RebuildWholeGraph,2,28,1738,81,464.614911556244,29
RebuildWholeGraph,2,29,1830,92,470.513861656189,30
RebuildWholeGraph,2,30,1930,100,490.620662689209,31
RebuildWholeGraph,2,31,2022,92,494.677085876465,32
RebuildWholeGraph,2,32,2122,100,520.023860454559,33
RebuildWholeGraph,2,33,2222,100,520.667169094086,34
RebuildWholeGraph,2,34,2322,100,531.080113887787,35
RebuildWholeGraph,2,35,2422,100,537.530203342438,36
RebuildWholeGraph,2,36,2522,100,537.616997241974,37
RebuildWholeGraph,2,37,2622,100,542.307796001434,38
RebuildWholeGraph,2,38,2722,100,547.812572002411,39
RebuildWholeGraph,2,39,2822,100,555.149394035339,40
