Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,31,31,234.150104522705,5
AddNodesDynamically,0,5,64,33,234.150342941284,6
AddNodesDynamically,0,6,106,42,284.318283081055,7
AddNodesDynamically,0,7,142,36,294.238563537598,8
AddNodesDynamically,0,8,179,37,303.201852798462,9
AddNodesDynamically,0,9,217,38,307.618341445923,10
AddNodesDynamically,0,10,255,38,309.499300003052,11
AddNodesDynamically,0,11,294,39,309.817545890808,12
AddNodesDynamically,0,12,334,40,310.18044757843,13
AddNodesDynamically,0,13,375,41,314.227546691895,14
AddNodesDynamically,0,14,416,41,314.527492523193,15
AddNodesDynamically,0,15,458,42,321.377220153809,16
AddNodesDynamically,0,16,501,43,341.79213142395,17
AddNodesDynamically,0,17,544,43,341.821019411087,18
AddNodesDynamically,0,18,588,44,345.070734739304,19
AddNodesDynamically,0,19,632,44,360.226469755173,20
AddNodesDynamically,0,20,677,45,360.231892347336,21
AddNodesDynamically,0,21,722,45,360.231892347336,22
AddNodesDynamically,0,22,767,45,382.231892347336,23
AddNodesDynamically,0,23,813,46,382.54327750206,24
AddNodesDynamically,0,24,859,46,390.427184820175,25
AddNodesDynamically,0,25,906,47,394.764605760574,26
AddNodesDynamically,0,26,953,47,395.346821784973,27
AddNodesDynamically,0,27,1000,47,398.426754951477,28
AddNodesDynamically,0,28,1048,48,418.608842849731,29
AddNodesDynamically,0,29,1096,48,436.991241455078,30
AddNodesDynamically,0,30,1144,48,452.759073257446,31
AddNodesDynamically,0,31,1192,48,452.813594222069,32
AddNodesDynamically,0,32,1241,49,452.881011366844,33
AddNodesDynamically,0,33,1290,49,462.263139128685,34
AddNodesDynamically,0,34,1339,49,485.561107039452,35
AddNodesDynamically,0,35,1389,50,501.951536536217,36
AddNodesDynamically,0,36,1439,50,502.184768557549,37
AddNodesDynamically,0,37,1489,50,513.138980746269,38
AddNodesDynamically,0,38,1539,50,519.058801054955,39
AddNodesDynamically,0,39,1590,51,525.864297270775,40
AddNodesDynamically,1,4,33,33,295.768726348877,5
AddNodesDynamically,1,5,145,112,300.873920440674,6
AddNodesDynamically,1,6,179,34,305.730892181396,7
AddNodesDynamically,1,7,252,73,308.637725830078,8
AddNodesDynamically,1,8,295,43,327.394271850586,9
AddNodesDynamically,1,9,359,64,331.120265960693,10
AddNodesDynamically,1,10,397,38,331.582372665405,11
AddNodesDynamically,1,11,436,39,331.62629032135,12
AddNodesDynamically,1,12,487,51,350.755465507507,13
AddNodesDynamically,1,13,528,41,372.952818870544,14
AddNodesDynamically,1,14,569,41,374.230788230896,15
AddNodesDynamically,1,15,611,42,380.224374771118,16
AddNodesDynamically,1,16,654,43,393.128644943237,17
AddNodesDynamically,1,17,697,43,394.381078720093,18
AddNodesDynamically,1,18,741,44,394.868118643761,19
AddNodesDynamically,1,19,785,44,397.088163733482,20
AddNodesDynamically,1,20,830,45,412.704136252403,21
AddNodesDynamically,1,21,876,46,411.710538268089,22
AddNodesDynamically,1,22,921,45,415.304342627525,23
AddNodesDynamically,1,23,967,46,419.267877936363,24
AddNodesDynamically,1,24,1013,46,420.624589800835,25
AddNodesDynamically,1,25,1060,47,421.391674876213,26
AddNodesDynamically,1,26,1107,47,426.292444586754,27
AddNodesDynamically,1,27,1154,47,442.072900176048,28
AddNodesDynamically,1,28,1205,51,454.698654532433,29
AddNodesDynamically,1,29,1253,48,454.994981646538,30
AddNodesDynamically,1,30,1301,48,460.551314234734,31
AddNodesDynamically,1,31,1350,49,475.094752192497,32
AddNodesDynamically,1,32,1399,49,483.642151713371,33
AddNodesDynamically,1,33,1448,49,485.157218813896,34
AddNodesDynamically,1,34,1497,49,497.898085474968,35
AddNodesDynamically,1,35,1547,50,520.649751543999,36
AddNodesDynamically,1,36,1602,55,522.50388276577,37
AddNodesDynamically,1,37,1652,50,535.543624281883,38
AddNodesDynamically,1,38,1702,50,544.869970679283,39
AddNodesDynamically,1,39,1752,50,544.871875166893,40
AddNodesDynamically,2,4,31,31,155.075099945068,5
AddNodesDynamically,2,5,65,34,158.791433811188,6
AddNodesDynamically,2,6,99,34,229.239573955536,7
AddNodesDynamically,2,7,135,36,234.697784900665,8
AddNodesDynamically,2,8,176,41,234.88587808609,9
AddNodesDynamically,2,9,214,38,252.024426937103,10
AddNodesDynamically,2,10,253,39,259.691074848175,11
AddNodesDynamically,2,11,292,39,303.703293323517,12
AddNodesDynamically,2,12,332,40,336.377586841583,13
AddNodesDynamically,2,13,373,41,336.404873371124,14
AddNodesDynamically,2,14,414,41,346.072571277618,15
AddNodesDynamically,2,15,456,42,352.921019077301,16
AddNodesDynamically,2,16,499,43,352.942070007324,17
AddNodesDynamically,2,17,542,43,355.047005653381,18
AddNodesDynamically,2,18,586,44,358.406487464905,19
AddNodesDynamically,2,19,634,48,369.686260223389,20
AddNodesDynamically,2,20,679,45,375.107119560242,21
AddNodesDynamically,2,21,724,45,380.375220298767,22
AddNodesDynamically,2,22,770,46,389.903192520142,23
AddNodesDynamically,2,23,816,46,392.891170501709,24
AddNodesDynamically,2,24,862,46,393.716171264648,25
AddNodesDynamically,2,25,909,47,395.183343410492,26
AddNodesDynamically,2,26,956,47,397.783030033112,27
AddNodesDynamically,2,27,1003,47,400.603905200958,28
AddNodesDynamically,2,28,1051,48,412.404950618744,29
AddNodesDynamically,2,29,1099,48,412.432058811188,30
AddNodesDynamically,2,30,1147,48,416.393619060516,31
AddNodesDynamically,2,31,1196,49,416.786439418793,32
AddNodesDynamically,2,32,1276,80,435.354876041412,33
AddNodesDynamically,2,33,1325,49,435.431042671204,34
AddNodesDynamically,2,34,1374,49,448.73786687851,35
AddNodesDynamically,2,35,1424,50,459.8161444664,36
AddNodesDynamically,2,36,1474,50,461.127173900604,37
AddNodesDynamically,2,37,1524,50,477.719043254852,38
AddNodesDynamically,2,38,1574,50,478.923659801483,39
AddNodesDynamically,2,39,1625,51,484.644881725311,40
AddNodesDynamically,3,4,52,52,191.449291229248,5
AddNodesDynamically,3,5,139,87,191.473815917969,6
AddNodesDynamically,3,6,173,34,248.313184738159,7
AddNodesDynamically,3,7,209,36,256.66081237793,8
AddNodesDynamically,3,8,272,63,313.903774261475,9
AddNodesDynamically,3,9,310,38,325.637559890747,10
AddNodesDynamically,3,10,349,39,325.897210121155,11
