Mode,SimulationRun,Iteration,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,31,31,249.369345188141,5
AddNodesDynamically,0,5,64,33,252.508364200592,6
AddNodesDynamically,0,6,98,34,257.551743984222,7
AddNodesDynamically,0,7,134,36,262.128689289093,8
AddNodesDynamically,0,8,171,37,262.471238136292,9
AddNodesDynamically,0,9,209,38,262.910277366638,10
AddNodesDynamically,0,10,248,39,264.574543952942,11
AddNodesDynamically,0,11,287,39,316.381684303284,12
AddNodesDynamically,0,12,327,40,317.937830924988,13
AddNodesDynamically,0,13,368,41,321.711256980896,14
AddNodesDynamically,0,14,409,41,333.442540168762,15
AddNodesDynamically,0,15,451,42,338.5607213974,16
AddNodesDynamically,0,16,494,43,339.550238609314,17
AddNodesDynamically,0,17,537,43,341.520476818085,18
AddNodesDynamically,0,18,581,44,361.775148868561,19
AddNodesDynamically,0,19,625,44,394.731087207794,20
AddNodesDynamically,0,20,670,45,397.678078174591,21
AddNodesDynamically,0,21,715,45,421.603886127472,22
AddNodesDynamically,0,22,760,45,427.615188121796,23
AddNodesDynamically,0,23,806,46,427.716119289398,24
AddNodesDynamically,0,24,852,46,439.135589122772,25
AddNodesDynamically,0,25,899,47,442.883571147919,26
AddNodesDynamically,0,26,946,47,443.184331774712,27
AddNodesDynamically,0,27,993,47,443.532576441765,28
AddNodesDynamically,0,28,1041,48,445.086015105247,29
AddNodesDynamically,0,29,1089,48,462.559962630272,30
AddNodesDynamically,0,30,1137,48,470.473060011864,31
AddNodesDynamically,0,31,1185,48,471.255442380905,32
AddNodesDynamically,0,32,1234,49,474.57142996788,33
AddNodesDynamically,0,33,1283,49,475.53077340126,34
AddNodesDynamically,0,34,1332,49,484.499634027481,35
AddNodesDynamically,0,35,1382,50,486.426527738571,36
AddNodesDynamically,0,36,1432,50,498.048931837082,37
AddNodesDynamically,0,37,1482,50,513.226607084274,38
AddNodesDynamically,0,38,1532,50,514.466012239456,39
AddNodesDynamically,0,39,1583,51,517.129348039627,40
AddNodesDynamically,1,4,31,31,114.9526014328,5
AddNodesDynamically,1,5,65,34,116.823429107666,6
AddNodesDynamically,1,6,99,34,193.021936416626,7
AddNodesDynamically,1,7,135,36,219.309753417969,8
AddNodesDynamically,1,8,172,37,220.387543678284,9
AddNodesDynamically,1,9,210,38,221.86318397522,10
AddNodesDynamically,1,10,249,39,253.018056869507,11
AddNodesDynamically,1,11,288,39,261.75121307373,12
AddNodesDynamically,1,12,328,40,289.85916519165,13
AddNodesDynamically,1,13,369,41,295.942288398743,14
AddNodesDynamically,1,14,434,65,286.727693557739,15
AddNodesDynamically,1,15,476,42,290.269488096237,16
AddNodesDynamically,1,16,525,49,299.121166944504,17
AddNodesDynamically,1,17,568,43,301.651036977768,18
AddNodesDynamically,1,18,613,45,310.832336187363,19
AddNodesDynamically,1,19,657,44,317.982896566391,20
AddNodesDynamically,1,20,702,45,317.985781431198,21
AddNodesDynamically,1,21,747,45,353.569926023483,22
AddNodesDynamically,1,22,792,45,366.826742887497,23
AddNodesDynamically,1,23,838,46,377.025702238083,24
AddNodesDynamically,1,24,884,46,388.66557765007,25
AddNodesDynamically,1,25,931,47,388.699598073959,26
AddNodesDynamically,1,26,978,47,397.679553747177,27
AddNodesDynamically,1,27,1025,47,442.607797384262,28
AddNodesDynamically,1,28,1073,48,443.119307279587,29
AddNodesDynamically,1,29,1121,48,448.782181978226,30
AddNodesDynamically,1,30,1169,48,451.752877473831,31
AddNodesDynamically,1,31,1217,48,458.739823102951,32
AddNodesDynamically,1,32,1266,49,458.804269552231,33
AddNodesDynamically,1,33,1315,49,463.707938909531,34
AddNodesDynamically,1,34,1364,49,466.493869066238,35
AddNodesDynamically,1,35,1414,50,468.408422112465,36
AddNodesDynamically,1,36,1464,50,471.392560601234,37
AddNodesDynamically,1,37,1514,50,471.986796975136,38
AddNodesDynamically,1,38,1564,50,472.329207539558,39
AddNodesDynamically,1,39,1615,51,500.18531525135,40
AddNodesDynamically,2,4,41,41,289.942276000977,5
AddNodesDynamically,2,5,74,33,297.812178611755,6
AddNodesDynamically,2,6,108,34,312.395915031433,7
AddNodesDynamically,2,7,144,36,314.433819770813,8
AddNodesDynamically,2,8,181,37,316.900752067566,9
AddNodesDynamically,2,9,219,38,316.92689704895,10
AddNodesDynamically,2,10,257,38,356.929080963135,11
AddNodesDynamically,2,11,296,39,357.117143154144,12
AddNodesDynamically,2,12,336,40,362.438449382782,13
AddNodesDynamically,2,13,456,120,362.438449382782,14
AddNodesDynamically,2,14,956,500,385.941557407379,15
AddNodesDynamically,2,15,1073,117,395.407732486725,16
AddNodesDynamically,2,16,1116,43,412.413603305817,17
AddNodesDynamically,2,17,1167,51,424.392963886261,18
AddNodesDynamically,2,18,1211,44,432.434290409088,19
AddNodesDynamically,2,19,1255,44,433.852079868317,20
AddNodesDynamically,2,20,1364,109,434.726946353912,21
AddNodesDynamically,2,21,1426,62,458.692060947418,22
AddNodesDynamically,2,22,1910,484,460.738556742668,23
AddNodesDynamically,2,23,1956,46,476.906166911125,24
AddNodesDynamically,2,24,2002,46,477.077387690544,25
AddNodesDynamically,2,25,2049,47,481.460790514946,26
AddNodesDynamically,2,26,2096,47,485.670163989067,27
AddNodesDynamically,2,27,2143,47,503.791280627251,28
AddNodesDynamically,2,28,2191,48,504.065015673637,29
AddNodesDynamically,2,29,2239,48,514.606668353081,30
AddNodesDynamically,2,30,2287,48,530.780126452446,31
AddNodesDynamically,2,31,2336,49,540.274897456169,32
AddNodesDynamically,2,32,2391,55,544.499531626701,33
AddNodesDynamically,2,33,2440,49,539.76652276516,34
AddNodesDynamically,2,34,2489,49,541.433469176292,35
AddNodesDynamically,2,35,2550,61,542.022825598717,36
AddNodesDynamically,2,36,2600,50,542.613768458366,37
AddNodesDynamically,2,37,2650,50,546.975298285484,38
AddNodesDynamically,2,38,2700,50,577.277117133141,39
AddNodesDynamically,2,39,2750,50,578.121622443199,40
AddNodesDynamically,3,4,32,32,227.63067150116,5
AddNodesDynamically,3,5,65,33,323.346793174744,6
AddNodesDynamically,3,6,100,35,340.364085197449,7
AddNodesDynamically,3,7,136,36,354.906704902649,8
AddNodesDynamically,3,8,173,37,354.947319984436,9
AddNodesDynamically,3,9,210,37,358.203722953796,10
AddNodesDynamically,3,10,248,38,360.205658912659,11
AddNodesDynamically,3,11,287,39,360.340035438538,12
AddNodesDynamically,3,12,327,40,360.470268249512,13
AddNodesDynamically,3,13,368,41,366.323678970337,14
AddNodesDynamically,3,14,426,58,391.799592971802,15
AddNodesDynamically,3,15,468,42,393.960512161255,16
AddNodesDynamically,3,16,511,43,397.085752487183,17
AddNodesDynamically,3,17,557,46,420.609178543091,18
AddNodesDynamically,3,18,601,44,432.582467079163,19
AddNodesDynamically,3,19,777,176,434.19953918457,20
AddNodesDynamically,3,20,822,45,436.572401046753,21
AddNodesDynamically,3,21,867,45,437.514539718628,22
AddNodesDynamically,3,22,912,45,447.088581085205,23
AddNodesDynamically,3,23,982,70,442.927318572998,24
AddNodesDynamically,3,24,1056,74,471.744998931885,25
AddNodesDynamically,3,25,1103,47,476.149518966675,26
AddNodesDynamically,3,26,1150,47,485.80849647522,27
AddNodesDynamically,3,27,1221,71,487.465437889099,28
AddNodesDynamically,3,28,1291,70,487.920329093933,29
AddNodesDynamically,3,29,1339,48,488.413241386414,30
AddNodesDynamically,3,30,1561,222,492.769939422607,31
AddNodesDynamically,3,31,1610,49,499.335394859314,32
AddNodesDynamically,3,32,1659,49,525.122567176819,33
AddNodesDynamically,3,33,1708,49,540.637532234192,34
AddNodesDynamically,3,34,1757,49,553.588201522827,35
AddNodesDynamically,3,35,1806,49,554.134844779968,36
AddNodesDynamically,3,36,1856,50,561.408818244934,37
AddNodesDynamically,3,37,1906,50,575.769955635071,38
AddNodesDynamically,3,38,1956,50,591.712275505066,39
AddNodesDynamically,3,39,2007,51,590.241282463074,40
AddNodesDynamically,4,4,31,31,209.385242462158,5
AddNodesDynamically,4,5,64,33,211.989849090576,6
AddNodesDynamically,4,6,98,34,220.302470207214,7
AddNodesDynamically,4,7,134,36,268.646620750427,8
AddNodesDynamically,4,8,171,37,274.48589515686,9
AddNodesDynamically,4,9,209,38,274.525789260864,10
AddNodesDynamically,4,10,248,39,280.000744819641,11
AddNodesDynamically,4,11,287,39,290.523651599884,12
AddNodesDynamically,4,12,327,40,304.239785194397,13
AddNodesDynamically,4,13,368,41,305.909552574158,14
AddNodesDynamically,4,14,409,41,339.420790672302,15
AddNodesDynamically,4,15,451,42,354.944674491882,16
AddNodesDynamically,4,16,494,43,355.137145519257,17
AddNodesDynamically,4,17,537,43,355.835206270218,18
AddNodesDynamically,4,18,581,44,371.158063173294,19
AddNodesDynamically,4,19,625,44,379.985209703445,20
AddNodesDynamically,4,20,702,77,398.897681474686,21
AddNodesDynamically,4,21,747,45,399.563337087631,22
AddNodesDynamically,4,22,792,45,416.259706258774,23
AddNodesDynamically,4,23,838,46,425.798198461533,24
AddNodesDynamically,4,24,884,46,437.04647231102,25
AddNodesDynamically,4,25,931,47,438.638609647751,26
