Mode,SimulationRun,Iteration,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,2,4,100,100,179.095289230347,5
AddNodesDynamically,2,5,200,100,212.586866378784,6
AddNodesDynamically,2,6,300,100,216.388799667358,7
AddNodesDynamically,2,7,336,36,231.205232620239,8
AddNodesDynamically,2,8,373,37,232.860247612,9
AddNodesDynamically,2,9,411,38,254.81884765625,10
AddNodesDynamically,2,10,450,39,301.095245361328,11
AddNodesDynamically,2,11,503,53,331.081338882446,12
AddNodesDynamically,2,12,543,40,332.700271964073,13
AddNodesDynamically,2,13,584,41,356.703237891197,14
AddNodesDynamically,2,14,625,41,358.976864218712,15
AddNodesDynamically,2,15,667,42,358.990087866783,16
AddNodesDynamically,2,16,710,43,359.948816657066,17
AddNodesDynamically,2,17,753,43,366.842886328697,18
AddNodesDynamically,2,18,797,44,373.567783713341,19
AddNodesDynamically,2,19,841,44,395.745105147362,20
AddNodesDynamically,2,20,886,45,409.730018019676,21
AddNodesDynamically,2,21,931,45,438.521420836449,22
AddNodesDynamically,2,22,976,45,466.544436812401,23
AddNodesDynamically,2,23,1022,46,482.613971114159,24
AddNodesDynamically,2,24,1068,46,487.067303061485,25
AddNodesDynamically,2,25,1114,46,488.307923674583,26
AddNodesDynamically,2,26,1161,47,500.68888604641,27
AddNodesDynamically,2,27,1208,47,505.785710215569,28
AddNodesDynamically,2,28,1255,47,512.502018809319,29
AddNodesDynamically,2,29,1303,48,512.512899279594,30
AddNodesDynamically,2,30,1351,48,513.476135134697,31
AddNodesDynamically,2,31,1399,48,514.149558901787,32
AddNodesDynamically,2,32,1448,49,515.527774691582,33
AddNodesDynamically,2,33,1497,49,516.575351119041,34
AddNodesDynamically,2,34,1546,49,525.649453520775,35
AddNodesDynamically,2,35,1596,50,537.714452147484,36
AddNodesDynamically,2,36,1646,50,537.714928984642,37
AddNodesDynamically,2,37,1696,50,559.785937190056,38
AddNodesDynamically,2,38,1746,50,560.453638315201,39
AddNodesDynamically,2,39,1796,50,561.538156747818,40
