Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,87,87,593,210.645644962788
RebuildWholeGraph,0,12,80,80,599,210.645644962788
RebuildWholeGraph,0,12,147,147,599,210.645644962788
RebuildWholeGraph,0,12,95,95,593,210.645644962788
RebuildWholeGraph,0,12,81,81,664,210.645644962788
RebuildWholeGraph,0,12,82,82,664,210.645644962788
RebuildWholeGraph,0,12,84,84,599,210.645644962788
RebuildWholeGraph,0,12,86,86,599,210.645644962788
RebuildWholeGraph,0,12,79,79,664,210.645644962788
RebuildWholeGraph,0,12,102,102,599,210.645644962788
RebuildWholeGraph,0,12,94,94,634,210.645644962788
RebuildWholeGraph,0,12,86,86,599,210.645644962788
RebuildWholeGraph,0,12,95,95,599,210.645644962788
RebuildWholeGraph,0,12,73,73,599,210.645644962788
RebuildWholeGraph,0,12,95,95,599,210.645644962788
RebuildWholeGraph,0,12,80,80,599,210.645644962788
RebuildWholeGraph,0,12,102,102,593,210.645644962788
RebuildWholeGraph,0,12,74,74,599,210.645644962788
RebuildWholeGraph,0,12,74,74,599,210.645644962788
RebuildWholeGraph,0,12,98,98,608,210.645644962788
RebuildWholeGraph,0,12,81,81,599,210.645644962788
RebuildWholeGraph,0,12,94,94,599,210.645644962788
RebuildWholeGraph,0,12,87,87,599,210.645644962788
RebuildWholeGraph,0,12,101,101,593,210.645644962788
RebuildWholeGraph,0,12,64,64,593,210.645644962788
RebuildWholeGraph,0,12,87,87,593,210.645644962788
RebuildWholeGraph,0,12,111,111,593,210.645644962788
RebuildWholeGraph,0,12,97,97,593,210.645644962788
RebuildWholeGraph,0,12,71,71,599,210.645644962788
RebuildWholeGraph,0,12,95,95,599,210.645644962788
RebuildWholeGraph,1,12,112,112,686,211.876489400864
RebuildWholeGraph,1,12,102,102,665,211.876489400864
RebuildWholeGraph,1,12,115,115,676,211.876489400864
RebuildWholeGraph,1,12,284,284,649,211.876489400864
RebuildWholeGraph,1,12,66,66,677,211.876489400864
RebuildWholeGraph,1,12,59,59,686,211.876489400864
RebuildWholeGraph,1,12,166,166,676,211.876489400864
RebuildWholeGraph,1,12,248,248,684,211.876489400864
RebuildWholeGraph,1,12,118,118,684,211.876489400864
RebuildWholeGraph,1,12,84,84,684,211.876489400864
RebuildWholeGraph,1,12,235,235,677,211.876489400864
RebuildWholeGraph,1,12,50,50,669,211.876489400864
RebuildWholeGraph,1,12,90,90,649,211.876489400864
RebuildWholeGraph,1,12,500,500,678,211.876489400864
RebuildWholeGraph,1,12,171,171,669,211.876489400864
RebuildWholeGraph,1,12,282,282,677,211.876489400864
RebuildWholeGraph,1,12,180,180,684,211.876489400864
RebuildWholeGraph,1,12,341,341,684,211.876489400864
RebuildWholeGraph,1,12,104,104,669,211.876489400864
RebuildWholeGraph,1,12,500,500,669,211.876489400864
RebuildWholeGraph,1,12,130,130,678,211.876489400864
RebuildWholeGraph,1,12,245,245,686,211.876489400864
RebuildWholeGraph,1,12,493,493,669,211.876489400864
RebuildWholeGraph,1,12,106,106,648,211.876489400864
RebuildWholeGraph,1,12,251,251,669,211.876489400864
RebuildWholeGraph,1,12,206,206,686,211.876489400864
RebuildWholeGraph,1,12,112,112,669,211.876489400864
RebuildWholeGraph,1,12,213,213,678,211.876489400864
