Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,74,74,599,346.115064144135
RebuildWholeGraph,0,12,60,60,599,348.270267009735
RebuildWholeGraph,0,12,133,133,599,346.115064144135
RebuildWholeGraph,0,12,108,108,634,346.115064144135
RebuildWholeGraph,0,12,82,82,608,348.270267009735
RebuildWholeGraph,0,12,72,72,599,346.506219387054
RebuildWholeGraph,0,12,72,72,599,348.270267009735
RebuildWholeGraph,0,12,78,78,593,348.270267009735
RebuildWholeGraph,0,12,66,66,634,346.506219387054
RebuildWholeGraph,0,12,68,68,599,348.270267009735
RebuildWholeGraph,0,12,78,78,599,348.270267009735
RebuildWholeGraph,0,12,81,81,593,346.506219387054
RebuildWholeGraph,0,12,68,68,599,346.506219387054
RebuildWholeGraph,0,12,87,87,608,348.270267009735
RebuildWholeGraph,0,12,71,71,599,346.506219387054
RebuildWholeGraph,0,12,102,102,593,348.270267009735
RebuildWholeGraph,0,12,74,74,599,348.270267009735
RebuildWholeGraph,0,12,72,72,599,348.270267009735
RebuildWholeGraph,0,12,173,173,599,346.115064144135
RebuildWholeGraph,0,12,60,60,599,348.270267009735
RebuildWholeGraph,0,12,182,182,599,346.115064144135
RebuildWholeGraph,0,12,87,87,599,346.115064144135
RebuildWholeGraph,0,12,52,52,593,348.270267009735
RebuildWholeGraph,0,12,144,144,593,346.115064144135
RebuildWholeGraph,0,12,73,73,593,348.270267009735
RebuildWholeGraph,0,12,60,60,593,348.270267009735
RebuildWholeGraph,0,12,59,59,599,348.270267009735
RebuildWholeGraph,0,12,64,64,608,348.270267009735
RebuildWholeGraph,0,12,110,110,599,346.115064144135
RebuildWholeGraph,0,12,110,110,617,346.115064144135
RebuildWholeGraph,1,12,49,49,686,290.233116984367
RebuildWholeGraph,1,12,47,47,684,290.233116984367
RebuildWholeGraph,1,12,54,54,669,290.233116984367
RebuildWholeGraph,1,12,50,50,649,290.233116984367
RebuildWholeGraph,1,12,41,41,676,290.233116984367
RebuildWholeGraph,1,12,48,48,686,290.233116984367
RebuildWholeGraph,1,12,52,52,677,290.233116984367
RebuildWholeGraph,1,12,48,48,686,290.233116984367
RebuildWholeGraph,1,12,49,49,677,290.233116984367
RebuildWholeGraph,1,12,49,49,669,290.233116984367
RebuildWholeGraph,1,12,49,49,676,290.233116984367
RebuildWholeGraph,1,12,45,45,677,290.233116984367
RebuildWholeGraph,1,12,50,50,676,290.233116984367
RebuildWholeGraph,1,12,50,50,676,290.233116984367
RebuildWholeGraph,1,12,50,50,684,290.233116984367
RebuildWholeGraph,1,12,49,49,676,290.233116984367
RebuildWholeGraph,1,12,40,40,684,290.233116984367
RebuildWholeGraph,1,12,52,52,684,290.233116984367
RebuildWholeGraph,1,12,45,45,669,290.233116984367
RebuildWholeGraph,1,12,48,48,686,290.233116984367
RebuildWholeGraph,1,12,44,44,686,290.233116984367
RebuildWholeGraph,1,12,43,43,648,290.233116984367
RebuildWholeGraph,1,12,52,52,669,290.233116984367
RebuildWholeGraph,1,12,49,49,676,290.233116984367
RebuildWholeGraph,1,12,49,49,681,290.233116984367
RebuildWholeGraph,1,12,53,53,677,290.233116984367
RebuildWholeGraph,1,12,43,43,676,290.233116984367
RebuildWholeGraph,1,12,49,49,665,290.233116984367
RebuildWholeGraph,1,12,47,47,649,290.233116984367
RebuildWholeGraph,1,12,43,43,676,290.233116984367
RebuildWholeGraph,2,12,49,49,543,274.791639328003
RebuildWholeGraph,2,12,49,49,558,274.791639328003
RebuildWholeGraph,2,12,50,50,558,274.791639328003
RebuildWholeGraph,2,12,48,48,582,274.791639328003
RebuildWholeGraph,2,12,52,52,567,274.791639328003
RebuildWholeGraph,2,12,58,58,586,274.791639328003
RebuildWholeGraph,2,12,43,43,582,274.791639328003
RebuildWholeGraph,2,12,47,47,543,274.791639328003
RebuildWholeGraph,2,12,49,49,557,274.791639328003
RebuildWholeGraph,2,12,52,52,558,274.791639328003
RebuildWholeGraph,2,12,47,47,577,274.791639328003
RebuildWholeGraph,2,12,44,44,563,274.791639328003
RebuildWholeGraph,2,12,46,46,543,274.791639328003
RebuildWholeGraph,2,12,51,51,577,274.791639328003
RebuildWholeGraph,2,12,49,49,582,274.791639328003
RebuildWholeGraph,2,12,44,44,563,274.791639328003
RebuildWholeGraph,2,12,54,54,577,274.791639328003
RebuildWholeGraph,2,12,45,45,543,274.791639328003
RebuildWholeGraph,2,12,44,44,558,274.791639328003
RebuildWholeGraph,2,12,43,43,543,274.791639328003
RebuildWholeGraph,2,12,44,44,582,274.791639328003
RebuildWholeGraph,2,12,47,47,543,274.791639328003
RebuildWholeGraph,2,12,43,43,543,274.791639328003
RebuildWholeGraph,2,12,51,51,544,274.791639328003
RebuildWholeGraph,2,12,51,51,557,274.791639328003
RebuildWholeGraph,2,12,50,50,543,274.791639328003
RebuildWholeGraph,2,12,53,53,543,274.791639328003
RebuildWholeGraph,2,12,40,40,582,274.791639328003
RebuildWholeGraph,2,12,46,46,586,274.791639328003
RebuildWholeGraph,2,12,49,49,567,274.791639328003
RebuildWholeGraph,3,12,56,56,660,277.460012674332
RebuildWholeGraph,3,12,51,51,647,277.460012674332
RebuildWholeGraph,3,12,63,63,647,277.460012674332
RebuildWholeGraph,3,12,44,44,660,277.460012674332
RebuildWholeGraph,3,12,57,57,660,277.460012674332
RebuildWholeGraph,3,12,53,53,647,277.460012674332
RebuildWholeGraph,3,12,57,57,614,277.460012674332
RebuildWholeGraph,3,12,54,54,647,277.460012674332
RebuildWholeGraph,3,12,50,50,614,277.460012674332
RebuildWholeGraph,3,12,44,44,614,277.460012674332
RebuildWholeGraph,3,12,53,53,660,277.460012674332
RebuildWholeGraph,3,12,62,62,660,277.460012674332
RebuildWholeGraph,3,12,60,60,660,277.460012674332
RebuildWholeGraph,3,12,55,55,628,277.460012674332
RebuildWholeGraph,3,12,54,54,660,277.460012674332
RebuildWholeGraph,3,12,51,51,614,277.460012674332
RebuildWholeGraph,3,12,56,56,660,277.460012674332
RebuildWholeGraph,3,12,57,57,660,277.460012674332
RebuildWholeGraph,3,12,52,52,660,277.460012674332
