Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,35,35,242.641902923584,5
AddNodesDynamically,0,5,69,34,249.890594482422,6
AddNodesDynamically,0,6,114,45,251.52746963501,7
AddNodesDynamically,0,7,161,47,256.485106468201,8
AddNodesDynamically,0,8,220,59,304.775671958923,9
AddNodesDynamically,0,9,429,209,309.19145488739,10
AddNodesDynamically,0,10,1429,1000,353.524147987366,11
AddNodesDynamically,0,11,1516,87,354.747114181519,12
AddNodesDynamically,0,12,1580,64,358.894552230835,13
AddNodesDynamically,0,13,1651,71,363.949505805969,14
AddNodesDynamically,0,14,1708,57,387.338122367859,15
AddNodesDynamically,1,4,32,32,237.005370140076,5
AddNodesDynamically,1,5,71,39,237.522614479065,6
AddNodesDynamically,1,6,108,37,259.843945503235,7
AddNodesDynamically,1,7,145,37,271.45872592926,8
AddNodesDynamically,1,8,190,45,280.81810092926,9
AddNodesDynamically,1,9,240,50,291.75466632843,10
AddNodesDynamically,1,10,298,58,312.302221298218,11
AddNodesDynamically,1,11,381,83,315.559898376465,12
AddNodesDynamically,1,12,449,68,333.683016777039,13
AddNodesDynamically,1,13,523,74,339.208373069763,14
AddNodesDynamically,1,14,686,163,352.72061920166,15
AddNodesDynamically,2,4,38,38,263.193134307861,5
AddNodesDynamically,2,5,185,147,265.939027786255,6
AddNodesDynamically,2,6,238,53,267.415286064148,7
AddNodesDynamically,2,7,288,50,287.889449119568,8
AddNodesDynamically,2,8,338,50,321.903695106506,9
AddNodesDynamically,2,9,434,96,327.499255180359,10
AddNodesDynamically,2,10,494,60,330.802700042725,11
AddNodesDynamically,2,11,584,90,337.052089691162,12
AddNodesDynamically,2,12,638,54,339.000455856323,13
AddNodesDynamically,2,13,702,64,347.24306678772,14
AddNodesDynamically,2,14,757,55,367.429395675659,15
AddNodesDynamically,3,4,32,32,222.502680301666,5
AddNodesDynamically,3,5,66,34,222.940935611725,6
AddNodesDynamically,3,6,106,40,243.575953006744,7
AddNodesDynamically,3,7,151,45,272.124266147614,8
AddNodesDynamically,3,8,200,49,272.35254907608,9
AddNodesDynamically,3,9,245,45,289.210115909576,10
AddNodesDynamically,3,10,637,392,300.846611499786,11
AddNodesDynamically,3,11,794,157,313.612102985382,12
AddNodesDynamically,3,12,1325,531,319.534623622894,13
AddNodesDynamically,3,13,1385,60,321.398570537567,14
AddNodesDynamically,3,14,1449,64,345.988194942474,15
AddNodesDynamically,4,4,575,575,137.559715270996,5
AddNodesDynamically,4,5,620,45,201.191365242004,6
AddNodesDynamically,4,6,674,54,211.223044395447,7
AddNodesDynamically,4,7,715,41,212.930190086365,8
AddNodesDynamically,4,8,764,49,217.18445110321,9
