Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,PathLength_Level2,NodesExplored_Level2,PathLength_Level3,NodesExplored_Level3,PathLength_AStar,NodesExplored_AStar
1,53,1,10,100,100,34,232,18,18,12,12,161,163
2,56,2,10,100,100,34,196,18,19,10,10,161,435
3,50,4,10,100,100,34,250,18,22,12,12,161,664
4,60,2,10,100,100,0,0,0,0,0,0,0,1
5,47,1,10,100,100,34,237,18,18,12,12,161,161
6,48,2,10,100,100,34,232,18,18,12,12,161,161
7,57,3,10,100,100,0,0,0,0,0,0,0,7471
8,57,1,10,100,100,0,0,0,0,0,0,0,267
9,52,1,10,100,100,34,223,19,20,12,12,161,211
10,48,4,10,100,100,34,256,18,22,10,10,161,197
11,46,4,10,100,100,34,273,18,18,12,12,161,161
12,49,4,10,100,100,34,259,18,18,12,12,161,161
13,47,3,10,100,100,34,234,18,18,12,12,161,161
14,55,4,10,100,100,34,195,18,18,11,15,161,583
15,56,4,10,100,100,34,249,18,18,10,10,161,558
16,46,1,10,100,100,34,249,18,23,12,12,161,161
17,48,2,10,100,100,34,244,18,18,12,12,161,161
18,61,2,10,100,100,0,0,0,0,0,0,0,1
19,57,1,10,100,100,38,269,18,18,12,12,165,1812
20,61,4,10,100,100,0,0,0,0,0,0,0,1
21,51,3,10,100,100,34,252,18,18,12,12,161,187
22,50,1,10,100,100,34,232,19,22,12,12,161,161
23,45,1,10,100,100,34,251,18,22,12,12,161,161
24,60,1,10,100,100,0,0,0,0,0,0,0,249
25,46,1,10,100,100,34,247,18,22,12,12,161,161
26,56,4,10,100,100,34,245,18,19,12,12,161,169
27,46,3,10,100,100,34,262,18,18,12,12,161,161
28,53,3,10,100,100,34,274,18,18,12,12,161,161
29,59,3,10,100,100,0,0,0,0,0,0,0,5713
30,56,3,10,100,100,0,0,0,0,0,0,0,6952
31,59,1,10,100,100,0,0,0,0,0,0,0,1
32,50,2,10,100,100,34,276,18,22,12,12,161,161
33,54,1,10,100,100,34,233,18,18,12,12,161,180
34,51,3,10,100,100,34,253,18,18,10,10,161,161
35,48,2,10,100,100,34,237,18,18,12,12,161,161
36,51,4,10,100,100,34,247,18,19,12,12,161,302
37,45,3,10,100,100,34,264,18,22,12,12,161,161
38,46,4,10,100,100,34,250,18,22,12,12,161,161
39,64,3,10,100,100,0,0,0,0,0,0,0,483
