Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
1,58,2,5,100,100,0,0,1,0,0,0,0,0,0,0,1,1
2,52,3,9,100,100,34,263,1,18,19,0,12,12,0,161,282,3
3,62,4,9,100,100,0,0,0,0,0,0,0,0,0,0,34,0
4,61,1,8,100,100,0,0,0,0,0,0,0,0,0,0,154,0
5,53,1,8,100,100,34,256,1,18,19,0,12,12,0,161,231,1
6,56,1,8,100,100,34,147,0,18,18,0,11,15,0,163,1897,7
7,54,3,8,100,100,38,374,1,19,21,0,12,12,0,169,544,2
8,51,4,9,100,100,34,249,1,18,18,0,12,12,0,161,161,0
9,59,1,6,100,100,0,0,0,0,0,0,0,0,0,0,1,0
10,59,3,6,100,100,0,0,1,0,0,0,0,0,0,0,3990,16
11,58,3,6,100,100,0,0,1,0,0,0,0,0,0,0,5635,23
12,57,3,7,100,100,0,0,1,0,0,0,0,0,0,0,7046,31
13,48,4,9,100,100,34,245,1,18,18,0,12,12,0,161,161,0
14,52,4,7,100,100,34,265,1,18,18,0,12,12,0,161,161,0
15,61,2,5,100,100,0,0,0,0,0,0,0,0,1,0,654,2
16,49,4,6,100,100,34,284,1,18,22,0,10,10,0,161,161,0
17,45,1,9,100,100,34,265,1,19,22,0,12,12,0,161,161,0
18,59,1,7,100,100,0,0,0,0,0,0,0,0,0,0,61,0
19,57,3,7,100,100,34,179,0,18,18,1,11,13,2,161,796,3
20,60,1,5,100,100,0,0,0,0,0,0,0,0,0,0,169,0
21,59,1,8,100,100,0,0,0,0,0,0,0,0,0,0,321,1
22,53,3,8,100,100,34,277,1,19,23,0,12,12,0,161,161,0
23,61,2,6,100,100,0,0,0,0,0,0,0,0,0,0,1,0
24,48,1,6,100,100,34,258,1,18,18,0,11,14,0,161,292,1
25,48,3,6,100,100,34,238,1,19,22,0,10,10,0,161,224,1
26,50,4,8,100,100,34,223,1,19,19,0,12,12,0,161,207,0
27,64,3,7,100,100,0,0,0,0,0,0,0,0,0,0,1,0
28,64,1,7,100,100,0,0,0,0,0,0,0,0,0,0,98,0
29,48,2,6,100,100,34,271,1,18,18,0,10,10,0,161,176,0
30,50,2,7,100,100,34,256,1,18,18,0,12,12,0,161,161,0
31,59,1,9,100,100,34,157,0,18,18,0,13,17,0,165,713,2
32,49,3,6,100,100,34,259,1,19,22,0,12,12,0,161,268,1
33,56,4,9,100,100,34,191,0,18,18,0,13,15,0,161,305,1
34,49,4,5,100,100,34,283,1,18,18,0,13,14,0,161,227,1
35,63,3,9,100,100,0,0,0,0,0,0,0,0,0,0,1,0
36,58,1,5,100,100,0,0,0,0,0,0,0,0,0,0,65,0
37,63,2,6,100,100,0,0,0,0,0,0,0,0,0,0,43,0
38,64,3,6,100,100,0,0,0,0,0,0,0,0,0,0,1,0
39,49,4,8,100,100,34,236,1,18,18,1,12,12,0,161,214,1
40,52,3,7,100,100,34,219,1,18,18,0,13,15,0,161,229,1
41,52,1,6,100,100,33,236,1,18,18,0,12,12,0,161,432,1
42,49,1,5,100,100,34,266,1,18,19,0,13,15,0,161,509,2
43,45,3,9,100,100,34,259,1,18,22,0,12,12,0,161,161,0
44,48,3,8,100,100,34,242,3,18,18,0,12,12,0,161,194,0
45,55,3,5,100,100,0,0,1,0,0,1,0,0,1,0,6843,30
46,45,3,7,100,100,34,247,1,18,19,0,12,12,0,161,162,0
47,45,3,8,100,100,34,232,1,18,22,0,12,12,0,161,161,0
48,60,1,9,100,100,0,0,0,0,0,0,0,0,0,0,2502,11
49,60,3,7,100,100,0,0,0,0,0,0,0,0,0,0,434,1
50,54,4,7,100,100,0,0,0,0,0,0,0,0,0,161,749,2
51,61,4,6,100,100,0,0,0,0,0,0,0,0,0,0,1,0
52,58,1,9,100,100,34,211,0,18,18,0,11,13,0,167,1224,4
53,54,3,5,100,100,34,202,1,19,20,0,12,12,0,163,3261,13
54,50,4,7,100,100,34,244,1,18,18,0,12,12,0,161,162,0
55,46,4,5,100,100,34,273,1,18,18,0,12,12,0,161,161,0
56,64,1,6,100,100,0,0,0,0,0,0,0,0,0,0,1,0
57,45,1,6,100,100,34,245,1,18,19,0,12,12,0,161,213,0
58,46,2,7,100,100,34,232,1,18,18,0,12,12,0,161,161,0
59,60,2,5,100,100,0,0,0,0,0,0,0,0,0,0,1,0
60,46,2,8,100,100,34,247,1,18,22,0,12,12,1,161,161,2
61,55,3,6,100,100,34,105,0,18,18,0,11,17,0,161,582,2
62,46,4,7,100,100,34,267,1,18,18,0,12,12,0,161,161,0
63,53,3,9,100,100,34,275,1,18,21,0,10,10,0,161,161,0
64,50,2,9,100,100,34,256,1,18,18,1,12,12,1,161,161,0
65,60,2,6,100,100,0,0,0,0,0,0,0,0,0,0,11,0
66,61,3,5,100,100,0,0,0,0,0,0,0,0,0,0,1,0
67,55,2,9,100,100,34,194,1,18,18,0,12,12,0,161,548,2
68,54,4,7,100,100,34,230,1,18,18,0,12,12,0,161,463,1
69,47,1,7,100,100,34,226,1,19,22,0,12,12,0,161,161,0
70,47,2,8,100,100,34,241,1,18,18,0,12,12,0,161,161,0
