Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
1,60,4,8,100,100,0,0,1,0,0,1,0,0,1,0,1888,11
2,55,4,7,100,100,179,161,7,211,203,10,210,200,9,161,537,2
3,48,2,9,100,100,186,169,5,198,204,7,221,202,10,161,161,0
4,52,3,5,100,100,184,168,6,233,249,8,216,218,10,161,841,3
5,56,2,6,100,100,209,194,6,341,310,11,320,287,22,175,1781,16
6,48,4,6,100,100,186,172,6,196,179,7,188,171,9,161,161,0
7,46,2,6,100,100,184,169,5,198,203,7,190,174,9,161,163,0
8,56,4,9,100,100,190,181,6,256,251,9,216,210,12,161,537,3
9,57,2,6,100,100,188,173,5,310,321,10,322,330,13,165,2191,8
10,63,3,7,100,100,0,0,0,0,0,0,0,0,0,0,1,0
